22f7faab8d65451640707b0ad3e7bf4a98165917e2c154ab528cad93e6c66aeb,f028da7099c8ba2681e2da5c8c7b8c5bf7032c6e6100fc7d81812fa1bcbbcd29,a33cc5c4adca7add667fec1c6488a22e4317b95224a3fd99421bd7c2e43f35ce,5713849af058a10a399f1543d5fbc021100fffd0f53f7dd2fdd21c5f074489ae,e3d9ef2dd301d0d47620d36f0b7cd42d54856c161c3aa0569f846d80f342ce6f,298a659b4c10746a90144c0fd770bb4a5e116885d04057d5873079a8c82bd4e2,4b91697861e086908f3b6eece9818c2ccce098e2b53b3aa2cc0a6c95cecaba40,5034fe49ce56f9998afb98bd87160ab63747d796cc2bfe854af2dec006362daa,e85d891871bfd1579f649d594acc1838c7a7699052e02dc638927890cdfb93ab
"8","7","10001","53003","22","5","-1","6","1"
"4","7","10002","53002","22","5","-1","6","1"
"6","6","10101","53003","22","4","5","5","1"
"5","6","10102","53002","22","4","5","5","1"
"5","5","10201","53003","22","3","4","4","1"
"5","5","10202","53002","22","3","4","4","1"
"4","4","10301","53003","22","3","3","3","1"
"3","4","10302","53002","22","3","3","3","1"
"3","3","10401","53003","22","2","2","2","1"
"2","3","10402","53002","22","2","2","2","1"
"2","2","10501","53003","22","1","1","1","1"
"1","2","10502","53002","22","1","1","1","1"
"2","1","10601","53002","22","1","0","0","1"
"8","7","10701","53003","22","5","-1","6","2"
"4","7","10702","53002","22","5","-1","6","2"
"6","6","10801","53003","22","4","5","5","2"
"5","6","10802","53002","22","4","5","5","2"
"5","5","10901","53003","22","3","4","4","2"
"5","5","10902","53002","22","3","4","4","2"
"4","4","11001","53003","22","3","3","3","2"
"3","4","11002","53002","22","3","3","3","2"
"3","3","11101","53003","22","2","2","2","2"
"2","3","11102","53002","22","2","2","2","2"
"2","2","11201","53003","22","1","1","1","2"
"1","2","11202","53002","22","1","1","1","2"
"2","1","11301","53002","22","1","0","0","2"
"8","7","11401","53003","22","5","-1","6","3"
"4","7","11402","53002","22","5","-1","6","3"
"6","6","11501","53003","22","4","5","5","3"
"5","6","11502","53002","22","4","5","5","3"
"5","5","11601","53003","22","3","4","4","3"
"5","5","11602","53002","22","3","4","4","3"
"4","4","11701","53003","22","3","3","3","3"
"3","4","11702","53002","22","3","3","3","3"
"3","3","11801","53003","22","2","2","2","3"
"2","3","11802","53002","22","2","2","2","3"
"2","2","11901","53003","22","1","1","1","3"
"1","2","11902","53002","22","1","1","1","3"
"2","1","12001","53002","22","1","0","0","3"
"8","7","12101","53003","22","5","-1","6","4"
"4","7","12102","53002","22","5","-1","6","4"
