875ff19ca029bf45d9edf5efc900e786a7bf65800669bc1913b1a2e17ed621f7,7613828c25984f23fbe3c00f71bdf27cc0091a002757cb8b37762fe9109bcdc3,52b4506a47f0dc3d44aa10211ae26b1a1953f58ec1a07af8324bb0a95c5224ff,02aaf5bb0af5e99e0ac26fc2b88d850f9629eb0fdf56c384190cc29f6e8ab74c,43b64ff85a9a2c5eddde117aaa5db8df2e40ae07abe71be62dfd223c8d4dd30b,286b9c8cfb71354896940eb41fb6cc9fbf2cfb12f6a28195b724670c3e466926,472be4bdd00cbb934f8527e933712bfff9c2a4e213439a32792bbf648eabd9f6,aaf7fcd014655277583a8956b56544e022b2c9ac191a7e85e92593fc205995a0,0917f61818d2914b7122b63ee567042f313524de32d0165ea7c5363cea18ce4f,0a895c56fe9037775d3551df7d6026cec327a26fb57e916eacc972cae65b00fa,26257257432995948c819b2f7744ca0cf6c43042ec2cbfefe3e9478a55b556b8,ab5a97444579129d65ac486621951e0bf7e46f9e4e5865a28964b4ac7269b58e,28535364e9402b79b5b241c557f976209d586b433ecb17dce26cec3d11c89ceb
"それでいいのよ！","0","0","11120101","vo_minigame_1012_correct_107","0","8","0","1","1201","1","0","8"
"うん、OK！","0","0","11120102","vo_minigame_1012_correct_108","0","8","0","1","1201","1","0","8"
"いい調子ね！","0","0","11120103","vo_minigame_1012_correct_109","0","1","0","1","1201","1","0","1"
"じっくりでいいわ！","0","-1","11120201","vo_minigame_1012_correct_115","13333","1","0","1","1202","1","0","1"
"正解すりゃいいのよ！","0","-1","11120202","vo_minigame_1012_correct_117","13333","9","0","1","1202","1","0","9"
"すごいわね！","0","0","11120301","vo_minigame_1012_correct_118","0","1","0","1","1203","1","0","1"
"これ分かるの！？","0","0","11120302","vo_minigame_1012_correct_119","0","5","0.01","1","1203","1","8","5"
"これは大丈夫ね！","0","0","11120401","vo_minigame_1012_correct_125","0","1","0","1","1204","1","0","1"
"復習バッチリね！","0","0","11120501","vo_minigame_1012_correct_123","0","7","0.01","1","1205","1","4","7"
"連続で正解よ！","0","-1","11120601","vo_minigame_1012_correct_128","3","8","0","1","1206","1","0","8"
"巻き返すわよ！","0","-1","11120701","vo_minigame_1012_correct_131","3","2","0","1","1207","1","0","2"
"切り替えて！","0","0","11130101","vo_minigame_1012_incorrect_107","0","2","0","1","1301","1","0","2"
"こんなこともあるわ！","0","0","11130102","vo_minigame_1012_incorrect_108","0","9","0","1","1301","1","0","9"
"それじゃダメよ！","0","0","11130103","vo_minigame_1012_incorrect_109","0","4","0","1","1301","1","0","4"
"タイムアップよ！","0","-1","11130201","vo_minigame_1012_incorrect_116","20000","4","0","1","1302","1","0","4"
"いや答えなさいよ！","0","-1","11130202","vo_minigame_1012_incorrect_117","20000","5","0","1","1302","1","0","5"
"難しいわね…","0","0","11130301","vo_minigame_1012_incorrect_118","0","3","0.01","1","1303","1","6","3"
"難易度高すぎね…","0","0","11130302","vo_minigame_1012_incorrect_119","0","4","0","1","1303","1","0","4"
"忘れちゃダメよ？","0","0","11130401","vo_minigame_1012_incorrect_123","0","2","0","1","1304","1","0","2"
"全部が間違いじゃないわ！","0","0","11130501","vo_minigame_1012_incorrect_126","0","1","0","1","1305","1","0","1"
"フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪","1","10","11300101","vo_minigame_1012_result_1000","10","7","3.18","1","3001","1","4","8"
"すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪","1","10","11300102","vo_minigame_1012_result_1001","10","8","3.33","1","3001","1","10","7"
"全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！","1","10","11300103","vo_minigame_1012_result_1002","10","8","5.41","1","3001","1","10","1"
"へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！","2","10","11300104","vo_minigame_1012_result_1003","10","5","8.11","1","3001","1","10","8"
"まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！","2","10","11300105","vo_minigame_1012_result_1004","10","10","1.31","1","3001","1","0","5"
"ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！","2","10","11300106","vo_minigame_1012_result_1005","10","9","4.93","1","3001","1","0","8"
"すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪","3","10","11300107","vo_minigame_1012_result_1006","10","5","2.99","1","3001","1","4","8"
"満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪","3","10","11300108","vo_minigame_1012_result_1007","10","8","8.37","1","3001","1","4","7"
"全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？","3","10","11300109","vo_minigame_1012_result_1008","10","7","5.32","1","3001","1","8","5"
"お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！","1","9","11300110","vo_minigame_1012_result_1009","7","7","4.77","1","3001","1","4","1"
"うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！","1","9","11300111","vo_minigame_1012_result_1010","7","8","2.97","1","3001","1","4","7"
"あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！","1","9","11300112","vo_minigame_1012_result_1011","7","5","3.47","1","3001","1","0","1"
"すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！","2","9","11300113","vo_minigame_1012_result_1012","7","8","5.32","1","3001","1","4","7"
"うん、かなりいい感じよ！\nあんたには赤点の心配なんて\nまーったくなさそうね♪\nでも勉強はやめさせないけど！","2","9","11300114","vo_minigame_1012_result_1013","7","8","6.49","1","3001","1","10","7"
"あーあとちょっとで\n全問正解だったのに！\n難しい問題だけどあんたなら\n次は満点狙えるわ！","2","9","11300115","vo_minigame_1012_result_1014","7","5","3.56","1","3001","1","0","1"
"うん、ほとんど正解よ！\nこんな難しい問題なのに、\nすごいじゃない！\nやっぱりあんた只者じゃないわ！","3","9","11300116","vo_minigame_1012_result_1015","7","8","5.67","1","3001","1","10","1"
"着実に成長してるって感じね？\nあんたならこの難問でも、\nいつか満点取れちゃうかも…！","3","9","11300117","vo_minigame_1012_result_1016","7","7","2.85","1","3001","1","10","1"
"うわー惜しいわね！\nもうちょっとで満点よ？\nま、あたしでも悩む難問だから、\nこの点数は胸を張っていいわ！","3","9","11300118","vo_minigame_1012_result_1017","7","5","3.88","1","3001","1","0","1"
"正解率は半分くらいか～\n悪くはないんだけど、あんたなら\nこんなもんじゃないでしょ？","1","6","11300119","vo_minigame_1012_result_1018","4","3","4.12","1","3001","1","0","1"
"んーはっきり言っちゃうと\n中途半端な点数ね…\nまあいいわ！こっからガンガン\n点数上げていくわよ！","1","6","11300120","vo_minigame_1012_result_1019","4","9","4.34","1","3001","1","0","1"
"う～ん、正直物足りない点数ね！\nあんたには期待してんだから、\nもっと頑張んなさい！","1","6","11300121","vo_minigame_1012_result_1020","4","3","3.15","1","3001","1","0","1"
"半分くらいの正解率か\n難しい問題だから仕方ないわね…\nでもあんたはもっとできる！\nだってあたしがついてんのよ！","2","6","11300122","vo_minigame_1012_result_1021","4","9","5.3","1","3001","1","0","1"
"うん、そこそこできんじゃない！\n頑張って勉強して\nさらに上を目指しましょ！","2","6","11300123","vo_minigame_1012_result_1022","4","8","2.55","1","3001","1","0","1"
"難問なのにこの正解率は\nよくやってる方よね！\nでもこんなところで\n満足してんじゃないわよ！？","2","6","11300124","vo_minigame_1012_result_1023","4","1","4.19","1","3001","1","0","7"
"難問なのに半分くらい正解\nできてんじゃない♪\nこの調子でもっと学力\n上げていきましょ！","3","6","11300125","vo_minigame_1012_result_1024","4","7","3.43","1","3001","1","0","1"
"よし、平均点ってとこね！\nちゃんと勉強してるみたいで\n安心したわ～♪","3","6","11300126","vo_minigame_1012_result_1025","4","1","0","1","3001","1","0","1"
"難問揃いでこの正解率は\n大したもんよ！\nま、もっといい点取りたいんなら\n勉強、付き合ったげるわ！","3","6","11300127","vo_minigame_1012_result_1026","4","8","3.72","1","3001","1","0","7"
"なるほど…\nこれは教えがいがあるわね\nビシバシ鍛えてやるから\n覚悟しなさい！","1","3","11300128","vo_minigame_1012_result_1027","1","3","3.5","1","3001","1","1","2"
"ちょっとあんた、\n全然できてないじゃない！\n…まさかこれが本気だなんて\n言わないわよね～？","1","3","11300129","vo_minigame_1012_result_1028","1","4","3.25","1","3001","1","1","2"
"うーん……適当に答えても\nこれくらい正解できるわよ？\nちょっと本腰入れて\n教えないとね……！","1","3","11300130","vo_minigame_1012_result_1029","1","3","4.62","1","3001","1","0","2"
"…ま、まあこの問題は\nあんたには難しすぎたのかもね\nちょっとずつでいいから、\nレベルアップしていきましょ！","2","3","11300131","vo_minigame_1012_result_1030","1","9","4.5","1","3001","1","0","1"
"んー結構ミスっちゃってるわね…\nこのまま続けるのもいいけど、\n簡単な問題からやり直すのも\nありかもよ～？","2","3","11300132","vo_minigame_1012_result_1031","1","3","0.01","1","3001","1","9","3"
"あらら、あんたにはちょっと\n難しすぎたかしら…？\nもう一回やり直しましょうか！","2","3","11300133","vo_minigame_1012_result_1032","1","9","0.01","1","3001","1","9","9"
"うーん、残念な結果ね…\n超難問だから仕方ないけど\n無理せず簡単な問題から挑戦\nしてもいいかもよ？","3","3","11300134","vo_minigame_1012_result_1033","1","3","0.01","1","3001","1","6","3"
