158c9f3d37554ac869d68a722f7cb1be57378000398c1e09144613181ded9923,c02d589bc38e67a9f195287f33cfc8f42cc3e490c3fb856807ce9898ae18457e,7f7f08d63d36625df3d2fa828ba16b224d9f5532ca0fbab3fc5a6fc84a8dd79a,73ff9661cfc79f73e7e70b5df038bd52ddc0283bd962a0704fbe481edae32733,12f07693894c890321047dd6d85162428df693a1b86855d3c1557748cee2b650,f07ae5f50daaaa28be20e1fda061ec95c25f34beb2bd3e217159e2e05a91b4ba,50d1d31cbd3a293a727daad78bf71c6d6bb9773ebec34d5488fa0d2ef473f966
"0","4","0","1006401","開会式","20036104","10064"
"0","3","0","1006402","開会式","20036104","10064"
"1006402","1","0","1006403","徒競走","20036104","10064"
"1006402","4","0","1006404","徒競走","20036104","10064"
"1006402","2","0","1006405","徒競走","20036104","10064"
"1006405","2","0","1006406","騎馬戦","20036104","10064"
"1006405","4","0","1006407","騎馬戦","20036104","10064"
"1006406","3","0","1006408","昼休憩","20036106","10064"
"1006406","4","0","1006409","昼休憩","20036106","10064"
"1006408","3","0","1006410","学術文化出展各種","20036106","10064"
"1006408","4","0","1006411","学術文化出展各種","20036106","10064"
"1006408","1","0","1006412","学術文化出展各種","20036106","10064"
"1006410","4","0","1006413","侍女風給仕喫茶","20036108","10064"
"1006410","3","0","1006414","侍女風給仕喫茶","20036108","10064"
"1006414","3","0","1006415","総合リレー","20036113","10064"
"1006414","4","0","1006416","総合リレー","20036113","10064"
"1006415","1","2003601","1006417","セレモニーステージ","0","10064"
"1006415","4","2003601","1006418","セレモニーステージ","0","10064"
"1006415","2","2003601","1006419","セレモニーステージ","0","10064"
"1006419","3","2003601","1006420","閉会式","0","10064"
"1006419","4","2003601","1006421","閉会式","0","10064"
"1006420","4","2003601","1006422","コンプリート演出","0","10064"
