13e9c8f55291baf25fbf0242f985b1fe97718b08f66a71d4975b556da14f9b87,a0ceb270640d1150740d1f973461e93e96596d5a8f3ba8f1a970a74ee1279f6a,865236e3f5963a0351cba5c69d115de64c9fc69e1484ac7da13b3a5d00811b33,281781e171805a4c9d0c153a6f81bc53f8028c0d71753846b7c7d5ea5190f8eb,ec7cb4a1f264d2edc1f8947916b7363f9475a09cc4545eb3cf1c7e82ac326b65,ba0016cff72d61459eb50cc1fbe14fa008a6ed00738d12fcd6ed76c8a5d29f3d,e535db6a7ebc13e2cc386f9570265a1e6fa82139368512e02ea40ec63086237f,471602c16240434fe148908e63d1b18091d2ee5a1a154b8ca80ca7dd552f8dc0,e3aad79daa9adfe8359d760254b5dd9c8fc4fb499390511f916b8943741d5296
"1","1","2","3","100101","2","3","2","6"
"3","2","1","3","100201","1","2","1","5"
"1","3","2","2","100301","1","3","3","7"
"1","3","2","2","100401","2","3","2","13"
"2","2","3","3","100501","2","1","2","18"
"1","2","3","3","100601","1","2","2","25"
"3","2","1","3","100701","2","2","3","26"
"3","3","1","2","100801","2","1","3","40"
"1","2","3","2","100901","1","3","3","34"
"3","2","1","3","101001","1","2","1","8"
"2","2","1","3","101101","3","2","2","56"
"1","2","2","1","101201","3","3","2","43"
"1","3","3","3","101301","1","1","2","33"
"3","2","2","2","101401","1","1","1","11"
"3","3","1","2","101501","1","2","1","42"
"2","3","1","3","101601","3","1","2","46"
"1","2","2","3","101701","3","1","2","10"
"3","3","2","2","101801","1","1","1","45"
"2","1","2","3","102001","2","3","1","12"
"1","3","2","3","102101","1","2","1","30"
"1","3","2","1","102201","3","2","1","24"
"1","1","3","3","102301","2","3","2","31"
"3","2","1","2","102501","3","1","1","29"
"3","1","1","3","102601","2","2","1","51"
"2","3","1","1","102701","2","3","3","36"
"2","3","1","2","102801","2","1","1","28"
"2","2","1","3","102901","2","2","1","52"
"2","3","2","3","103001","1","1","2","39"
"3","1","1","2","103101","2","3","3","27"
"3","2","1","1","103201","2","3","2","19"
"2","1","2","3","103301","1","3","2","48"
"2","2","3","1","103401","2","2","1","20"
"3","2","3","1","103601","2","1","3","14"
"1","3","3","2","103701","2","1","3","17"
"3","1","3","2","103801","1","2","3","49"
"2","1","3","1","104001","3","2","1","44"
"3","2","2","2","104201","2","1","3","53"
"1","2","1","2","104301","3","3","3","9"
"3","1","2","2","104401","1","3","3","23"
"2","2","3","2","104501","1","2","1","38"
"3","1","1","2","104601","3","2","2","21"
"1","2","3","2","104701","3","1","3","15"
"1","3","2","1","104801","3","2","3","22"
"2","2","1","2","104901","2","3","1","55"
"2","2","2","3","105001","3","1","1","47"
"3","1","2","1","105101","3","1","3","35"
"2","2","1","3","105201","2","2","2","50"
"1","3","1","2","105301","2","3","3","37"
"2","1","1","3","105401","3","2","2","54"
"2","1","3","2","105501","1","3","1","41"
"1","2","1","3","105601","3","2","3","32"
"1","2","2","3","105701","2","2","1","67"
"2","2","1","3","105801","2","2","2","1"
"3","2","2","2","105901","1","2","1","2"
"2","1","3","2","106001","3","1","3","3"
"1","2","2","3","106101","2","3","2","58"
"1","1","2","3","106301","2","3","1","68"
"1","2","3","3","106401","2","2","1","4"
"1","2","3","3","106501","2","1","3","61"
"3","1","3","3","106601","2","1","2","62"
"2","2","2","2","106701","1","1","3","60"
"1","2","3","1","106801","2","1","1","57"
"3","1","2","1","107001","1","2","3","59"
"1","3","2","1","107101","2","2","3","16"
"2","2","2","2","109201","1","2","1","70"
"2","2","1","3","109301","3","2","2","72"
"1","3","2","2","109401","3","1","3","71"
"1","2","2","2","110801","3","2","1","64"
"2","3","1","2","110901","2","1","2","65"
"3","1","2","3","111001","1","1","3","63"
"2","1","3","2","111401","3","2","2","69"
"3","2","2","1","118001","3","1","2","66"
