1065485a0fc1631b090607ad6d49376a8bc64f5216cc1b9a304cf784c6a6d1c2,e8d9647ab155d214d19ab46e4fc314360addb5b4dd8b5d89394ac0a949400193,c94bd65102a2037e006fe881bbf2c2f39469e1e1272310ee28cd2e332c34bc53,61c631e0efe6695036818b37b9705234697b7e6d91c528cec042f7f2970d6677,1c41d763dfac5eafce556f4340ac8b83dfca8855dff21a0a73b4caeb9bf3d6a7,07f783f27db3d4c0deb68d7b97fc89d1ba91726e5899382ef4cf16206f1126df,40273514123c73612929cef51236c4181a4221e1e6043717ae5536134787b393
"1","1","1","0","0","1","1"
"2","4","1","0","0","2","1"
"1","5","1","0","12","3","1"
"2","2","1","0","0","4","1"
"1","8","2","0","0","5","1"
"1","1","1","0","0","1","2"
"2","1","1","0","0","2","2"
"1","6","1","0","0","3","2"
"2","1","1","0","0","4","2"
"3","1","1","0","0","5","2"
"1","3","3","0","11","6","2"
"2","1","1","0","0","7","2"
"1","3","1","0","0","8","2"
"1","1","2","0","0","9","2"
"1","1","1","0","0","1","3"
"2","10","1","0","0","2","3"
"1","11","1","0","0","3","3"
"2","5","1","0","0","4","3"
"3","6","1","0","0","5","3"
"3","3","1","0","0","6","3"
"4","3","2","0","9","7","3"
"4","7","1","0","0","8","3"
"4","1","1","0","0","9","3"
"1","9","3","0","8","10","3"
"2","4","1","0","0","11","3"
"1","1","1","0","0","12","3"
"4","3","1","0","0","13","3"
"3","3","2","0","11","14","3"
"1","4","1","0","10","1","4"
"1","12","1","0","12","2","4"
"2","1","1","0","10","3","4"
"1","11","1","0","4","4","4"
"2","1","1","0","0","5","4"
"1","4","1","0","13","6","4"
"2","2","1","0","6","7","4"
"1","8","1","0","0","8","4"
"2","8","1","0","10","9","4"
"1","1","1","0","10","1","5"
"2","11","1","0","5","2","5"
"1","1","1","0","7","3","5"
"2","5","1","0","12","4","5"
"1","1","1","0","11","5","5"
"2","3","1","0","4","6","5"
"2","5","1","0","12","7","5"
"1","2","1","0","6","8","5"
"2","11","1","0","4","9","5"
"1","8","1","0","8","10","5"
"1","4","1","0","10","11","5"
"2","5","1","0","10","12","5"
"1","8","1","0","7","1","6"
"2","4","1","0","10","2","6"
"1","1","1","0","11","3","6"
"2","8","1","0","8","4","6"
"1","11","1","0","6","5","6"
"1","2","2","0","7","6","6"
"1","5","1","0","4","7","6"
"2","4","1","0","10","8","6"
"1","10","2","0","13","9","6"
"1","8","1","0","7","1","7"
"2","12","1","0","10","2","7"
"2","4","1","0","12","3","7"
"1","11","1","0","7","4","7"
"1","1","1","0","10","5","7"
"2","5","1","0","12","6","7"
"2","5","1","0","11","7","7"
"2","8","1","0","10","8","7"
"1","2","1","0","8","9","7"
"1","8","1","0","7","10","7"
"2","4","1","0","9","11","7"
"1","1","2","0","10","1","8"
"2","12","1","0","10","2","8"
"1","12","1","0","5","3","8"
"1","5","1","0","12","4","8"
"2","1","1","0","10","5","8"
"1","5","1","0","12","6","8"
"1","5","1","0","12","7","8"
"2","1","1","0","10","8","8"
"2","8","1","0","9","9","8"
"1","4","2","0","9","10","8"
"1","4","1","0","8","1","9"
"1","5","1","0","10","2","9"
"2","4","1","0","7","3","9"
"2","6","1","0","8","4","9"
"1","1","1","0","10","5","9"
"1","11","1","0","11","6","9"
"1","1","1","0","6","7","9"
"2","5","1","0","8","8","9"
"2","8","1","0","7","9","9"
"1","4","1","0","6","10","9"
"2","11","1","0","10","1","10"
"1","1","1","0","7","2","10"
"1","8","2","0","8","3","10"
"2","5","1","0","9","4","10"
"1","10","1","0","8","5","10"
"1","1","2","0","7","6","10"
"1","2","2","0","6","7","10"
"1","11","1","0","10","8","10"
"2","8","1","0","10","9","10"
"1","9","1","0","8","1","11"
"2","5","1","0","0","2","11"
"2","6","1","0","12","3","11"
"1","1","1","0","5","4","11"
"2","5","1","0","10","5","11"
"2","6","1","0","12","6","11"
"1","1","1","0","4","7","11"
"1","11","1","0","0","8","11"
"1","6","1","0","0","9","11"
"2","1","1","0","10","10","11"
"1","6","1","0","11","11","11"
"2","1","1","0","12","12","11"
"2","5","1","0","6","13","11"
"1","10","1","0","7","14","11"
"2","4","1","0","7","15","11"
"2","11","1","0","4","1","12"
"1","1","1","0","5","2","12"
"2","6","1","0","10","3","12"
"2","5","1","0","10","4","12"
"1","11","1","0","0","5","12"
"2","6","1","0","0","6","12"
"2","12","1","0","17","7","12"
"1","5","1","0","1","8","12"
"1","1","1","0","2","9","12"
"2","6","1","0","10","10","12"
"2","4","1","0","10","11","12"
"1","1","1","0","0","12","12"
"1","5","1","0","13","13","12"
"2","11","1","0","8","14","12"
"1","8","1","0","10","15","12"
"1","11","1","0","10","1","13"
"3","11","1","0","8","2","13"
"2","6","1","0","0","3","13"
"1","11","1","0","10","4","13"
"2","11","1","0","7","5","13"
"3","2","1","0","6","6","13"
"3","1","1","1500","0","7","13"
"1","11","3","0","5","8","13"
"3","5","1","0","10","9","13"
"2","1","1","0","4","10","13"
"1","1","1","0","4","11","13"
"3","6","1","0","6","12","13"
"1","4","1","0","6","13","13"
"1","9","3","0","10","14","13"
"3","8","1","0","10","15","13"
"1","4","1","0","6","16","13"
"3","1","1","0","0","17","13"
"2","8","1","0","8","18","13"
"1","11","1","0","0","1","14"
"1","2","2","0","13","2","14"
"3","11","1","0","10","3","14"
"1","1","1","0","10","4","14"
"1","4","2","0","10","5","14"
"2","11","1","0","0","6","14"
"2","1","1","0","0","7","14"
"1","1","1","0","10","8","14"
"3","12","1","0","12","9","14"
"3","12","1","0","12","10","14"
"3","5","1","0","0","11","14"
"1","5","1","0","12","12","14"
"1","10","2","0","6","13","14"
"1","11","1","0","10","14","14"
"1","10","3","0","6","15","14"
"1","11","1","0","10","16","14"
"1","2","3","0","6","17","14"
"1","10","2","0","6","18","14"
"1","11","1","0","4","19","14"
"2","8","1","0","10","20","14"
"1","8","3","0","4","21","14"
"2","12","1","0","10","1","15"
"1","12","1","0","12","2","15"
"3","11","1","0","12","3","15"
"1","11","1","0","6","4","15"
"2","12","1","0","12","5","15"
