676fa800971f58dfba63b9a7454adedeba26ab46a2430786dc4d470b0a9f80ef,f4ea0df1d60d2bec1ebfc92615accb6bb70e5b947a5360536d21a0e5f1e0592c,e0451f0d7c31c83a8d01a0a2134859cc3c75f4b745c444a8800076b13cad5dec,2ec7d9c995398654bfe158fd184c6839a6d0d032b9d222234daf8293f0ebcda2,3d716d270fc22a8c9e0e85d779f0b9b8d65b772be5d65f2e5778c41bf3f956b8,edc26b7e42c5bf69de45ccae9aee7b3455747f9bb050216b5e7a6792fee53039,6b94156eaa6504ccbfdaf4b5f377b89a230c44316b46ee04d1153014df705c3a,b420cf5dc69a6a07e9c47fde263a2f7d179170868c996ca1b4cde71dd6884dca,0f8cba49f252044d7b430b66fe52c0e7d5b638434cd391674c639c19d2ed0ec9,0febc8ef3a4583ea82b61c77dd95ba7efb4ff61c8f208b0a2f19ce45a82e9f94,533be05d9666e942cb00f2f5fd43239d0072e355f8c0e492d621d9b46760ba99,29ba48285d3bd3d4fbda0e802e017f53dc2f4b930f20e7f08f90e0ec1c1fd770,9d63c08a4f2f19f088475a0beb3a44f96dfa4953318ef23c2cfdee52336ab129
"1","3001100","2","2024/10/31 12:00:00","100","0","3001","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか","ヤマト","130011","-416.5","2030/01/01 14:59:59","2.1"
"4","3001101","2","2024/10/31 12:00:00","101","0","3001","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか","ヤマト","130011","-416.5","2030/01/01 14:59:59","5.68"
"1","3001102","1","2024/10/31 12:00:00","102","0","3001","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。","ヤマト","130011","-416.5","2030/01/01 14:59:59","0"
"1","3002100","1","2024/10/31 12:00:00","100","0","3002","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"1","3002101","1","2024/10/31 12:00:00","101","0","3002","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"5","3002102","2","2024/10/31 12:00:00","102","0","3002","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ","フブキ","130211","-416.5","2030/01/01 14:59:59","8.53"
"7","3002103","1","2024/10/31 12:00:00","103","0","3002","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？","フブキ","130211","-416.5","2030/01/01 14:59:59","5.67"
"1","3002104","1","2024/10/31 12:00:00","104","0","3002","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"3","3002300","3","2024/10/31 12:00:00","300","0","3004","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"7","3002400","7","2024/10/31 12:00:00","301","0","3005","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"2","3003200","1","2024/10/31 12:00:00","200","0","3003","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪","フブキ","130211","-416.5","2030/01/01 14:59:59","4.4"
"7","3003201","7","2024/10/31 12:00:00","201","0","3003","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ","フブキ","130211","-416.5","2030/01/01 14:59:59","0"
"1","3003202","2","2024/10/31 12:00:00","202","0","3003","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪","フブキ","130211","-416.5","2030/01/01 14:59:59","5.6"
