803e3219f1e232ef253bd52f2a320d1906fe2b3fb5fbef0afc15a3f39ab099c9,71f5d3fa24f065edc3efa428488f9b95b04c5ec592c62fe29cd4040db4dee0f7,f8b37563cb4d3d28cda923478fe24140e7f84efa069c74625ab732203f0cf706,d7856a62b39fed011f40070f94ef0b3db1425540f6f0cca7c1e5ebcca57f0aa7,0ed1163ac6e50b0c28bc0d59bbe08e31ca913cc2e16f2c4c75e2b238a81f5f2f,58f96fd44ce6a63a40dbd9aa38f9f14caa5878cfcf1f927f9e8714173a262bb5,6b07460c509f1e9e70005b3d3699956680b5750d0f0c540095b88170e5c0b77c,5612d5a4cd8db71d1804455a6bc7d06c46d4d9abac52598fab78b92f463d6bfd,e4e87f084054f83ef71ddfb3c5b36fbfe1075e8df7ea777a1c004b874a8214e6,81a530382516d80e977c485fdc989abfca497efaa98a479be84bbd46eac2bb38,ed348f3accea33b9f4bdd57bc7a858bfc3da385715c78b82443e3833e6e4f99f,a05016dec7022fa94ad8e3604b485e13e2036d0f0b8d2d00098a60e9cd4e6fa9,3aa5d5f70c9a6adaa56cdf9762bfdf9e0140741a18fe149344f011b1c6783422,1d966ad19bd1d133818a91d5bedb497975869551e10707a78371527ab0897692,2e0cfbedc16787d75b4c7eea825cff420af2452951743893f0365d4462f17662,2c6c820562ca51fe137ddcb6880f0ac62db273b0fe0292d61bcce9cfdbd01f75,20bebb5c40f600711f6f8a44be0d411063ebf36476b0cb6ce9aec349a50c992a
"11001001","1","10","スィオネ\n樹林","11001001","4104351","4104401","-470","108","4101351","4201401","7200","43200","4101401","100000","11001","1"
"11001002","1","10","ヘリケ巨木","11001002","4110351","4110401","-235","90","4106351","4203401","7200","43200","4106401","100000","11001","2"
"11001003","1","10","イオカステ\n岩山","11001003","4105351","4105401","0","108","4102351","4201401","7200","43200","4102401","100000","11001","3"
"11001004","1","10","ハルパリ\n大滝","11001004","4109351","4109401","235","90","4108351","4203401","7200","43200","4108401","100000","11001","4"
"11001005","1","10","ムネメー川","11001005","4107351","4107401","470","108","4103351","4201401","7200","43200","4103401","100000","11001","5"
"11002003","1","10","アルバ浜堤","11002001","4101401","4201401","-470","108","4301351","4301401","7200","43200","4104401","100000","11002","6"
"11002002","1","10","サダルスド\n砂浜","11002002","4106401","4203401","-235","90","4305351","4305401","7200","43200","4110401","100000","11002","7"
"11002001","1","10","ダルリク\n巨岩","11002003","4102401","4201401","0","108","4302351","4302401","7200","43200","4105401","100000","11002","8"
"11001005","1","10","アンカル川","11002004","4108401","4203401","235","90","4304351","4304401","7200","43200","4109401","100000","11002","9"
"11001001","1","10","ダクビア\n森林","11002005","4103401","4201401","470","108","4303351","4303401","7200","43200","4107401","100000","11002","10"
"11003001","1","10","ミーマス\n洞穴","11003001","4201401","4104401","-470","108","4201351","4109401","7200","43200","4101401","100000","11003","11"
"11003002","1","10","レアント川","11003002","4202401","4102401","-155","90","4202351","4110401","7200","43200","4108401","100000","11003","11"
"11003003","1","10","ケランド\n廃墟","11003003","4203401","4105401","160","108","4203351","4109401","7200","43200","4103401","100000","11003","11"
"11003004","1","10","デオネカ\n氷海","11003004","4204401","4107401","470","90","4204351","4110401","7200","43200","4106401","100000","11003","11"
