e6a023c778b59229cb07a4836dc7c8703131c9315cdc01a951dcf5d5b3b45a30,51d6e4257b377ea347dd0b6f2844109349be3a2f02f7ea826116f51cb2f0970d,3e401d089bcfa073c47ef9c3eab268a5eefcce3e00110fe62ca46b84820ecd8b,e09600ed2d06020ab2cd7505e7ef6271092f1792562525eb6f29fb89c50a8979,4570e3749da7291cdf99da4b9473213dfb7cdf50c1afe783f8752517a60ceff3
"1","0","1","0","1001"
"2","0","1","0","1002"
"3","0","1","0","1003"
"4","0","1","0","1004"
"1","0","2","0","2001"
"2","0","2","0","2002"
"3","0","2","0","2003"
"4","0","2","0","2004"
"1","0","2","1","2101"
"2","0","2","1","2102"
"3","0","2","1","2103"
"4","0","2","1","2104"
"11","10001","2","2","2111"
"12","10001","2","2","2112"
"13","10001","2","2","2113"
"1","0","3","0","3001"
"2","0","3","0","3002"
"3","0","3","0","3003"
"4","0","3","0","3004"
"1","0","4","0","4001"
"2","0","4","0","4002"
"3","0","4","0","4003"
"4","0","4","0","4004"
"100","0","4","0","4005"
"10101","0","5","1","5010"
"10201","1","5","2","5020"
"10202","2","5","2","5021"
"10301","0","5","3","5030"
"10301","1","5","3","5031"
"10302","0","5","4","5040"
"10303","0","5","5","5050"
"10304","0","5","6","5060"
"90001","0","6","1","6001"
"90001","0","6","2","6002"
"90001","1","6","2","6003"
"90001","0","6","3","6006"
"91101","1","6","3","6007"
"91201","2","6","3","6008"
"91301","3","6","3","6009"
"90001","0","6","4","6010"
"91101","1","6","4","6011"
"91201","2","6","4","6012"
"91301","3","6","4","6013"
"90001","0","6","5","6014"
"91101","1","6","5","6015"
"91201","2","6","5","6016"
"91301","3","6","5","6017"
"90001","0","6","6","6018"
"91101","1","6","6","6019"
"91201","2","6","6","6020"
"91301","3","6","6","6021"
"92001","0","6","7","6022"
"92101","1","6","7","6023"
"92201","2","6","7","6024"
"92301","3","6","7","6025"
"92401","4","6","7","6026"
"92001","0","6","8","6027"
"92101","1","6","8","6028"
"92201","2","6","8","6029"
"92301","3","6","8","6030"
"92401","4","6","8","6031"
"90002","0","7","0","7000"
"90002","1","7","0","7001"
"90003","2","7","0","7002"
"90002","1","7","2","7003"
"90003","2","7","2","7004"
"91102","1","7","3","7005"
"91103","2","7","3","7006"
"91102","1","7","4","7007"
"91103","2","7","4","7008"
"91102","1","7","5","7009"
"91103","2","7","5","7010"
"91102","1","7","6","7011"
"91103","2","7","6","7012"
"92102","1","7","7","7013"
"92103","2","7","7","7014"
"92102","1","7","8","7015"
"92103","2","7","8","7016"
"20101","0","9","0","9001"
"20201","0","10","0","10001"
"20202","0","10","1","10002"
"10501","0","101","8","10180"
"1","0","100","1","100001"
"1","0","100","2","100002"
"2","0","100","3","100003"
"2","0","100","4","100004"
"2","0","100","5","100005"
"2","0","100","6","100006"
"3","0","100","7","100007"
"3","0","100","8","100008"
"10301","0","101","98001","980001"
"10402","2","101","98001","980002"
"10401","1","101","98011","980011"
"10402","2","101","98012","980012"
