4128557dd393c22444e93066b89c485f734a50c16f34bbf4ac97672512116d5b,f8ca9722f05dc9bc725c0efd4399e7f5f3bfc200146659df7afa2b5a94b54166,a09d1d9311036018279308c6aeb77d90a63d1062c7db1e3ad91621ad8402c8b5,f96d6d4ed52ab9c5025d24ee00e5b06238fd44e9f016b230ecf5c67b0b36b530
"1001","戦闘不能になったキャラが0人以下で勝利","100101","0"
"1001","戦闘不能になったキャラが1人以下で勝利","100102","1"
"1001","戦闘不能になったキャラが2人以下で勝利","100103","2"
"1002","バトルの残り時間が1:15以上で勝利","100201","74001"
"1002","バトルの残り時間が1:10以上で勝利","100202","69001"
"1002","バトルの残り時間が1:00以上で勝利","100203","59001"
"1002","バトルの残り時間が0:50以上で勝利","100204","49001"
"1002","バトルの残り時間が0:45以上で勝利","100205","44001"
"1002","バトルの残り時間が0:40以上で勝利","100206","39001"
"1002","バトルの残り時間が0:30以上で勝利","100207","29001"
"1003","味方のTotal HPが100%以上で勝利","100301","1000"
"1003","味方のTotal HPが90%以上で勝利","100302","900"
"1003","味方のTotal HPが80%以上で勝利","100303","800"
"1003","味方のTotal HPが70%以上で勝利","100304","700"
"1003","味方のTotal HPが60%以上で勝利","100305","600"
"1003","味方のTotal HPが50%以上で勝利","100306","500"
"1003","味方のTotal HPが99%以上で勝利","100307","990"
