10d2cb14e2212e51fe4baba13cca886ba3c6a0b1f58b108de510ff64184ebbd2,7d726aa9530a94e22b332cff92fc9bb38e008e9f505fc46aba5b0b48cd1c0e45,ab2895016540e8f36f0eac7d64a2bc4a4958e8a4eea82d54dac3a30f983cbf39,addc4afde13b1833a47ead88c65d05a3d93ed1050a7bbcf642d1751500c058be,c26fe38de72ae366d7a2463c49404d8f2d7218d5388443b70f6b8961b359e2eb,12f6959744897eb043b8beac052970ecdddf40233e38b4ca332ee95fe24cc14b,db09f4aa940392fd9a838b82937d89707aaf0648611d3f6d0db0a0781f987142,8a542cb7d339cc237cf4a4722fdd78f31d66afaedb40e4959297fdfd09083d11,9232123dd6b75e7044e11344ba5929c3c6a71698d9b27e79638aebcac4366492,9c309fa12809f4066d55b0464f23f3cd5f81c1a9ea5d61322d2d89f175d4b5d5,52ac4974c57298f16e00b11e9d830acb1ac0fcd654454ba5dc8ee54bb01be4ad
"1010001","1","-175","1","pkb_idle_normal","64","1","1.65","113511","100","1"
"1010002","1","","","","","3","0.2","pkb_talk_wish","1","113511"
"1010003","1","","","","0","21","","vo_minigame_1006_top_101","0","vo_minigame_1006"
"1010004","1","0","0","0","0","11","0","今日も先生と一緒に\n頑張りましょうね～","8","113511"
"1010005","1","","","","","91","","","","0"
"1010006","1","","","","","3","0.2","pkb_idle_normal","1","113511"
"1020001","2","-175","1","pkb_idle_normal","64","1","1.65","113511","100","1"
"1020002","2","","","","","3","0.2","pkb_talk_wish","1","113511"
"1020003","2","","","","0","21","","vo_minigame_1006_top_102","0","vo_minigame_1006"
"1020004","2","0","0","0.5","0","11","0","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","6","113511"
"1020005","2","","","","","93","","","","6"
"1020006","2","1","","","pkb_idle_normal","3","0.2","pkb_talk_fun","0","113511"
"1020007","2","","","","","91","","","","1020004"
"1020008","2","","","","","3","0.2","pkb_idle_normal","1","113511"
"1030001","3","-175","1","pkb_idle_normal","64","1","1.65","113511","100","1"
"1030002","3","1","0.2","","pkb_idle_normal","3","0.2","pkb_smile","0","113511"
"1030003","3","","","","0","21","","vo_minigame_1006_top_103","0","vo_minigame_1006"
"1030004","3","0","0","0","0","11","0","ケガには気を付けてね\n無理は禁物ですよ～♪","6","113511"
"1030005","3","","","","","93","","","","2"
"1030006","3","","","","","3","0.2","pkb_talk_wish","1","113511"
"1030007","3","","","","","91","","","","1030004"
"1030008","3","","","","","3","0.2","pkb_idle_normal","1","113511"
"1040001","4","-155","1","pkb_idle_normal_l","64","5","57","3","100","3"
"1040002","4","1","0.2","","pkb_idle_arm_crossed_l","3","0.2","pkb_talk_arm_crossed_l","0","3"
"1040003","4","","","","0","21","","vo_minigame_1006_top_601","0","vo_minigame_1006"
"1040004","4","0","","0","0","11","0","今日の練習も\n手加減しねえ！\nしっかりついてこい！","8","3"
"1040005","4","","","","","91","","","","0"
"1040006","4","","","","","3","0.2","pkb_idle_normal_l","1","3"
"1050001","5","-155","1","pkb_idle_normal_l","64","5","57","3","100","3"
"1050002","5","1","0.2","","pkb_idle_arm_crossed_l","3","0.2","pkb_talk_arm_crossed_l","0","3"
"1050003","5","","","","0","21","","vo_minigame_1006_top_602","0","vo_minigame_1006"
"1050004","5","0","","0","0","11","0","おーし！\n気合いいれて\n練習すんぞー！","8","3"
"1050005","5","","","","","93","","","","2"
"1050006","5","1","0.2","","pkb_idle_normal_l","3","0.2","pkb_talk_handsup_l","0","3"
"1050007","5","","","","","91","","","","1050004"
"1050008","5","","","","","3","0.2","pkb_idle_normal_l","1","3"
"1060001","6","-155","1","pkb_idle_normal_l","64","5","57","3","100","3"
"1060002","6","1","0.2","","pkb_idle_arm_crossed_l","3","0.2","pkb_talk_arm_crossed_l","0","3"
"1060003","6","","","","0","21","","vo_minigame_1006_top_603","0","vo_minigame_1006"
"1060004","6","0","","0","0","11","0","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","8","3"
"1060005","6","","","","","93","","","","3"
"1060006","6","1","","","pkb_idle_guts_l","3","0.2","pkb_talk_guts_l","0","3"
"1060007","6","","","","","91","","","","1060004"
"1060008","6","","","","","3","0.2","pkb_idle_normal_l","1","3"
"1070001","7","-175","1","pkb_idle_normal","64","1","1.65","113411","100","1"
"1070002","7","1","0.2","","pkb_talk_joy1","3","0.2","pkb_talk_fun","0","113411"
