2b647f5deb67d262d1120499b0e3373506638be36c9479f865b18418bc342c6e,de8f09737e4e24be2044d220f54638233283460e6809bc74c46b3dd9ab4d5764,e8c7c36b5b52aa366222c8749e591007d3f6c511536496c86e6bf1fbc7e6be71
"1","101","サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。"
"2","201","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"3","301","ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。"
"4","20005","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"5","20007","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"6","20009","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"7","20010","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"8","20011","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"9","20013","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"10","20015","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"11","20016","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"12","20018","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"13","20020","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"14","20021","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"15","20022","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"16","20025","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"17","20026","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"18","20027","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"19","20029","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"20","20031","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"21","20032","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"22","20033","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"23","20035","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"24","20038","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"25","20040","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"26","20042","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"27","20044","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"28","20045","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"29","20047","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"30","20051","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"31","20052","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"32","20053","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"33","20055","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"34","20057","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"35","20058","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"36","20059","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。"
"2003201","2003201","VERY HARDでカズマサさまが援護してくれるようです。\n強力なスタン効果のユニオンバーストで、サポートしてくださいますよ。\nボスが身動きを取れなくなっている間に、一気に倒しましょう。"
"2003901","2003901","主さまが宿題に励んでおられるようです。\n宿題が終わるまでモンスターの攻撃を耐え抜けば勝利となりますよ。\n宿題がどこまで進んでいるかは画面のゲージを確認しましょう。	"
