c3bc4634b12daa89a254864a46691d85acc1ad5c1c942049a9d0cca0962b5c97,7862bc57c15d67b0c76ab7b935aa750b7558084ec44d2f3ca8e6430e611ed768,f2b578639a03a63718ac30b564c60879f30c0c6cbfe710798dfc4e10ebe0ff59,4c1abd1e392894127817a1245e1ba997f1f5c76e0e076d0353ebc65ba85da7f6,ea0d2b375abc4315b50db609fbe9c8e2c293cf6faf5cf8a40ba81c54ea41a62d
"94002","150000","12","10000101","100001011"
"22003","6","2","10000101","100001012"
"94002","500000","12","10000102","100001021"
"22003","6","2","10000102","100001022"
"94002","500000","12","10000103","100001031"
"140001","3","4","10000103","100001032"
"25001","3","2","10000103","100001033"
"94002","500000","12","10000104","100001041"
"22003","6","2","10000104","100001042"
"94002","500000","12","10000105","100001051"
"140001","4","4","10000105","100001052"
"25001","4","2","10000105","100001053"
"94002","500000","12","10000106","100001061"
"22003","6","2","10000106","100001062"
"94002","500000","12","10000107","100001071"
"140001","4","4","10000107","100001072"
"25001","4","2","10000107","100001073"
"94002","500000","12","10000108","100001081"
"22003","6","2","10000108","100001082"
"94002","500000","12","10000109","100001091"
"140001","4","4","10000109","100001092"
"25001","4","2","10000109","100001093"
"94002","120000","12","10050501","100505011"
"22003","3","2","10050501","100505012"
"94002","120000","12","10050502","100505021"
"22003","4","2","10050502","100505022"
"94002","120000","12","10050503","100505031"
"22003","4","2","10050503","100505032"
"94002","120000","12","10050511","100505111"
"22003","3","2","10050511","100505112"
"94002","160000","12","10050512","100505121"
"22003","4","2","10050512","100505122"
"94002","120000","12","10060601","100606011"
"22003","3","2","10060601","100606012"
"94002","120000","12","10060602","100606021"
"22003","4","2","10060602","100606022"
"94002","120000","12","10060603","100606031"
"22003","4","2","10060603","100606032"
"94002","120000","12","10060611","100606111"
"22003","3","2","10060611","100606112"
"94002","160000","12","10060612","100606121"
"22003","4","2","10060612","100606122"
"94002","120000","12","10070701","100707011"
"22003","3","2","10070701","100707012"
"94002","120000","12","10070702","100707021"
"22003","4","2","10070702","100707022"
"94002","120000","12","10070703","100707031"
"22003","4","2","10070703","100707032"
"94002","120000","12","10070711","100707111"
"22003","3","2","10070711","100707112"
"94002","160000","12","10070712","100707121"
"22003","4","2","10070712","100707122"
"94002","120000","12","10080801","100808011"
"22003","3","2","10080801","100808012"
"94002","120000","12","10080802","100808021"
"22003","4","2","10080802","100808022"
"94002","120000","12","10080803","100808031"
"22003","4","2","10080803","100808032"
"94002","120000","12","10080811","100808111"
"22003","3","2","10080811","100808112"
"94002","160000","12","10080812","100808121"
"22003","4","2","10080812","100808122"
