c66c79b54d378204653d37a085f324f9bbeb92f33d83059f05de73ce366e41d9,8a7db9763926cf70af614b460f6e5134eb1d3677a1c3fef8a45d0f36b486e862,2900223bc074713a959d0a1c6163f63d2bdf70d1d863c589c7ed256e38d894f8,7228bb60e9f56b1c3252bc750d388c17bdcd6904c01b286d2eacb0022e237cf3,e1ba67ce0b132ebdd3d56211465a6e802120fd291062ed078f30291b1ed62244,80a8d927154ffbb004fe41618784ead1536783e85065f929fca971d9f06c22f9,790ae3f50a21757becd04ac174ff82c6feb0f8c4c24508cdf35fcccc8907b478,b6b5e3096953cbc85ce8d512436e5838bc2bd540ef0c1aeaaca57a1f758bedc8,d5f29505d080894f4e24aabe14ffeb0acb447ffe04328a91db4186e32b42a630,6b13c81a2557cdb2d6ef87fb14598b980ef2a593ea878c9c8692186a1a988a00,517f516b699e1074004f4ea75f52ca04600b358fcf691eff77ad858f598f3611
"0","1013","2","1","1","1","難易度1以上で1回クリアしよう","1","3","1","1"
"0","1013","2","2","2","1","難易度2以上で1回クリアしよう","1","5","2","2"
"0","1013","2","3","3","1","難易度3以上で1回クリアしよう","1","5","3","3"
"0","1013","2","4","4","1","難易度4以上で1回クリアしよう","1","5","4","4"
"0","1013","2","5","5","1","難易度5で1回クリアしよう","1","5","5","5"
"0","1013","3","0","6","1","迷宮遺物を累計10個集めよう","10","0","6","6"
"0","1013","3","0","7","1","迷宮遺物を累計50個集めよう","50","0","7","7"
"0","1013","3","0","8","1","迷宮遺物を累計100個集めよう","100","0","8","8"
"0","1013","4","0","9","1","キャラを累計で10人勧誘しよう","10","0","9","9"
"0","1013","4","0","10","1","キャラを累計で50人勧誘しよう","50","0","10","10"
"0","1013","4","0","11","1","キャラを累計で100人勧誘しよう","100","0","11","11"
"0","1013","4","0","12","1","キャラを累計で150人勧誘しよう","150","0","12","12"
"0","1013","5","0","13","1","アルファ強化でノードを1個解放しよう","1","0","13","13"
"0","1013","5","0","14","1","アルファ強化でノードを5個解放しよう","5","0","14","14"
"0","1013","5","0","15","1","アルファ強化でノードを10個解放しよう","10","0","15","15"
"0","1013","5","0","16","1","アルファ強化でノードを15個解放しよう","15","0","16","16"
"0","1013","5","0","17","1","アルファ強化でノードを20個解放しよう","20","0","17","17"
"0","1013","5","0","18","1","アルファ強化でノードを25個解放しよう","25","0","18","18"
"0","1013","5","0","19","1","アルファ強化でノードを30個解放しよう","30","0","19","19"
"0","1013","5","0","20","1","アルファ強化でノードを40個解放しよう","40","0","20","20"
