f10d55297f800b036d899244e0f71312a90b673fec173473ec017b4b7f818f30,371d0390cb6db7b070e33edeeebfb826b15bb5340e3616fc8f434d835bbb39f0,07b5ebbb566ffa2eee533611c87d926aed2b195ffbefdb1ee5ce7edff236e8d2,e9a20c5ab78d8b55dafed2440f43988848607f3cf64d31dfcfc0a9cc129cbfd3,bd30fdc785eb71eeb528f28b2231230d8690f1c3a904890d61fda9de2f717aed,3c9579e93e1beb3cf08b38bd3345e71cdd4dab579d7c0990e0a5334a1e1e3e2a,d7d9caed3469ba3a75d9b75acd0ba16581ad573626ea7061aa0d4db68c371714,aa44ba275366a44f87ae3ca3d43311230685a0ee56323984c8315dd7e293faf2,5103fe47248ecc1c5868ba2b11c517f37e20bb529f5c9c475cd39bc2d4fd30e9,5f08b793a09e66617677b6965bb5addf9dc4532bf684c80b9e00d42d2c5c6839,268c5f7c652eebe5ea954695ffce7625aded0d144f0bf726c3d7ebbf294e4e2d
"0","2.08","100","113511","1007001","svd_idle_normal","-750","2","5","1007001001","-300"
"1","2.08","100","113411","1007001","svd_idle_normal","750","1","5","1007001002","-300"
"0","1","0","333","1007001","svd_white_loop","0","3","5","1007001003","0"
"0","0","1","1","1007001","","1","333","6","1007001004","0"
"","","0","2","1007001","","0","113511","7","1007001005",""
"","","-300","-750","1007001","","0.5","113511","2","1007001006","0"
"0","0","1","1","1007001","","1","113411","6","1007001007","0"
"","0","-140","11","1007001","","-40","1","31","1007001008","0.8"
"","","0","2","1007001","","0","11","34","1007001009",""
"","","0","6","1007001","","0","113411","7","1007001010",""
"","","-300","750","1007001","","0.5","113411","2","1007001011","0"
"","0","-250","14","1007001","","-40","4","31","1007001012","1"
"","0","250","15","1007001","","-40","5","31","1007001013","1"
"","","","","1007001","","","1","93","1007001014",""
"0","0.8","1","1","1007001","","1","333","6","1007001015","0.4"
"0","0.2","0","svd_idle_see_pre","1007001","","svd_idle_see","113511","3","1007001016","1"
"","","-300","640","1007001","","1.1","113411","2","1007001017","0"
"","","-300","-600","1007001","","1.1","113511","2","1007001018","0"
"","","","","1007001","","","1","93","1007001019",""
"","","","1","1007001","","","11","32","1007001020",""
"","","","","1007001","","","0","91","1007001021",""
"","","260","240","1007001","","0","113511","94","1007001022","80"
"","","","0","1007001","","","11","32","1007001023",""
"","0.2","1","svd_run","1007001","","","113511","3","1007001024",""
"","","1.2","0","1007001","","0","113511","7","1007001025",""
"","","-300","-250","1007001","","1.2","113511","2","1007001026","0"
"","0.2","1","svd_run","1007001","","","113411","3","1007001027",""
"","","1.2","0","1007001","","0","113411","7","1007001028",""
"","","-300","250","1007001","","1.2","113411","2","1007001029","0"
"0","0.2","1","1","1007001","","1","113411","6","1007001030","1"
"","","","","1007001","","","1.2","93","1007001031",""
"","","","","1007001","","","0","91","1007001032",""
"","0.2","0","svd_kime_eriko","1007001","","","113511","3","1007001033",""
"","0.2","0","svd_kime_shizuru","1007001","","","113411","3","1007001034",""
"","","","","1007001","","","1.4","93","1007001035",""
"","","","1","1007001","","","14","32","1007001036",""
"","","","1","1007001","","","15","32","1007001037",""
"","","","","1007001","","","0.6","93","1007001038",""
"","0.2","1","svd_idle_joy1","1007001","","","113411","3","1007001039",""
"","0.2","1","svd_talk_wish","1007001","","","113511","3","1007001040",""
"","","0","vo_svd_0121","1007001","","0","vo_svd","21","1007001041",""
"0","0","6","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","1007001","1","0","113511","11","1007001042","0"
"","","","","1007001","","","0","91","1007001043",""
"","0.2","1","svd_idle_wish","1007001","","","113511","3","1007001044",""
"","0.2","1","svd_talk_joy1","1007001","","","113411","3","1007001045",""
