9de61b5356f169090e92319ac8a22af52b553d9f99a6ac6bbd96621c1d256cca,5d6269fafbf80d65e2cb04b22751d4f85887ca62f517be5bf5dcea7b20b3d77b,db1539467145d85b5329b0325101fa2e2ddcc4656f4debb5e709b3db9617b11f,517019b505bde6c88d84dc84a4d6024c4ac02503ccf70181dd9718c827ce6fd0
"1004601","1004601","5046601","1"
"1004801","1004801","5048007","1"
"1004802","1004802","1004801","2"
"1005601","1005601","5056601","1"
"1006101","1006101","5061601","1"
"1006102","1006102","5061602","3"
"1006103","1006103","5061601","1"
"1006601","1006601","5027704","4"
"1007001","1007001","0","5"
"1007301","1007301","5046601","1"
"1007501","1007501","5048007","1"
"1007502","1007502","1004801","2"
"1008201","1008201","0","6"
"1008301","1008301","5056601","1"
"1008901","1008901","5061601","1"
"1008902","1008902","5061602","3"
"1008903","1008903","5061601","1"
"1009201","1009201","5092601","3"
"1010001","1010001","5100601","3"
"1010201","1010201","5100601","3"
"1010901","1010901","0","6"
"1011901","1011901","5092601","3"
"1012701","1012701","5100601","3"
"2003201","2003201","5056601","1"
