dd46f9755a9c2b7cb0e5f301c33c965c82e7b50dbc96303e1a8c606bac942a99,72d513adb0c1e0b58e91bd96b0551b3b341f8e83069742c8224397a860211386,42b82bd603c19ade93dd92c49cf6e449b3f90f9ddfe7731c8883bf12fb5f05de,472a1c9722a033da755d67e6710b1c8a49e43dd1ff80438b00ccfe59fc3f4c13,c024a97a7f417fbdd07bf9ae6bac0c251fdfb794c61aed0382550203307a6938,4b4d6eeebc09368fe2f838c41b83043e6968480285c2e650fc26d52bddbc08dc,dcb991309ced90508a87453d4a84c95b282070eb47f6dd68f0990ffc5ff47d26,fdc4c4e7cbcd5c02d6ac4de1f150b9756e3d1927016ccab853d111cbb2523b24,4050451f72c4d57900daf6de7468e3a446affeb6e9e711d169a0b853685767f1,49323cd6b7fdbf458e34aac52f67f946f16073936fc942a5b5274b4bdad4458e,bddc534bcd37f9a7f3c3a1f5bbeaf85ee7aa6c6f7613c5d90e363411cca632db,b51d94c014b4c6e4d67b5e2409c2df693b15cb821089f8f990aad4408aea0994,7d30168267c669896a541e27f98bbae17cec7bcb6f6cb2cfc740cc35a9612114,a35135c2a2f2244f9538263c471031308633a8707a85e0ee9f744a9285d1875e,a8d483be073d058e4c4271af68d324c8f0cc73db447007681ab3247e8ca52ac0
"2","40","フリーマーケット会場","20063115","5118061","91002","0","10118","2834","1","8","ペコリーヌとの出会い","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","7","青空の下で謁見"
"2","40","フリーマーケット会場","20063115","5118062","91002","0","10118","2835","1","8","マホとの出会い","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","7","未来の騎空団\nマスコット？"
"2","40","ランドソル市街地","20063115","5118063","91002","0","10118","2837","1","8","アキノとの出会い","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","7","お嬢さまからの\n緊急依頼"
"2","40","フリーマーケット会場","20063115","5118064","91002","0","10118","4108402","1","8","ジュンとの出会い","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","18","黄金色の悩みごと"
"2","40","フリーマーケット会場","20063115","5118065","91002","0","10118","4107402","1","8","カオリとの出会い","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","18","白熱！　格闘大会！"
"2","40","オーエド町","20063115","5118066","91002","1","10118","9000227","1","8","ニノンとの出会い","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","16","祭り太鼓はオーエドの華"
"3","40","フリーマーケット会場","20063115","5118067","91002","0","10118","2101181","1","8","スズナとの出会い","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","19","人気者は遅れて\nやってくる"
"3","40","ランドソル市街地","20063115","5118068","91002","0","10118","4109402","1","8","ナナカとの出会い","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","18","巫女・ミーツ・魔法少女"
"3","40","フリーマーケット会場","20063115","5118069","91002","0","10118","4305402","1","8","キャル＆コッコロとの出会い","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","18","ネズ耳は二度なくなる"
"3","40","ランドソル市街地","20063115","5118070","91002","0","10118","4101402","1","8","ユカリとの出会い","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","18","この出会いにカンパイ！"
"3","40","ランドソル市街地","20063115","5118071","91002","0","10118","4106402","1","8","アオイとの出会い","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","18","陰陽アンサンブル"
"3","40","フリーマーケット会場","20063115","5118072","91002","1","10118","2836","1","8","シノブとの出会い","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","7","運試し十番勝負！"
"1","0","0","20063115","5118600","0","0","10118","0","0","0","オープニング","0","0","彼女たちの新たな日常"
