676ce064e807e9864be87cfd5e0340ee4b5e65609ddd4fe5beb8de99dd0ea31d,16164c6be534b5b4728f3d88d3aaa85ee99da5936b21960776977316886128d0,4224ead7de4b0dd2aabba9d394b1a299c9f93c5a11e94d2585edd41cff2904ce,98f1b54ad102994cebc7a84d25ab6170d190a3d63bc24794b331ba9da3c1334b,c6305f436f843976e20b01be06915a672ff3fe4cb270cd9cf440f478c61aea00,e7b844072f21016dbc37da233eb2def1127b6e342969b5e8528c2df34ece2246
"「{0}」{1}日目で獲得したアイテムです。","0","2","1","0","2001"
"「{0}」で獲得したアイテムです。","0","0","3","0","2002"
"「{0}」で獲得したアイテムです。","0","0","4","0","2003"
"バトルアリーナ{0}位のランキング報酬です。","0","0","5","0","2004"
"プリンセスアリーナ{0}位のランキング報酬です。","0","0","6","0","2005"
"{0}月クランバトル{1}ピリオドランキング{2}位の報酬です。","7","11","10","0","2006"
"{0}月クランバトル月間ランキング{1}位の報酬です。","0","8","10","0","2007"
"{0}で獲得した報酬です。","0","0","9","0","2008"
"{0}月クランバトルランキング{2}位の報酬です。","7","11","10","0","2009"
"「{0}」{1}日分の補てんアイテムです。","0","2","1","0","2010"
"「{0}」{1}日目「{2}」で獲得したアイテムです。","16","2","1","0","2011"
"「{0}」{1}日目で獲得したアイテムです。","0","2","17","0","2012"
"「{0}」で獲得したアイテムです。","0","0","1","0","2013"
"{0}月クランバトル{2}周到達報酬です。","19","11","10","0","2014"
"「{0}」の追加報酬分です。","0","0","20","0","2015"
"{0}のお返しでもらったアイテムです。","0","0","1","0","2016"
"Lv/RANK シンクロ機能実装に伴う配布です。","0","0","0","0","2017"
"ギルドハウス2階解放時に獲得したアイテムです。","0","0","0","0","3001"
"ギルドハウス3階解放時に獲得したアイテムです。","0","0","0","0","3002"
"運営からのお詫びの品です。","0","0","0","0","9101"
"運営からの補てんの品です。","0","0","0","0","9102"
"挑戦回数を4回以下にしてお受け取りください。","0","0","0","0","9103"
"メンテナンスにご協力いただいたお礼です。","0","0","0","0","9201"
"バージョンアップしていただいたお礼です。","0","0","0","0","9202"
"運営からのプレゼントです。","0","0","0","0","9203"
"「事前登録キャンペーン」の20万人達成報酬です。","0","0","0","0","9204"
"「事前登録キャンペーン」の28万人達成報酬です。","0","0","0","0","9205"
"「事前登録キャンペーン」の30万人達成報酬です。","0","0","0","0","9206"
"LinksMateのゲーム連携特典です。","0","0","0","0","9208"
"LinksMateのご利用特典です。","0","0","0","0","9209"
"LinksMateのスタープレゼントです。","0","0","0","0","9210"
"「DMM版事前登録キャンペーン」の10万人達成報酬です。","0","0","0","0","9211"
"ラジオ1周年記念生放送内コーナーの特別プレゼントです。","0","0","0","0","9212"
"運営からギルドハウスアイテムのプレゼントです。","0","0","0","0","9213"
"「公式生放送　2018　秋」内コーナーの特別プレゼントです。","0","0","0","0","9214"
"ルナの塔のアップデートにともなうプレゼントです。","0","0","0","0","9215"
"ミッションの報酬変更にともなうプレゼントです。","0","0","0","0","9216"
"2nd Anniversary記念RTキャンペーンの当選者プレゼントです。","0","0","0","0","9217"
"トモ（マジカル）登場記念のプレゼントです。","0","0","0","0","9218"
"運営から「ドラガリアロスト」応援記念ギルドハウスアイテムのプレゼントです。","0","0","0","0","9219"
"LinksStoreで交換した商品です。","0","0","0","0","9220"
"#ペコBIGキャンペーンの当選者プレゼントです。","0","0","0","0","9221"
"#ペコ猫BIGキャンペーンの当選者プレゼントです。","0","0","0","0","9222"
"リゼロコラボキャンペーン第1弾の当選者プレゼントです。","0","0","0","0","9223"
"2025年4月実施のプレイヤーアンケートの当選者プレゼントです。","0","0","0","0","9224"
"所持上限を超えて獲得したスタミナです。","0","0","0","0","9301"
"バトルアリーナの防衛報酬です。","0","0","0","0","9302"
"プリンセスアリーナの防衛報酬です。","0","0","0","0","9303"
"サポートで獲得した報酬です。","0","0","0","0","9304"
"ランクアップ前に装備強化で使用したアイテムの一部です。","0","0","0","0","9305"
"プレイヤーEXPが変換されて獲得したコインです。","0","0","0","0","9306"
"クランバトルの討伐報酬で獲得したアイテムです。","0","0","0","0","9307"
"クランメンバーにいいねされて獲得したマナです。","0","0","0","0","9308"
"所持上限を超えて獲得したバトルアリーナのタイム報酬です。","0","0","0","0","9309"
"所持上限を超えて獲得したバトルアリーナの報酬です。","0","0","0","0","9310"
"所持上限を超えて獲得したプリンセスアリーナのタイム報酬です。","0","0","0","0","9311"
"所持上限を超えて獲得したプリンセスアリーナの報酬です。","0","0","0","0","9312"
"所持上限を超えて獲得したキャラ交換の報酬です。","0","0","0","0","9313"
"ガチャ更新によりキャラ交換Ptを変換したアイテムです。","0","0","0","0","9314"
"スタミナが変換されて獲得したコインです。","0","0","0","0","9315"
"SPフェスキャラ交換Ptを変換したアイテムです。","0","0","0","0","9316"
"フレンドサポートで獲得した報酬です。","0","0","0","0","9317"
"所持上限を超えて獲得したスペシャル交換チケットの報酬です。","0","0","0","0","9318"
"購入時に獲得したアイテムです。","0","0","0","0","9319"
"CSPキャラ交換Ptを変換したアイテムです。","0","0","0","0","9320"
"所持上限を超えて獲得したメモリーピース交換チケットの報酬です。","0","0","0","0","9321"
"ストーリー閲覧で獲得したアイテムです。","0","0","0","0","9322"
"みんなのカレンダー内で獲得したアイテムです。","0","0","0","0","9323"
"プリンセスアリーナ未ログイン期間に基づく{0}日分のランキング報酬です。","0","0","23","0","9324"
"バトルアリーナ未ログイン期間に基づく{0}日分のランキング報酬です。","0","0","23","0","9325"
"所持上限を超えて獲得したダイスです。","0","0","0","0","9326"
"デイリージュエルパックのアイテムです。","0","0","0","0","9401"
"7日間スタミナ応援パックのアイテムです。","0","0","0","0","9402"
"アイテム装備パックⅠを購入して獲得したアイテムです。","0","0","0","0","9403"
"アイテム装備パックⅡを購入して獲得したアイテムです。","0","0","0","0","9404"
"アイテム装備パックⅢを購入して獲得したアイテムです。","0","0","0","0","9405"
"アイテム装備パックⅣを購入して獲得したアイテムです。","0","0","0","0","9406"
"アイテム装備パックⅠ（再販）を購入して獲得したアイテムです。","0","0","0","0","9407"
"アイテム装備パックⅡ（再販）を購入して獲得したアイテムです。","0","0","0","0","9408"
"アイテム装備パックⅢ（再販）を購入して獲得したアイテムです。","0","0","0","0","9409"
"アイテム装備パックⅣ（再販）を購入して獲得したアイテムです。","0","0","0","0","9410"
"アイテム装備パックⅤを購入して獲得したアイテムです。","0","0","0","0","9411"
"アイテム装備パックⅥを購入して獲得したアイテムです。","0","0","0","0","9412"
"アイテム装備パックⅠ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9413"
"アイテム装備パックⅡ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9414"
"アイテム装備パックⅢ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9415"
"アイテム装備パックⅣ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9416"
"アイテム装備パックⅤ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9417"
"アイテム装備パックⅥ（3周年）を購入して獲得したアイテムです。","0","0","0","0","9418"
"アイテム装備パックⅦを購入して獲得したアイテムです。","0","0","0","0","9419"
"アイテム装備パックⅧを購入して獲得したアイテムです。","0","0","0","0","9420"
"アイテム装備パックⅠ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9421"
"アイテム装備パックⅡ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9422"
"アイテム装備パックⅢ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9423"
"アイテム装備パックⅣ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9424"
"アイテム装備パックⅤ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9425"
"アイテム装備パックⅥ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9426"
"アイテム装備パックⅦ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9427"
"アイテム装備パックⅧ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9428"
"アイテム装備パックⅨ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9429"
"アイテム装備パックⅩ（4周年）を購入して獲得したアイテムです。","0","0","0","0","9430"
"コラボパックを購入して獲得したアイテムです。","0","0","0","0","9431"
"スフィアパックを購入して獲得したアイテムです。","0","0","0","0","9432"
"プリンセスナイト強化パックを購入して獲得したアイテムです。","0","0","0","0","9433"
"★6キャラ育成パックを購入して獲得したアイテムです。","0","0","0","0","9434"
"★4EX装備パックを購入して獲得したアイテムです。","0","0","0","0","9435"
"EX★4装備パックを購入して獲得したアイテムです。","0","0","0","0","9436"
"ピュアメモリーピースパックを購入して獲得したアイテムです。","0","0","0","0","9437"
"属性強化パックを購入して獲得したアイテムです。","0","0","0","0","9438"
"究極錬成パックを購入して獲得したアイテムです。","0","0","0","0","9439"
"スペシャルキャラ交換ガチャセットを購入して獲得したアイテムです。","0","0","0","0","9440"
"専用装備１グロウスフィアパックを購入して獲得したアイテムです。","0","0","0","0","9441"
"プリンセスフェスSPキャラ交換ガチャセットを購入して獲得したアイテムです。","0","0","0","0","9442"
"ロールマスタリーパックを購入して獲得したアイテムです。","0","0","0","0","9443"
"アストライアリングパックを購入して獲得したアイテムです。","0","0","0","0","9444"
"錬成スフィアパックを購入して獲得したアイテムです。","0","0","0","0","9445"
"ビギナー&カムバック強化パックを購入して獲得したアイテムです。","0","0","0","0","9446"
"ビギナー&カムバックガチャチケットパックを購入して獲得したアイテムです。","0","0","0","0","9447"
"お試し ラビリンスパスポートパックを購入して獲得したアイテムです。","0","0","0","0","9448"
"「イベントログインボーナス」{1}日目で獲得したアイテムです。","0","2","13","0","9501"
"イベントクエスト初回クリアで獲得したアイテムです。","0","0","13","0","9502"
"イベントクエスト{1}クリアで獲得したアイテムです。","0","14","13","0","9503"
"イベントボス「{1}」初回撃破で獲得したアイテムです。","0","15","13","0","9504"
"イベントボス「{1}」のバトルで獲得したアイテムです。","0","15","13","0","9505"
"イベントミッション達成で獲得したアイテムです。","0","0","13","0","9506"
"「{1}」で獲得したアイテムです。","0","12","13","0","9507"
"「{0}」で獲得したアイテムです。","0","0","13","0","9508"
"謎解きで獲得したアイテムです。","0","0","0","0","9509"
"「{0}」で獲得したアイテムです。","0","0","18","0","9510"
"3月イベントコンテンツで獲得したアイテムです。","0","0","0","0","9511"
"サイドストーリークエスト初回クリアで獲得したアイテムです。","0","0","13","0","9512"
"サイドストーリークエスト{1}クリアで獲得したアイテムです。","0","14","13","0","9513"
"サイドストーリーボス「{1}」のバトルで獲得したアイテムです。","0","15","13","0","9514"
"サイドストーリーミッション達成で獲得したアイテムです。","0","0","13","0","9515"
"「復刻イベントログインボーナス」{1}日目で獲得したアイテムです。","0","2","13","0","9516"
"「みんなの稽古場」で獲得したアイテムです。","0","0","0","0","9517"
"EX装備分解で獲得したアイテムです。","0","0","0","0","9518"
"EX装備強化で獲得したアイテムです。","0","0","0","0","9519"
"所持上限を超えて獲得したイベントログインボーナスの報酬です。","0","0","0","0","9520"
"所持上限を超えて獲得した復刻イベントログインボーナスの報酬です。","0","0","0","0","9521"
"所持上限を超えて獲得したプリンセスナイト強化の報酬です。","0","0","0","0","9522"
"「報酬交換」で獲得したアイテムです。","0","0","0","0","9524"
"ミニゲームで獲得したアイテムです。","0","0","0","0","9600"
"「バトル オブ ランドソル」で獲得したランキング報酬です。","0","0","0","0","9700"
"「バトル オブ ランドソル」で獲得したアタック報酬です。","0","0","0","0","9701"
"「王都終末決戦」で獲得したアイテムです。","0","0","0","0","9702"
"「バトル オブ ランドソル」で獲得したアイテムです。","0","0","0","0","9703"
"「レギオンウォー」で獲得したアイテムです。","0","0","0","0","9704"
"「{0}」で獲得したアイテムです。","0","0","24","0","9705"
"「煉獄のリベリオン」で獲得したアイテムです。","0","0","0","0","9706"
"所持上限を超えて獲得したアイテムです。","0","0","0","0","9707"
"所持上限を超えて獲得した交換チケットの報酬です。","0","0","0","0","9708"
"「{0}」で獲得したアイテムです。","0","0","21","0","9800"
"「{0}」で獲得したアイテムです。","0","0","22","0","9801"
"マスタリーガチャで獲得したアイテムです。","0","0","0","0","9901"
"マスタリーガチャ初回遷移時に獲得したアイテムです。","0","0","0","0","9902"
"黎明界ラビリンスで返却されたアイテムです。","0","0","0","0","10001"
