47358187513e5baed9763a6aaf5e2993fa44a7c030ab13d51b982a1af88e1c56,e7c7885703eb73f8f6d941624eb242874281e5227428c675826c5ac92c51d51b,ea5192b8e39c02319d3eb69cd3aa129da58b5bca720f5f5f9f731e466b95980e,b222aab2ab7a86afd1f1ea7d3a0958e9fb60d39fbb2741fc5fb02d303cf2203d,894873d551ba9f95fc9ec0c4bf4a135ad82cdecdaa4d8b7f9281be427c1bc19a,b15a75ba1d9ed99aa5eb97b94bac319b6c040131a48a2ec640f7389f9106c0c8,c639f43391d43a8dda9a38258af9d4862f9fe962fa774a706c87bd2a845dfdad,728831f48ae39d33ccca99fb1fa9e254c53d37f7e96aa0d4895d82d37b9e3cca,0e1168d20ba7bb4ab168b183a6d8dfbae52a10c626b7a3049caba4537a87d49d,4029844b93d6a485f29e931d318c2e9724e54dbbe651a8d47f11249778f2e7f5,2df4a2a6f8d04791a0e8ea1c45153cfed10bfa792f5e8c835a125632293463ad,8c66f755e08c52b4b6de2951744e92a7908916c4fdffa488c44d1a07406dc363,3f60165158102622700821587e7b646ff2ee9198207b9cf6de20839ad0f15c05,483dde02c5d04e08b4316a41cdfeb9affb64dbc73fa0e316783d0c56d672347a,31f220079a037116c60bdccda04dc19f074b1c64b94b580ec6d4c8f11a6510d9,aefaabb4ba11aa4885eee64e2355dea32dbd6175c7f0824e6e07255f6c91f093,58942e1ddccfe1f0217fe4da0ea0af0b3739643875d0b247e0b866b174fbdfaf,cf2a2e42c306611f9615bf923e620f7aa42752c9d67d429f6931605631b14c2d,7881f9d3e756069104fa5511289a5eef49bea83ca14a821886ac872ffc8fb4f7,2b5e69e6518988c1bdf122eaff6c291eb6c481f2529ba1d1f3cc526e0dac80a6,8cf1bd583c8bea47bf31daecbc6b912641762707a84d058ec62cb1d012247d88,33542090e9b6ef3dda8e45c288ed4123d09ec8ae857625c0eaf2cf8b7ce98822,d7019216dfe002b5cf6f2fc970d370a870b8879799eb928e19805c45a266ec36,956f02891f98c25354103dde566d8a578e6d0ded0005e6d7607fdd0874f5aed7,f4babdfe0cd71ec80e140b6307918936ab328af053fe847ec6b6a83f84bf4c2e,285965e388fd26d7b4393753d4df289cebee4b52b30f7d16593743aba4099a5c,9a08132b76e5750117c38311eb0b1a10578d88c471e1c4c7ef8300f96eb98169,66c92020b896e7ace0795a1df9fcd293c52b24115e62c37b386e35e8985c8b2a,cc1f28d4df2aef14d2491df0d29cfb6648fa4598633f7de4ef917bacc3f49718,06c21ec0a53b4950d6dd4f3e93ff8d7b03ef0c63d4977584b57ed2b1bdfe7f6c,db517508c47b256bdfee2da7ac8d0de6bc2d354012ba62df451bf126eb539b66,fc877eaf4cdcc27d3d6e16004cbeabede19cd4e541022dd33def5f4e120166d8,679084b2fa455c8fd7e9241c4a1d15aa6833c2e7543cbf28e8145a965d5e1e95,9421f919f5c0f8fd540c14d9602dcf0b3414c8dcd80aff98d62c090dd2b72df3
"796","1","90","1","-76","-40","0","0","20001","bgm_M47","-50","81000105","81000105","0","0","650001011","270","ボスバトル（NORMAL）","1","660001001","1","0","1","bgm_M47","1.5","0.6","2000101","770","0","340","0","20001101","200010","0"
"70","1","90","1","-180","-210","0","0","20001","bgm_M47","-50","81000106","81000106","0","0","650001021","270","ボスバトル（HARD）","2","660001002","1","0","1","bgm_M47","1.5","0.6","2000102","60","0","341","0","20001201","200010","0"
"520","1","90","1","10","-40","0","0","20001","bgm_M47","-50","81000106","81000106","0","0","650001031","270","ボスバトル（VERYHARD）","3","660001003","1","0","1","bgm_M47","1.5","0.6","2000103","470","0","344","0","20001201","200010","0"
"850","1","90","1","20","-30","0","0","20002","bgm_M102","0","81000205","81000205","0","0","650002011","40","ボスバトル（NORMAL）","1","660002001","1","0","1","bgm_M102","1.3","0.6","2000201","750","0","5002301","0","20002101","510021","0"
"-250","1","90","1","125","20","0","0","20002","bgm_M102","0","81000207","81000207","0","0","650002021","40","ボスバトル（HARD）","2","660002002","1","0","1","bgm_M102","1.3","0.6","2000202","140","0","5002302","0","20002201","510022","0"
"500","1","90","1","10","-40","345","0","20002","bgm_M102","0","81000207","81000207","0","0","650002031","40","ボスバトル（VERYHARD）","3","660002003","1","0","1","bgm_M102","1.3","0.6","2000203","450","0","344","0","20002201","510022","0"
"830","1","90","1","10","-40","0","0","20003","bgm_M109","30","81000305","81000305","0","0","650003011","20","ボスバトル（NORMAL）","1","660003001","1","0","1","bgm_M109","1.1","0.6","2000301","730","0","5003302","0","20003101","510031","0"
"210","1","90","1","90","20","0","0","20003","bgm_M109","30","81000306","81000306","0","0","650003021","20","ボスバトル（HARD）","2","660003002","1","0","1","bgm_M109","1.1","0.6","2000302","180","0","5003301","0","20003201","510032","0"
"500","1","90","1","10","-40","345","0","20003","bgm_M109","30","81000306","81000306","0","0","650003031","20","ボスバトル（VERY HARD）","3","660003003","1","0","1","bgm_M109","1.1","0.6","2000303","450","0","344","0","20003201","510032","0"
"870","1","90","1","10","-40","0","0","20004","bgm_M116","30","81000405","81000405","0","0","650004011","20","ボスバトル（NORMAL）","1","660004001","1","0","1","bgm_M116","1.1","0.6","2000401","770","0","5004301","0","20004101","510041","0"
"-30","1","90","1","10","-40","0","0","20004","bgm_M116","30","81000406","81000406","0","0","650004021","20","ボスバトル（HARD）","2","660004002","1","0","1","bgm_M116","1.1","0.6","2000402","450","0","5004302","0","20004201","510042","0"
"500","1","90","1","-10","-40","0","0","20004","bgm_M116","30","81000406","81000406","0","0","650004031","20","ボスバトル（VERYHARD）","3","660004003","1","0","1","bgm_M116","1.1","0.6","2000403","450","0","5004308","0","20004201","510042","0"
"870","1","90","1","10","-40","0","0","20005","bgm_M124","90","81000505","81000505","0","0","650005011","90","ボスバトル（NORMAL）","1","660005001","1","0","1","bgm_M124","1.3","0.6","2000501","770","0","5005301","0","20005101","510051","0"
"380","1","90","1","-100","-40","0","0","20005","bgm_M124","90","81000506","81000506","0","0","650005021","90","ボスバトル（HARD）","2","660005002","1","0","1","bgm_M124","1.3","0.6","2000502","450","0","5005302","0","20005201","510052","0"
"520","1","90","1","58","-40","0","0","20005","bgm_M124","90","81000506","81000506","0","0","650005031","90","ボスバトル（VERYHARD）","3","660005003","1","0","1","bgm_M124","1.3","0.6","2000503","450","0","5005308","0","20005201","510052","0"
"888","1","90","1","14","-40","0","0","20006","bgm_M131","0","81000605","81000605","0","0","650006011","120","ボスバトル（NORMAL）","1","660006001","0.8","0","1","bgm_M131","1.5","0.6","2000601","770","0","5006301","0","20006101","510061","0"
"42","1","90","1","14","-40","0","0","20006","bgm_M131","0","81000606","81000606","0","0","650006021","120","ボスバトル（HARD）","2","660006002","0.8","0","1","bgm_M131","1.5","0.6","2000602","450","0","5006302","0","20006201","510062","0"
"500","1","90","1","-60","-40","0","0","20006","bgm_M131","0","81000606","81000606","0","0","650006031","120","ボスバトル（VERY HARD）","3","660006003","0.8","0","1","bgm_M131","1.5","0.6","2000603","450","0","5006308","0","20006201","510062","0"
