ab93da6b965defca5f7e01cb2bb7c29140812a8682e17c8c8ff01bf63a0333d9,e6727d5b8d13ae59aba0f7b3e76b4436961a60fb8405cf0146ef341f023fd452,ac1f23480a2e5e662be6b9c081625f80053641235f2167fdacd7a30dccfa5179,07a97849958f304cd0a91999bcd0322264d898f0a5c96f669231989f1f5766a9,133383170906389e9339844c7fa34eee61666637849c37bfbe6f80b59dc2b7eb,11bf5647ea80543c92d15d126990244fb58e20114db7bf06d61dcd05dd60b06c,2a85d5f924c779ba2726fc3c48bbd40b9dde71d4defb92796d0c34e19a8dda38,85b1bdee51560119c624a3cd62b5cf5c34ca42389f1c55b6ab76d1efc429a51c,a7a3a67d65cd3932840804dc3df5fedd58be895e5ecedd899b099a1374faf042,7bea53605f45604fe378baab4ca46aeddd0b31e53cfc4e77bfcf7553a6405ddf,dfc1adab06c43c05db09901a9169bb473ae431950de5d7205ce171f28692995e
"","0","se_travel_start_1pt","se_travel","23","","","","","101110001","111"
"","0","10010","10010","31","","1","0","1","101110002","111"
"","0","10011","10011","31","","1","0","1","101110003","111"
"","0","10020","10020","31","","0","0","1","101110004","111"
"<weapon>_idle","62","1001001","2","1","0","0.68","-150","-150","101110005","111"
"<weapon>_idle","61","1001002","2","1","0","0.68","-250","-75","101110006","111"
"<weapon>_idle","63","1001003","2","1","0","0.68","-350","-180","101110007","111"
"<weapon>_idle","61","1001004","2","1","0","0.68","-450","-75","101110008","111"
"<weapon>_idle","62","1001005","2","1","0","0.68","-550","-150","101110009","111"
"","-150","1001001","10012","31","0","1","-150","0.68","101110010","111"
"","-250","1001002","10012","31","0","1","-75","0.68","101110011","111"
"","-350","1001003","10012","31","0","1","-180","0.68","101110012","111"
"","-450","1001004","10012","31","0","1","-75","0.68","101110013","111"
"","-550","1001005","10012","31","0","1","-150","0.68","101110014","111"
"","0","10030","10030","31","","0","0","1","101110015","111"
"","0","10031","10031","31","","0","0","1","101110016","111"
"","","0","","91","","","","","101110017","111"
"","","1","10030","32","","","","","101110018","111"
"","","0","0","91","","","","","101110019","111"
"","1","<weapon>_run","1001001","3","","0","","0","101110020","111"
"","1","<weapon>_run","1001002","3","","0","","0","101110021","111"
"","1","<weapon>_run","1001003","3","","0","","0","101110022","111"
"","1","<weapon>_run","1001004","3","","0","","0","101110023","111"
"","1","<weapon>_run","1001005","3","","0","","0","101110024","111"
"","-150","800","1001001","2","","","3","0","101110025","111"
"","-75","700","1001002","2","","","3","0","101110026","111"
"","-180","600","1001003","2","","","3","0","101110027","111"
"","-75","500","1001004","2","","","3","0","101110028","111"
"","-150","400","1001005","2","","","3","0","101110029","111"
"","-150","800","1001001","33","","","3","0","101110030","111"
"","-75","700","1001002","33","","","3","0","101110031","111"
"","-180","600","1001003","33","","","3","0","101110032","111"
"","-75","500","1001004","33","","","3","0","101110033","111"
"","-150","400","1001005","33","","","3","0","101110034","111"
"","","1","10020","32","","","","","101110035","111"
"","","0","2.5","93","","","","","101110036","111"
"","","1","10031","32","","","","","101110037","111"
"","","0","0.4","93","","","","","101110038","111"
"","","0","0","91","","","","","101110039","111"
"","0","se_travel_start_2pt","se_travel","23","","","","","102110001","211"
"","0","10010","10010","31","","1","0","1","102110002","211"
"","0","10011","10011","31","","1","0","1","102110003","211"
"","0","10020","10020","31","","0","0","1","102110004","211"
"<weapon>_idle","62","1001001","2","1","0","0.68","-100","-90","102110005","211"
"<weapon>_idle","61","1001002","2","1","0","0.68","-170","-15","102110006","211"
"<weapon>_idle","63","1001003","2","1","0","0.68","-240","-105","102110007","211"
"<weapon>_idle","61","1001004","2","1","0","0.68","-310","-15","102110008","211"
"<weapon>_idle","62","1001005","2","1","0","0.68","-380","-90","102110009","211"
"","-100","1001001","10012","31","0","1","-90","0.68","102110010","211"
"","-170","1001002","10012","31","0","1","-15","0.68","102110011","211"
"","-240","1001003","10012","31","0","1","-105","0.68","102110012","211"
"","-310","1001004","10012","31","0","1","-15","0.68","102110013","211"
"","-380","1001005","10012","31","0","1","-90","0.68","102110014","211"
"<weapon>_idle","52","1002001","2","1","0","0.68","-500","-240","102110015","211"
"<weapon>_idle","51","1002002","2","1","0","0.68","-570","-165","102110016","211"
"<weapon>_idle","53","1002003","2","1","0","0.68","-640","-255","102110017","211"
"<weapon>_idle","51","1002004","2","1","0","0.68","-710","-165","102110018","211"
"<weapon>_idle","52","1002005","2","1","0","0.68","-780","-240","102110019","211"
"","-500","1002001","10012","31","0","1","-240","0.68","102110020","211"
"","-570","1002002","10012","31","0","1","-165","0.68","102110021","211"
"","-640","1002003","10012","31","0","1","-255","0.68","102110022","211"
"","-710","1002004","10012","31","0","1","-165","0.68","102110023","211"
"","-780","1002005","10012","31","0","1","-240","0.68","102110024","211"
"","0","10030","10030","31","","0","0","1","102110025","211"
"","0","10031","10031","31","","0","0","1","102110026","211"
"","","0","","91","","","","","102110027","211"
"","","1","10030","32","","","","","102110028","211"
"","","0","0","91","","","","","102110029","211"
"","1","<weapon>_run","1001001","3","","0","","0","102110030","211"
"","1","<weapon>_run","1001002","3","","0","","0","102110031","211"
"","1","<weapon>_run","1001003","3","","0","","0","102110032","211"
"","1","<weapon>_run","1001004","3","","0","","0","102110033","211"
"","1","<weapon>_run","1001005","3","","0","","0","102110034","211"
"","-90","850","1001001","2","","","3","0","102110035","211"
"","-15","780","1001002","2","","","3","0","102110036","211"
"","-105","710","1001003","2","","","3","0","102110037","211"
"","-15","640","1001004","2","","","3","0","102110038","211"
"","-90","570","1001005","2","","","3","0","102110039","211"
"","-90","850","1001001","33","","","3","0","102110040","211"
"","-15","780","1001002","33","","","3","0","102110041","211"
"","-105","710","1001003","33","","","3","0","102110042","211"
"","-15","640","1001004","33","","","3","0","102110043","211"
"","-90","570","1001005","33","","","3","0","102110044","211"
"","1","<weapon>_run","1002001","3","","0","","0","102110045","211"
"","1","<weapon>_run","1002002","3","","0","","0","102110046","211"
"","1","<weapon>_run","1002003","3","","0","","0","102110047","211"
"","1","<weapon>_run","1002004","3","","0","","0","102110048","211"
"","1","<weapon>_run","1002005","3","","0","","0","102110049","211"
"","-240","450","1002001","2","","","3","0","102110050","211"
"","-165","380","1002002","2","","","3","0","102110051","211"
"","-255","310","1002003","2","","","3","0","102110052","211"
"","-165","240","1002004","2","","","3","0","102110053","211"
"","-240","170","1002005","2","","","3","0","102110054","211"
"","-240","450","1002001","33","","","3","0","102110055","211"
"","-165","380","1002002","33","","","3","0","102110056","211"
"","-255","310","1002003","33","","","3","0","102110057","211"
"","-165","240","1002004","33","","","3","0","102110058","211"
"","-240","170","1002005","33","","","3","0","102110059","211"
"","","1","10020","32","","","","","102110060","211"
"","","0","2.5","93","","","","","102110061","211"
"","","1","10031","32","","","","","102110062","211"
"","","0","0.4","93","","","","","102110063","211"
"","","0","0","91","","","","","102110064","211"
"","0","se_travel_start_3pt","se_travel","23","","","","","103110001","311"
"","0","10010","10010","31","","1","0","1","103110002","311"
"","0","10011","10011","31","","1","0","1","103110003","311"
"","0","10020","10020","31","","0","0","1","103110004","311"
"<weapon>_idle","62","1001001","2","1","0","0.68","0","-240","103110005","311"
"<weapon>_idle","61","1001002","2","1","0","0.68","-70","-165","103110006","311"
"<weapon>_idle","63","1001003","2","1","0","0.68","-140","-255","103110007","311"
"<weapon>_idle","61","1001004","2","1","0","0.68","-210","-165","103110008","311"
"<weapon>_idle","62","1001005","2","1","0","0.68","-280","-240","103110009","311"
"","0","1001001","10012","31","0","1","-240","0.68","103110010","311"
"","-70","1001002","10012","31","0","1","-165","0.68","103110011","311"
"","-140","1001003","10012","31","0","1","-255","0.68","103110012","311"
"","-210","1001004","10012","31","0","1","-165","0.68","103110013","311"
"","-280","1001005","10012","31","0","1","-240","0.68","103110014","311"
"<weapon>_idle","52","1002001","2","1","0","0.68","-250","-60","103110015","311"
"<weapon>_idle","51","1002002","2","1","0","0.68","-320","15","103110016","311"
"<weapon>_idle","53","1002003","2","1","0","0.68","-390","-75","103110017","311"
"<weapon>_idle","51","1002004","2","1","0","0.68","-460","15","103110018","311"
"<weapon>_idle","52","1002005","2","1","0","0.68","-530","-60","103110019","311"
"","-250","1002001","10012","31","0","1","-60","0.68","103110020","311"
"","-320","1002002","10012","31","0","1","15","0.68","103110021","311"
"","-390","1002003","10012","31","0","1","-75","0.68","103110022","311"
"","-460","1002004","10012","31","0","1","15","0.68","103110023","311"
"","-530","1002005","10012","31","0","1","-60","0.68","103110024","311"
"<weapon>_idle","62","1003001","2","1","0","0.68","-500","-250","103110025","311"
"<weapon>_idle","61","1003002","2","1","0","0.68","-570","-175","103110026","311"
"<weapon>_idle","63","1003003","2","1","0","0.68","-640","-265","103110027","311"
"<weapon>_idle","61","1003004","2","1","0","0.68","-710","-175","103110028","311"
