c0d3740525fa1b2a42d6db2a4cc0a7826879564cd96a48cf8454f0bf354ea923,05514418b88f97e86703a0dc8aa30c7ac6f5b8a6620176e030609fad4e6caf97,b701acb548a2868a111631b9acd85df24bd11af90732693862fff79906221015,dc0c44d4a638b17776c01115ebdbe12271f9cfe5b606bb824c696a5d02405331,5bea09ff5c7b1e347c14c65df7f77d4090191c2afb5904ce7d15e90ad77fab68,f184617c4d946ad34452275845cd76045d37eadcf956de47d9395a15cce3d369
"-1480","2816","-1480","11","1","1"
"-1400","2816","-1302","21","1","1"
"-1302","2816","-1263","31","1","1"
"-1263","2816","-1224","41","1","1"
"-1224","2816","-1185","51","1","1"
"-1185","2816","-1146","61","1","1"
"-1146","2816","-1146","71","1","1"
"-1146","2816","-1146","81","1","1"
"-1146","2816","-1107","91","1","1"
"-1107","2816","-1068","101","1","1"
"-1068","2816","-1029","111","1","1"
"-1029","2816","-1029","121","1","1"
"-1029","2816","-1029","131","1","1"
"-1029","2816","-1029","141","1","1"
"-1029","2816","-988","151","1","1"
"-988","2816","-947","161","1","1"
"-947","2816","-906","171","1","1"
"-906","2816","-865","181","1","1"
"-865","2816","-865","191","1","1"
"-865","2816","-865","201","1","1"
"-865","2816","-824","211","1","1"
"-824","2816","-783","221","1","1"
"-783","2816","-742","231","1","1"
"-742","2816","-701","241","1","1"
"-701","2816","-660","251","1","1"
"-660","2816","-619","261","1","1"
"-619","2816","-619","271","1","1"
"-619","2816","-619","281","1","1"
"-619","2816","-619","291","1","1"
"-619","2816","-578","301","1","1"
"-578","2816","-537","311","1","1"
"-537","2816","-496","321","1","1"
"-496","2816","-496","331","1","1"
"-496","2816","-496","341","1","1"
"-496","2816","-496","351","1","1"
"-496","2816","-455","361","1","1"
"-455","2816","-414","371","1","1"
"-414","2816","-373","381","1","1"
"-373","2816","-332","391","1","1"
"-332","2816","-332","401","1","1"
"-332","2816","-332","411","1","1"
"-332","2816","-200","421","1","1"
"-1246","2816","-1181","431","2","2"
"-1181","2816","-1152","441","2","2"
"-1152","2816","-1152","451","2","2"
"-1152","2816","-1123","461","2","2"
"-1123","2816","-1094","471","2","2"
"-1094","2816","-1094","481","2","2"
"-1094","2816","-1065","491","2","2"
"-1065","2816","-1065","501","2","2"
"-1065","2816","-1036","511","2","2"
"-1036","2816","-1036","521","2","2"
"-1036","2816","-1007","531","2","2"
"-1007","2816","-978","541","2","2"
"-978","2816","-978","551","2","2"
"-978","2816","-949","561","2","2"
"-949","2816","-920","571","2","2"
"-920","2816","-891","581","2","2"
"-891","2816","-862","591","2","2"
"-862","2816","-862","601","2","2"
"-862","2816","-862","611","2","2"
"-862","2816","-862","621","2","2"
"-862","2816","-833","631","2","2"
