2f2db5ca78ba7d5a193fa4754362ccc837604abbfbdaf34e0ed0b7bc845a25e4,3f6e611f03b2a1e1cff08ed8f7a32f8eefae3422a3c11fda707b8d76cfe95464,05edf8e6412959516ed6c8c5e63ba4cf493dc4266e7d3e5923c5af74e3de4d57,66c35c7a961a9d0f99f9f4f3795bb7bb7689398132e5c57e9e119ba51dbfd78b,6bb119b28de1d3aa16d3d9ac02dab522f143acff351f65142711d14518f3fce2
"500000101","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000001","18","ダメージ減衰"
"500000102","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000001","17","ＴＰ上昇上限付与"
"500000103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000001","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000001","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000105","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000001","9","ＨＰ吸収ダウン"
"500000106","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000001","boss_tp_down_cut","ＴＰダウンカット"
"500000201","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000002","18","ダメージ減衰"
"500000202","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000002","17","ＴＰ上昇上限付与"
"500000203","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000002","boss_def_lower_limit","物理防御力（ダウン不可）アップ"
"500000204","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000002","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ"
"500000205","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000002","9","ＨＰ吸収ダウン"
"500000206","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000002","boss_tp_down_cut","ＴＰダウンカット"
"500000301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000003","18","ダメージ減衰"
