29c8ea95628f861cce9ae4a556988775789e489d5e3274c97d7a8f1d2dca5ea7,7cc1b2beb2a08299a1b9109f85bbc79b5c802da7ff6e051ba25adce8da33d08b,081c078c83fbfeb53002e3974fdd33e98ca78d0079ebc665a83b7d585a4fd448,c33f22500ba6e66c9b84f54405dc1190542b0da7df111983e154aff0299612ac,fa5783f0af79df614f387514f6efcbe139acd129c5a61bf8c655538ac483cf99,05189bd73d8a1126a3a77f85c0b49cddc7ac994354326136600ae8239211ea29,7f2d06d403eada7d6f9a544d01e53981beb141e584956469d5711f83873cc001,8132ba35061fc2333bc1039368c5d4ad1d805a6c0eda88985f8a4c3c20a71506,d6968cfcf27a5ce78caac9e84acb271b403e1aef758d94bfbbfd583b9eed0081,df936c920bb5bc7f09a5315d762819e4afc99c0b00731e41bc705c2afe29ee1d
"90001","30000","90043","0","1","10000","0","10","12000","1"
"90002","30000","90047","0","2","10000","0","20","24000","2"
"90002","30000","90047","0","3","10000","0","20","24000","3"
"90002","30000","90047","0","4","10000","0","20","24000","4"
"90002","30000","90047","0","5","10000","0","20","24000","5"
"90002","30000","90047","0","6","10000","0","20","24000","6"
"90002","30000","90047","0","7","10000","0","20","24000","7"
"90002","30000","90047","0","8","10000","0","20","24000","8"
"90002","30000","90047","0","9","10000","0","20","24000","9"
"90002","30000","90047","1","10","10000","0","20","24000","10"
"90003","30000","90051","2","11","10000","90011","40","48000","11"
"90003","30000","90051","3","12","10000","90011","40","48000","12"
"90003","30000","90051","4","13","10000","90011","40","48000","13"
"90003","30000","90051","5","14","10000","90011","40","48000","14"
"90003","30000","90051","6","15","10000","90011","40","48000","15"
"90003","30000","90051","7","16","10000","90011","40","48000","16"
"90003","30000","90051","8","17","10000","90011","40","48000","17"
"90003","30000","90051","9","18","10000","90011","40","48000","18"
"90003","30000","90051","10","19","10000","90011","40","48000","19"
"90003","30000","90051","11","20","10000","90011","40","48000","20"
"90004","30000","90055","12","21","10000","90015","60","72000","21"
"90004","30000","90055","13","22","10000","90015","60","72000","22"
"90004","30000","90055","14","23","10000","90015","60","72000","23"
"90004","30000","90055","15","24","10000","90015","60","72000","24"
"90004","30000","90055","16","25","10000","90015","60","72000","25"
"90004","30000","90055","17","26","10000","90015","60","72000","26"
"90004","30000","90055","18","27","10000","90015","60","72000","27"
"90004","30000","90055","19","28","10000","90015","60","72000","28"
"90004","30000","90055","20","29","10000","90015","60","72000","29"
"90004","30000","90055","21","30","10000","90015","60","72000","30"
"90005","30000","90059","22","31","10000","90015","80","96000","31"
"90005","30000","90059","23","32","10000","90015","80","96000","32"
"90005","30000","90059","24","33","10000","90015","80","96000","33"
"90005","30000","90059","25","34","10000","90015","80","96000","34"
"90005","30000","90059","26","35","10000","90015","80","96000","35"
"90005","30000","90059","27","36","10000","90015","80","96000","36"
"90005","30000","90059","28","37","10000","90015","80","96000","37"
"90005","30000","90059","29","38","10000","90015","80","96000","38"
"90005","30000","90059","30","39","10000","90015","80","96000","39"
"90005","30000","90059","31","40","10000","90015","80","96000","40"
"90005","30000","90063","33","41","10000","90017","120","144000","41"
"90005","30000","90063","35","42","10000","90017","120","144000","42"
"90005","30000","90063","37","43","10000","90017","120","144000","43"
"90005","30000","90063","39","44","10000","90017","120","144000","44"
"90005","30000","90063","41","45","10000","90017","120","144000","45"
"90005","30000","90063","43","46","10000","90017","120","144000","46"
"90005","30000","90063","45","47","10000","90017","120","144000","47"
"90005","30000","90063","47","48","10000","90017","120","144000","48"
"90005","30000","90063","49","49","10000","90017","120","144000","49"
"90005","30000","90063","51","50","10000","90017","120","144000","50"
"90006","30000","90067","53","51","10000","90019","150","180000","51"
"90006","30000","90067","55","52","10000","90019","150","180000","52"
"90006","30000","90067","57","53","10000","90019","150","180000","53"
"90006","30000","90067","59","54","10000","90019","150","180000","54"
"90006","30000","90067","61","55","10000","90019","150","180000","55"
"90006","30000","90067","63","56","10000","90019","150","180000","56"
"90006","30000","90067","65","57","10000","90019","150","180000","57"
"90006","30000","90067","67","58","10000","90019","150","180000","58"
"90006","30000","90067","69","59","10000","90019","150","180000","59"
"90006","30000","90067","71","60","10000","90019","150","180000","60"
"90007","30000","90071","74","61","10000","90021","180","216000","61"
"90007","30000","90071","77","62","10000","90021","180","216000","62"
"90007","30000","90071","80","63","10000","90021","180","216000","63"
"90007","30000","90071","83","64","10000","90021","180","216000","64"
"90007","30000","90071","86","65","10000","90021","180","216000","65"
"90007","30000","90071","89","66","10000","90021","180","216000","66"
"90007","30000","90071","92","67","10000","90021","180","216000","67"
"90007","30000","90071","95","68","10000","90021","180","216000","68"
"90007","30000","90071","98","69","10000","90021","180","216000","69"
"90007","30000","90071","101","70","10000","90021","180","216000","70"
