4d03d214b2193842ef0f9d411e4375e9f258da3fced02e5409bab009b9c8cfe3,f3e994019e81fbb40181733341420e289c149be44303543d691343fc41aefd31,67fb90ffc6f4c4d8a88a540b61fe19db87a7527c92e880107c648d6ecda99bbc,ff9b7513726171837656ee6d486081f993c6c56947f4ff215fab014f5726e696,61f7468457b8f9596d49180b9bb4a111b0a3ee47122430383d19b7d316877ac8,b52fb7125be71f21896422bdbde6bedadd68333746a75cea13acfd83a62657d1
"11101","vo_caravan_105801_start_001","1","1","1","vo_caravan"
"11102","vo_caravan_105801_start_002","1","1","1","vo_caravan"
"12101","vo_caravan_105901_start_001","1","1","2","vo_caravan"
"12102","vo_caravan_105901_start_002","1","1","2","vo_caravan"
"13101","vo_caravan_106001_start_001","1","1","3","vo_caravan"
"13102","vo_caravan_106001_start_002","1","1","3","vo_caravan"
"14101","vo_caravan_106401_start_001","1","1","4","vo_caravan"
"14102","vo_caravan_106401_start_002","1","1","4","vo_caravan"
"21101","vo_caravan_105801_dice_001","2","1","1","vo_caravan"
"21102","vo_caravan_105801_dice_002","2","1","1","vo_caravan"
"22101","vo_caravan_105901_dice_001","2","1","2","vo_caravan"
"22102","vo_caravan_105901_dice_002","2","1","2","vo_caravan"
"23101","vo_caravan_106001_dice_001","2","1","3","vo_caravan"
"23102","vo_caravan_106001_dice_002","2","1","3","vo_caravan"
"24101","vo_caravan_106401_dice_001","2","1","4","vo_caravan"
"24102","vo_caravan_106401_dice_002","2","1","4","vo_caravan"
"31101","vo_caravan_105801_slot_001","3","1","1","vo_caravan"
"32101","vo_caravan_105901_slot_001","3","1","2","vo_caravan"
"33101","vo_caravan_106001_slot_001","3","1","3","vo_caravan"
"34101","vo_caravan_106401_slot_001","3","1","4","vo_caravan"
"41101","vo_caravan_105801_dish_001","4","1","1","vo_caravan"
"41102","vo_caravan_105801_dish_002","4","1","1","vo_caravan"
"42101","vo_caravan_105901_dish_001","4","1","2","vo_caravan"
"42102","vo_caravan_105901_dish_002","4","1","2","vo_caravan"
"42201","se_caravan_food_peko","4","2","1","se_caravan"
"42202","se_caravan_food_coccoro","4","2","2","se_caravan"
"42203","se_caravan_food_kyaru","4","2","3","se_caravan"
"42204","se_caravan_food_coccoro","4","2","4","se_caravan"
"42205","se_caravan_food_onigiri","4","2","100","se_caravan"
"43101","vo_caravan_106001_dish_001","4","1","3","vo_caravan"
"43102","vo_caravan_106001_dish_002","4","1","3","vo_caravan"
"44101","vo_caravan_106401_dish_001","4","1","4","vo_caravan"
"44102","vo_caravan_106401_dish_002","4","1","4","vo_caravan"
"45101","vo_caravan_onigiri_dish_001","4","1","100","vo_caravan"
"61101","vo_caravan_105801_goal_001","6","1","0","vo_caravan"
"61201","vo_caravan_105801_win_001","61","1","0","vo_caravan"
"61301","vo_caravan_105801_lose_001","62","1","0","vo_caravan"
"62101","vo_caravan_105901_goal_001","6","1","0","vo_caravan"
"62201","vo_caravan_105901_win_001","61","1","0","vo_caravan"
"62301","vo_caravan_105901_lose_001","62","1","0","vo_caravan"
"63101","vo_caravan_106001_goal_001","6","1","0","vo_caravan"
"63201","vo_caravan_106001_win_001","61","1","0","vo_caravan"
"63301","vo_caravan_106001_lose_001","62","1","0","vo_caravan"
"64101","vo_caravan_118501_goal_001","6","1","0","vo_caravan"
"65101","vo_caravan_106401_goal_001","6","1","0","vo_caravan"
"65201","vo_caravan_106401_win_001","61","1","0","vo_caravan"
"65301","vo_caravan_106401_lose_001","62","1","0","vo_caravan"
"71101","vo_caravan_105801_appraise_001","7","1","0","vo_caravan"
"72101","vo_caravan_105901_appraise_001","7","1","0","vo_caravan"
"73101","vo_caravan_106001_appraise_001","7","1","0","vo_caravan"
"74101","vo_caravan_106401_appraise_001","7","1","0","vo_caravan"
"81101","vo_caravan_105801_result_001","8","1","0","vo_caravan"
"82101","vo_caravan_105901_result_001","8","1","0","vo_caravan"
"83101","vo_caravan_106001_result_001","8","1","0","vo_caravan"
"84101","vo_caravan_106401_result_001","8","1","0","vo_caravan"
"211101","vo_caravan_319700_dice_001","2","1","11","vo_caravan"
"211102","vo_caravan_319700_dice_002","2","1","11","vo_caravan"
"212101","vo_caravan_319800_dice_001","2","1","12","vo_caravan"
"212102","vo_caravan_319800_dice_002","2","1","12","vo_caravan"
"213101","vo_caravan_319900_dice_001","2","1","13","vo_caravan"
"213102","vo_caravan_319900_dice_002","2","1","13","vo_caravan"
