02a20b468fc1c6432e7e6684d4f82189b074f3c3af4f7c4ba13066c90071a595,20778914d875b2120d4176165a997ad434073e3e23ca7b6e991f3761e2ea415a,af44869e08eb9ec8eba1d1e7aa05240c5855f4b42f47da5832128ce9d900914c
"装備中","106101","通常時"
"特殊スキル","106701","通常時"
"権能解放中","106801","通常時"
"特殊スキル","106901","通常時"
"パターン変化中","114401","通常時"
"変身中","115801","通常時"
"特殊スキル","116401","通常時"
"特殊スキル","118201","通常時"
"特殊スキル","118501","通常時"
"特殊スキル","118601","通常時"
"初回発動時","120801","通常時"
"特殊スキル","122001","通常時"
"共闘中","122301","通常時"
"特殊スキル","122701","通常時"
"特殊スキル","123001","通常時"
"共闘中","125001","通常時"
"特殊スキル","125801","通常時"
"特殊スキル","126001","通常時"
"特殊スキル","126101","通常時"
"特殊スキル","126201","通常時"
"【フルチャージ】中","126401","通常時"
"特殊スキル","126501","通常時"
"特殊スキル","129001","通常時"
"特殊スキル","129301","通常時"
"特殊スキル","129401","通常時"
"初回発動時","129501","通常時"
"特殊スキル","129601","通常時"
"特殊スキル","129701","通常時"
"特殊スキル","130001","通常時"
"特殊スキル","130101","通常時"
"特殊スキル","131201","通常時"
"特殊スキル","131801","通常時"
"特殊スキル","132001","通常時"
"鬼化中","132101","通常時"
"初回発動時","132401","通常時"
"初回発動時","132901","通常時"
"特殊スキル","133101","通常時"
"召喚体スキル","133801","通常時"
"特殊スキル","134501","通常時"
"特殊スキル","134901","通常時"
"特殊スキル","135001","通常時"
"特殊スキル","135101","通常時"
"特殊効果","135201","通常時"
"特殊スキル","135601","通常時"
"初回発動時","135901","通常時"
"特殊スキル","136001","通常時"
"特殊スキル","136101","通常時"
"初回発動時","136401","通常時"
"特殊効果","136501","通常時"
"パターン変化後","137401","通常時"
"パターン変化中","138101","通常時"
"特殊スキル","138301","通常時"
"特殊スキル","181201","通常時"
