8cae3639dbd8fdcf64f9cffa573b1cb2cef00b16c9ebd01f16b610b4eed936de,039d1c5ab3b2d35ab4a64c31d8afbf568e4bc6085a961bd1ba484e72ae32aaee,13979f66ede9018d619ee73d70289ffa163ba86707ae144214ff01df29e82da7,377376328ce9e7a9520bef53b0263f6761dc656de86c053d2f0c3f810d516742,b40c6db933224f33e0f4696db422a493e33599b072e070e139c45adc56ea408c,9059cebca9c06e8d7b3cc216f1ce88cc1b2b8045f3d7fab041bdcc66eb8cf105,e37804e07b3853dc913cea62a5c24a7aa9fbdbea71df831c61b872b367734051,71e67dfe0ed35440fd077b624e8afa6381a1d1930f04272288d8a3c06488b8d9,a5c8eb8b5bb3357a85e88c6fac6cf1473abce85aca20e18ff9e809c21e492825,431d6c54c396801df0c0328c021956e291e5f7d9c082aaee7ac2f939437413a9,81b99884a1cd7ee6719bbc9a3f2826ba4fcfbf3073656c884e54965ee4795670
"115","0","nop_idle_joy1","101001","1.5","-100","1","101","1","-150","111831"
"114","1","nop_idle_normal_joy","101002","1.5","100","1","101","1","-150","120731"
"111","0","nop_idle_arm_crossed","101003","1.5","-215","1","101","1","-127","120831"
"110","1","nop_idle_normal","101004","1.5","215","1","101","1","-127","111931"
"113","0","nop_idle_thinking","101005","1.5","-330","1","101","1","-150","120931"
"112","1","nop_idle_normal","101006","1.5","330","1","101","1","-150","112031"
"115","0","nop_idle_joy1","102001","1.5","-100","1","102","1","-150","108731"
"114","1","nop_idle_joy_normal","102002","1.5","100","1","102","1","-150","108831"
"111","0","nop_idle_normal","102003","1.5","-215","1","102","1","-127","108931"
"113","0","nop_idle_joy1","103001","1.5","-100","1","103","1","-135","102011"
"115","0","nop_idle_normal","103002","1.5","-215","1","103","1","-150","100411"
"114","1","nop_idle_wish","103003","1.5","100","1","103","1","-143","103631"
"115","0","nop_idle_normal","104001","1.5","-100","1","104","1","-150","101231"
"114","1","nop_idle_normal","104002","1.5","100","1","104","1","-150","104011"
"111","0","nop_idle_normal","104003","1.5","-215","1","104","1","-127","101511"
"113","0","nop_idle_normal","105001","1.5","-100","1","105","1","-135","103111"
"111","1","nop_idle_sad","105002","1.5","100","1","105","1","-135","102211"
"115","0","nop_05_miyako_idle_normal","105003","1.5","-215","1","105","1","-150","100711"
"112","1","nop_idle_joy1","105004","1.5","215","1","105","1","-150","100611"
"114","1","nop_skull_idle","105005","1.5","-25","5","105","1","-135","2051"
"115","0","nop_idle_arm_crossed","106001","1.5","-215","1","106","1","-150","104731"
"114","1","nop_idle_arm_crossed","106002","1.5","215","1","106","1","-150","107131"
"111","0","nop_idle_normal","106003","1.5","-100","1","106","1","-135","103731"
