92bbe1fbb516f9510763f634559dbd0af73f893f80b04eed1f284c28be1770b2,21b0c6a032ba6e827a08ebf3f60ffb4de27b521a7d8e84386bb2b37650a6ad94,329c5a73d73728dbb5a7c1e23d0f153311eabd798a1143e92fcd69c253a96095,51638656abfbff20bf020125dddad62f9a884d0b35b6148d7ab4067671faf31f,01d6d1790026585bc70ca4c6a29acb82d9ff1641ca1d31a79df54090af0bc589,37ec5866e5b3ef7968d4bb5a4cea75c0c3246c73ba705bd723c243afc0efd16a,74f9e20a57332bdfb3f7219972f77c4e363450c7de1e511e4295b4be709176aa,8474bb13a86e472cacf1aa1aea372fa5175a65d6c046f8ad579d923577bf6795,94ee0acd09ae59b69af608c691cc18ccd14924a1f1781e1984b46ee89d806053,58e57f45b98ae523addd71c87cd8e748c29723e0d65d57d9a00f8c8709e3ddff
"0","1","1","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","126501","","1001","ライラエル"
"0","2","2","10001","","最大1000マイルを入手する","105301","","1002","モニカ"
"0","1","3","1","","料理を{0}つ入手する","126401","","1003","クローチェ"
"0","3","4","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","100501","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1004","マツリ"
"0","2","4","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101301","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1005","ナナカ"
"0","2","5","4","","出目が{0}のダイスを同時に振って\nどちらか選択できる","104301","出目が{0}のダイスを同時に振って\nどちらか選択できる","1006","マコト"
"0","3","5","3","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102701","出目が{0}のダイスを同時に振って\nどちらか選択できる","1007","エリコ"
"0","1","6","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","100901","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1008","アンナ"
"0","1","1","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","105101","","1009","ミツキ"
"0","2","2","10001","","最大1000マイルを入手する","101801","","1010","イオ"
"0","2","8","0","","ダイスの表と裏\nどちらを適用するか選択できる","129701","ダイスの表と裏\nどちらを適用するか選択できる","1011","ネフィ＝ネラ"
"0","3","4","1","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","101601","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1012","スズナ"
"0","2","4","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","105601","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1013","ルカ"
"0","3","5","3","","出目が{0}のダイスを同時に振って\nどちらか選択できる","102001","出目が{0}のダイスを同時に振って\nどちらか選択できる","1014","ミミ"
"0","1","6","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","129601","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1015","アネモネ"
"1","2","10","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","100401","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","1016","ミソギ"
"1","3","13","2","","出たダイスの目が{0}だった場合、\n+{1}進める","127701","出たダイスの目が{0}だった場合、\n+{1}進める","1017","リンド"
"1","2","10","1","","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1018","ヴルム"
"0","1","1","10001","","最大50％割引確定のショップを開く（1品100％割引あり）","104801","","1019","ミフユ"
"0","2","4","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","ダイスの目を{0}回振りなおせる","104701","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1020","ジュン"
"0","1","6","7","","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1021","ミサキ"
"0","1","2","10002","","最大2000マイルを入手する","103201","","1022","アキノ"
"0","1","12","1","","福引券を{0}枚入手する","130901","","1023","クルル"
"0","1","3","1","","料理を{0}つ入手する","102501","","1024","スズメ"
