707dedb23883a664ec80bf38d796745ae501ac8aa52cd1f105c619bdc0b8e503,3cda1dbcbb9bb6979761590f377e3ac8aefbfb4dc80afd44b27dd49c35f06b29,5b7d215882f2ca55d699b625ada0430a5fd9e0b8181004323fa5f81d776b47f1,4624602584400da2eca015ed3fce8cf8cd92d7e329da16205e22405cc494fc25,ca119089093c9b007eb1ca51ae35713d07d32eec3de08d305ecfd5393e243609,fec0c0fda19fa02ce800ce7f59b91c178fa9a2030139dd64fe8a3cfa785cb411,1da546687b061edcce3d72983725048b3c5c028f1b61abf25cce92f942f9db16,aa597ad54c2c9cc6f2f8f6c0fe5bdc78cf6ddb909b23d193607880226077b6ee,3b7450421c937c9ed5bff1b65217001fbe4bd4de2a5f4d8b7c75028cb4d8a0a4,aab41f21f22d10be7c9715b3bb52f6fde4d0fbe085b2a2cc38aac8fa5549faee,c88250394b574317627cbf244b6bca8a9d3e16778d0c80b2bc927c4961b92bdc
"1.3","1","0","bsm_idle_yamato","100","0","0","1","1","130011","1001"
"0.2","130011","1","","0","0","bsm_drama_arm_crossed_loop","1","3","bsm_drama_arm_crossed","1002"
"","vo_minigame_1014","","","0","","0","1","21","vo_minigame_1014_top_1000","1003"
"0","130011","0","1","5","0","1","1","11","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","1004"
"","0","","","","","","1","91","","1005"
"0.3","130011","","","1","","","1","3","bsm_idle_yamato","1006"
"1.3","1","0","bsm_idle_yamato","100","0","0","2","1","130011","2001"
"0.2","130011","","","1","","","2","3","bsm_drama_thinking","2002"
"","vo_minigame_1014","","","0","","0","2","21","vo_minigame_1014_top_1001","2003"
"0","130011","0","1","6","0","1","2","11","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","2004"
"","0","","","","","","2","91","","2005"
"0.3","130011","","","1","","","2","3","bsm_idle_yamato","2006"
"1.3","1","0","bsm_idle_yamato","100","0","0","3","1","130011","3001"
"0.2","130011","1","","0","0","bsm_drama_doya_loop","3","3","bsm_drama_doya","3002"
"","vo_minigame_1014","","","0","","0","3","21","vo_minigame_1014_top_1002","3003"
"0","130011","0","1","7","0","1","3","11","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","3004"
"","0","","","","","","3","91","","3005"
"0.3","130011","","","1","","","3","3","bsm_idle_yamato","3006"
"1.3","1","0","bsm_idle_wakana","100","0","0","4","1","130111","4001"
"0.2","130111","1","","0","0","bsm_drama_guts_loop","4","3","bsm_drama_guts","4002"
"","vo_minigame_1014","","","0","","0","4","21","vo_minigame_1014_top_2000","4003"
"0","130111","0","1","8","0","1","4","11","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","4004"
"","0","","","","","","4","91","","4005"
"0.3","130111","","","1","","","4","3","bsm_idle_wakana","4006"
"1.3","1","0","bsm_idle_wakana","100","0","0","5","1","130111","5001"
"0.2","130111","","","1","","","5","3","bsm_drama_wish","5002"
"","vo_minigame_1014","","","0","","0","5","21","vo_minigame_1014_top_2001","5003"
"0","130111","0","1","8","0","1","5","11","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","5004"
"","0","","","","","","5","91","","5005"
"0.3","130111","","","1","","","5","3","bsm_idle_wakana","5006"
"1.3","1","0","bsm_idle_wakana","100","0","0","6","1","130111","6001"
"0.2","130111","","","1","","","6","3","bsm_drama_pazzled","6002"
"","vo_minigame_1014","","","0","","0","6","21","vo_minigame_1014_top_2002","6003"
"0","130111","0","1","7","0","1","6","11","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","6004"
"","0","","","","","","6","91","","6005"
"0.3","130111","","","1","","","6","3","bsm_idle_wakana","6006"
"1.3","1","0","bsm_idle_fubuki","100","0","0","7","1","130211","7001"
"0.2","130211","","","1","","","7","3","bsm_drama_smile","7002"
"","vo_minigame_1014","","","0","","0","7","21","vo_minigame_1014_top_3000","7003"
"0","130211","0","1","5","0","1","7","11","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","7004"
"","0","","","","","","7","91","","7005"
"0.2","130211","","","1","","","7","3","bsm_idle_fubuki","7006"
"1.3","1","0","bsm_idle_fubuki","100","0","0","8","1","130211","8001"
"0.2","130211","1","","0","","bsm_drama_doya_loop","8","3","bsm_drama_doya","8002"
"","vo_minigame_1014","","","0","","0","8","21","vo_minigame_1014_top_3001","8003"
"0","130211","0","1","7","0","1","8","11","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","8004"
"","0","","","","","","8","91","","8005"
"0.2","130211","","","1","","","8","3","bsm_idle_fubuki","8006"
"1.3","1","0","bsm_idle_fubuki","100","0","0","9","1","130211","9001"
"0.2","130211","1","","0","0","bsm_drama_laugh_loop","9","3","bsm_drama_laugh","9002"
"","vo_minigame_1014","","","0","","0","9","21","vo_minigame_1014_top_3002","9003"
"0","130211","0","1","7","0","1","9","11","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","9004"
"","0","","","","","","9","91","","9005"
"0.2","130211","","","1","","","9","3","bsm_idle_fubuki","9006"
