6231de5b2dd4e7e984914fb8762846f93930e7bbabc657659fb4c6792b4a8314,24a02b37cf63113ba39bdc036f58bc312ea7edaea892302187a45d32794840d7,b2998f6c0225172bf450c0ff98001fc03e4ee32f73e842533a8cb0fd6b368d3b,4e45e94cb2f5bf413d9dc030108630dca4d8e652dabc6037b8ece5da29f414d4,3044989fc46a117e03b20c70f61aa2bbfa2175af3edbeb7462be49278a7440f3,594f203745136ee4a3bedce15e0cc9e61eef0d5915e82a3c419104c62bf349a9,725b1366204dc3668c43d94b478f0c82eb38317176a17eeff17aaad4deaddb93,5ca87a6ff22953b7211a3bab4f66e8a8f23ed51a813a0bebb11b93742696a436
"0","24","0","10101020","1","3050100","1","1"
"0","24","0","0","2","4010200","1","2"
"0","24","0","10401020","3","3030200","1","3"
"0","24","0","10401020","4","3050200","1","4"
"0","24","0","10401020","5","3040200","1","5"
"0","24","0","10401020","6","3020200","1","6"
"0","24","0","0","7","4010300","1","7"
"0","24","0","10101020","101","3030100","1","8"
"0","24","0","0","102","3010201","1","9"
"0","24","0","0","103","3020201","1","10"
"0","24","0","0","104","3010301","1","11"
"0","24","0","0","105","3030301","1","12"
"0","24","0","0","106","3040301","1","13"
"0","24","0","0","107","3050301","1","14"
"0","24","0","0","108","3020301","1","15"
"0","24","0","10401050","109","3030300","1","16"
"0","24","0","10401050","110","3040300","1","17"
"0","24","0","10401050","111","3050300","1","18"
"0","24","0","10401050","112","3020300","1","19"
"0","24","0","10101020","201","3010100","1","20"
"0","24","0","10101020","202","3020100","1","21"
"0","24","0","10101020","203","3030100","1","22"
"0","24","0","10101020","204","3040100","1","23"
"0","24","0","10101020","205","3050100","1","24"
"0","24","0","10101020","206","3010200","1","25"
"0","24","0","10101020","207","3020200","1","26"
"0","24","0","10101020","208","3030200","1","27"
"0","24","0","10101020","209","3040200","1","28"
"0","24","0","10101020","210","3050200","1","29"
"112","24","0","0","401","1010301","1","30"
"203","24","0","0","402","1020301","1","31"
"306","24","0","0","403","1030301","1","32"
"401","24","0","0","404","1040301","1","33"
"508","24","0","0","405","1050301","1","34"
"209","24","0","20101050","406","1020301","1","35"
"306","24","0","20101050","407","1030301","1","36"
"407","24","0","20101050","408","1040301","1","37"
"501","24","0","20101050","409","1050301","1","38"
"0","15","11001337","0","600","0","1","39"
"0","8","91002","0","600","0","150","40"
"0","15","11001338","0","700","0","1","41"
"0","8","91002","0","799","0","150","42"
"0","15","11001339","0","800","0","1","43"
"0","24","0","0","999","0","1","44"
