dad3d6d3d6c040b411753e5893fc33ff222ccdc7a4d227ba179c253e9c6cd161,d724e41022c07280b32128adde3b6967f451d6a1f692b981ef7c3169cc95283b,9e529e0a0204754cb67fe27a04eea342a4afd11f3bbc2d2ae774a1518d58721e,b0db9bc3044625ba51011101768e708753416dddd1e55ecc0ac48bdb8f781804,a6c00916491305f2b33e256a162a86903daf24cd76243824763ce610da2b8741,73e394c5da71c769e168c383a52f6e2a5e449f5442e8463ab52aac817b28cdfb,8ed9e06939ed2aa74818a791b176c1c729b592bbbf844d34c2b942733c1c63c5,86652ff862e33b950d8fbbb4f2e56e4bfda1667f2dda49580e188ff329ce0bbc,14239b13be2d85907aacdc1a6afb49bd014dca1c2df759cc5316fb8f7770ad31,c2fd0c87799b27d43a1bceaec622ec74752b8423ba62139e6f4a82ad5b34c808,a8f38a3369dd46ef119991d46bff9348a870e635bb3d09b9ccc8798609c2bc10,2923bbfb8991c1197689625a5dd4563a6309af30e994fae44b84c3d0a1e5d4d7,7a89a1f283c72751cf965e64e3820295240b9221e6e6a84a0913128317b472f7,a04c3a97bd0b5150dafe8ee0f2c228c270ad4ba71e562d2564a962e86242d6f3,e1d931ea03e30fb4a10064b743519429d68155ec12541a8c921f89f72c6ded48,10d3ec4b1bdcd2b3486da6122d298529738f93e01458e4c291bff6750338f8ff,62f70793e22f76fe64a35f587b9d2a0bcd5068e168682d22576228afdaa7152a,6bf1fa445c4bcad7703d1ddae154149f948623fd0dae73c607abafe33e508e41
"1","1","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10","500"
"2","11","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","100","50"
"3","101","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","200","30"
"4","201","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","500","10"
"5","501","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","1000","5"
"6","1001","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","2000","3"
"7","2001","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","4000","2"
"8","4001","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","7999","1"
"9","8000","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8000","30"
"10","8100","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8100","30"
"11","8200","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8200","30"
"12","8300","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8300","30"
"13","8400","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8400","30"
"14","8500","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8500","30"
"15","8600","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8600","30"
"16","8700","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8700","30"
"17","8800","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8800","30"
"18","8900","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","8900","30"
"19","9000","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9000","30"
"20","9100","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9100","30"
"21","9200","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9200","30"
"22","9300","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9300","30"
"23","9400","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9400","30"
"24","9500","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9500","30"
"25","9600","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9600","30"
"26","9700","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9700","30"
"27","9800","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9800","30"
"28","9900","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","9900","30"
"29","10000","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10000","30"
"30","10100","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10100","30"
"31","10200","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10200","30"
"32","10300","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10300","30"
"33","10400","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10400","30"
"34","10500","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10500","30"
"35","10600","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10600","30"
"36","10700","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10700","30"
"37","10800","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10800","30"
"38","10900","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","10900","30"
"39","11000","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11000","30"
"40","11100","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11100","30"
"41","11200","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11200","30"
"42","11300","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11300","30"
"43","11400","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11400","30"
"44","11500","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11500","30"
"45","11600","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11600","30"
"46","11700","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11700","30"
"47","11800","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11800","30"
"48","11900","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","11900","30"
"49","12000","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","12000","30"
"50","12100","8","0","0","0","0","0","0","91002","0","0","0","0","0","0","12100","30"
