1c66537c60224d5708dcf699e5627049499653e85521fcff1d938a6f946327e0,508363a665bf1afe9e0f6d0496e2e34f55b40b8554b30f146a39a14142270473,5bff982564f35b9e63413af332a0ed50ed1b761a79330727f746e6ad32c306a3,4c36358267e6f6aa86017b9555a2f479c931e92f80bf5ddc1229b8337fdf2d6f,8b9fc82cb6a67fcc031c81e5c0943492c41f134d56186c101c873e32328cd327,6938b1b4ded321bc1a36dc6c7c9211e675c9235f1fe816299ffcb6dc2a7799fd,6bea648deb09c6c9a6576dbf89000d82fe46bb6601e403772edc8180adffe21f,85a3de513d725e8e60e4d1ccb9b86e8ef26b3cbb71c9af58e8cce6f98ed6b606,9b152ca428bf7ec7e13cc1fbcb7a26cc09a642b32a075da30484e8d0a021837f
"100101","全難易度合計で10000pt獲得しよう","1001","100101","0","0","1001","1","10000"
"100102","全難易度合計で30000pt獲得しよう","1001","100102","0","0","1001","1","30000"
"100103","全難易度合計で50000pt獲得しよう","1001","100103","0","0","1001","1","50000"
"100104","全難易度合計で70000pt獲得しよう","1001","100104","0","0","1001","1","70000"
"100105","全難易度合計で90000pt獲得しよう","1001","100105","0","1","1001","1","90000"
"100106","全難易度合計で105000pt獲得しよう","1001","100106","0","1","1001","1","105000"
"100107","全難易度合計で120000pt獲得しよう","1001","100107","0","1","1001","1","120000"
"100108","全難易度合計で135000pt獲得しよう","1001","100108","0","1","1001","1","135000"
"100109","難易度NORMAL1で1回戦おう","1002","100109","1","2","1001","1","0"
"100110","難易度NORMAL2で1回戦おう","1003","100110","1","2","1001","1","0"
"100111","難易度NORMAL3で1回戦おう","1004","100111","1","2","1001","1","0"
"100112","難易度NORMALで10000pt獲得しよう","1001","100112","1","3","1001","1","10000"
"100113","難易度NORMALで20000pt獲得しよう","1001","100113","1","3","1001","1","20000"
"100114","難易度NORMALで30000pt獲得しよう","1001","100114","1","3","1001","1","30000"
"100115","難易度HARD1で1回戦おう","1002","100115","2","4","1001","1","0"
"100116","難易度HARD2で1回戦おう","1003","100116","2","4","1001","1","0"
"100117","難易度HARD3で1回戦おう","1004","100117","2","4","1001","1","0"
"100118","難易度HARDで15000pt獲得しよう","1001","100118","2","5","1001","1","15000"
"100119","難易度HARDで30000pt獲得しよう","1001","100119","2","5","1001","1","30000"
