c2121affe81a3c07557648180eb3f26935fd9a7ba265af7827f7944e8c44b55c,a1d578c2ea47f1118c978f39592247293d97fe8e3bcb7172a0d264df48ed2d8d,7e85ac1cced0ab5a1a7eb1370d2ecb5e9cef95a9dfa959910ac0eb2990753495,d0049db47bbcb0233bc2ce1cf7db2d1136ab6666175a856d3fc006f15f9e33fe,e32a2220fc9146a4e496c7206721c7e09c1ac2384c0cfaeae7645d196ee4ce2e,c15151c57250c9ffd47f063c0a9d714aeb847569eeb1475fae0026f93d25ee49,20270339e3b2989efbf5573bf24517aeb86ec7cadab87ebc56931063421cefa4,b5e1cc6e27e50b5025b019e285a43aad9bb9fb5c25650726dabc393176ed0776,e09df02854a9a20281fdfc01660bd198ed6fcec1bfff59abf8e8221d22491b65
"7","8","22","10001","6","-1","5","53003","1"
"7","4","22","10002","6","-1","5","53002","1"
"6","6","22","10101","5","5","4","53003","1"
"6","5","22","10102","5","5","4","53002","1"
"5","5","22","10201","4","4","3","53003","1"
"5","5","22","10202","4","4","3","53002","1"
"4","4","22","10301","3","3","3","53003","1"
"4","3","22","10302","3","3","3","53002","1"
"3","3","22","10401","2","2","2","53003","1"
"3","2","22","10402","2","2","2","53002","1"
"2","2","22","10501","1","1","1","53003","1"
"2","1","22","10502","1","1","1","53002","1"
"1","2","22","10601","0","0","1","53002","1"
"7","8","22","10701","6","-1","5","53003","2"
"7","4","22","10702","6","-1","5","53002","2"
"6","6","22","10801","5","5","4","53003","2"
"6","5","22","10802","5","5","4","53002","2"
"5","5","22","10901","4","4","3","53003","2"
"5","5","22","10902","4","4","3","53002","2"
"4","4","22","11001","3","3","3","53003","2"
"4","3","22","11002","3","3","3","53002","2"
"3","3","22","11101","2","2","2","53003","2"
"3","2","22","11102","2","2","2","53002","2"
"2","2","22","11201","1","1","1","53003","2"
"2","1","22","11202","1","1","1","53002","2"
"1","2","22","11301","0","0","1","53002","2"
"7","8","22","11401","6","-1","5","53003","3"
"7","4","22","11402","6","-1","5","53002","3"
"6","6","22","11501","5","5","4","53003","3"
"6","5","22","11502","5","5","4","53002","3"
"5","5","22","11601","4","4","3","53003","3"
"5","5","22","11602","4","4","3","53002","3"
"4","4","22","11701","3","3","3","53003","3"
"4","3","22","11702","3","3","3","53002","3"
"3","3","22","11801","2","2","2","53003","3"
"3","2","22","11802","2","2","2","53002","3"
"2","2","22","11901","1","1","1","53003","3"
"2","1","22","11902","1","1","1","53002","3"
"1","2","22","12001","0","0","1","53002","3"
"7","8","22","12101","6","-1","5","53003","4"
"7","4","22","12102","6","-1","5","53002","4"
"6","6","22","12201","5","5","4","53003","4"
"6","5","22","12202","5","5","4","53002","4"
"5","5","22","12301","4","4","3","53003","4"
"5","5","22","12302","4","4","3","53002","4"
"4","4","22","12401","3","3","3","53003","4"
"4","3","22","12402","3","3","3","53002","4"
"3","3","22","12501","2","2","2","53003","4"
"3","2","22","12502","2","2","2","53002","4"
"2","2","22","12601","1","1","1","53003","4"
"2","1","22","12602","1","1","1","53002","4"
"1","2","22","12701","0","0","1","53002","4"
"7","8","22","12801","6","-1","5","53003","5"
"7","4","22","12802","6","-1","5","53002","5"
"6","6","22","12901","5","5","4","53003","5"
"6","5","22","12902","5","5","4","53002","5"
"5","5","22","13001","4","4","3","53003","5"
"5","5","22","13002","4","4","3","53002","5"
"4","4","22","13101","3","3","3","53003","5"
"4","3","22","13102","3","3","3","53002","5"
"3","3","22","13201","2","2","2","53003","5"
"3","2","22","13202","2","2","2","53002","5"
"2","2","22","13301","1","1","1","53003","5"
"2","1","22","13302","1","1","1","53002","5"
"1","2","22","13401","0","0","1","53002","5"
"7","8","22","13501","6","-1","5","53003","6"
"7","4","22","13502","6","-1","5","53002","6"
"6","6","22","13601","5","5","4","53003","6"
"6","5","22","13702","5","5","4","53002","6"
"5","5","22","13801","4","4","3","53003","6"
"5","5","22","13902","4","4","3","53002","6"
"4","4","22","14001","3","3","3","53003","6"
"4","3","22","14002","3","3","3","53002","6"
"3","3","22","14101","2","2","2","53003","6"
"3","2","22","14102","2","2","2","53002","6"
"2","2","22","14201","1","1","1","53003","6"
"2","1","22","14202","1","1","1","53002","6"
"1","2","22","14301","0","0","1","53002","6"
