dba9690cca0d950401b2ce4fde8eb9d90cb2da28896734804704bf6c632a4125,801e9c31c3ad8297fb647d082f53ee6275a72f55b36d05dc985e7b049a68b9aa,623da7ebb334ca944a7b7fbd76a34a64fe0e5abed454559644264ddadde8b0b6,5cee7603d81bc04bccb6b7d105647fe14a97f804a87699b213db644c51bfc175,cd2fba044c1e5553846d85e94fa324bd253ff454021134e9518c8e0cb9d6659c
"53001","10001","22","10001001","1"
"53004","10001","22","10001002","1"
"53007","10001","22","10001003","1"
"53010","10001","22","10001004","1"
"53013","10001","22","10001005","1"
"53016","10001","22","10001006","1"
"53019","10001","22","10001007","1"
"53022","10001","22","10001008","1"
"53002","10001","22","10001009","1"
"53005","10001","22","10001010","1"
"53008","10001","22","10001011","1"
"53011","10001","22","10001012","1"
"53014","10001","22","10001013","1"
"53017","10001","22","10001014","1"
"53020","10001","22","10001015","1"
"53023","10001","22","10001016","1"
"53001","10002","22","10002001","1"
"53002","10002","22","10002002","1"
"53005","10002","22","10002003","1"
"53008","10002","22","10002004","1"
"53011","10002","22","10002005","1"
"53014","10002","22","10002006","1"
"53017","10002","22","10002007","1"
"53020","10002","22","10002008","1"
"53023","10002","22","10002009","1"
"53003","10002","22","10002010","1"
"53006","10002","22","10002011","1"
"53009","10002","22","10002012","1"
"53012","10002","22","10002013","1"
"53015","10002","22","10002014","1"
"53018","10002","22","10002015","1"
"53021","10002","22","10002016","1"
"53024","10002","22","10002017","1"
"53002","10003","22","10003001","1"
"53002","10003","22","10003002","2"
"53003","10003","22","10003003","1"
"53003","10003","22","10003004","2"
"53003","10003","22","10003005","3"
"53006","10003","22","10003006","1"
"53009","10003","22","10003007","1"
"53012","10003","22","10003008","1"
"53015","10003","22","10003009","1"
"53018","10003","22","10003010","1"
"53021","10003","22","10003011","1"
"53024","10003","22","10003012","1"
"53006","10003","22","10003013","2"
"53009","10003","22","10003014","2"
"53012","10003","22","10003015","2"
"53015","10003","22","10003016","2"
"53018","10003","22","10003017","2"
"53021","10003","22","10003018","2"
"53024","10003","22","10003019","2"
"53006","10003","22","10003020","3"
"53009","10003","22","10003021","3"
"53012","10003","22","10003022","3"
"53015","10003","22","10003023","3"
"53018","10003","22","10003024","3"
"53021","10003","22","10003025","3"
"53024","10003","22","10003026","3"
