69364b65be0528cd13429db62e9c91aa749390a51e033e857810a4e2240f74c0,3cf80c5be6334663ea5c401501ce371ba2dae3a7fce21eaefff4377588f2e957,f3e022269b2aff31286afe3ad384d45c638b7bd2bc9704f3a06803124cd5a61a,70e923a3348072140a348292e02e728c8640646a11d957b689dfda6112f4567e,4fe7579065382c05a90e8026c262d5e8e7c26654ba0b869da2d4c1ef333cd004,7eff1fb36285592878e017e574afc8126d8b37b3b979757599839af1fc722d57,046a7fd1579bdc1fc43340b94a13414df0541b7d6fae93254c8696f7cd558759,94de51279ce26f6ae8422de47d4844e4a64e542ddc639511ad102f5f1761ef4b,eff672e9d090c7d5d90b789599c09060bb00e3631d4db3620f639a6f56cd375b,1284159eb99fd98ebf8ec51d350b02159cab1dad595e8d4360879b4dbd9960c0,eeea4f7bc0c9653e7c03759ca2fb27e3d9044e16a1779b5130e077ebd8d89c73
"1","0.8","101","-68","20011","1","1","42","105811","1200110001","travel_topdrama_r_2000_idle_smile"
"0","0.8","102","-68","20011","1","1","-42","106011","1200110002","travel_topdrama_r_2000_idle_sad_shy"
"0","1","110","-75","20011","5","0","0","0","1200110003","mana"
"","","","","20011","91","0","","","1200110004",""
"","","","","20011","93","10","","0","1200110005",""
"","","","","20011","101","1200110005","","","1200110006",""
"","0","0","","20011","3","0","","none","1200110007",""
"","","","","20011","91","0","","","1200110008",""
"","","","","20012","13","105811","","103","1200120001",""
"","","","","20012","13","106011","","104","1200120002",""
"","0.2","0","1","20012","3","105811","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200120003",""
"","","0","","20012","21","vo_travel_talk","0","vo_travel_talk_20001_00","1200120004",""
"0","0","10","1","20012","11","105811","1","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","1200120005","0"
"","","","","20012","91","0","","","1200120006",""
"","0.2","1","","20012","3","105811","","travel_topdrama_r_2000_idle_smile","1200120007",""
"","0.2","1","1","20012","3","106011","","travel_topdrama_r_2000_talk_anger_shy","1200120008",""
"","","0","","20012","21","vo_travel_talk","0","vo_travel_talk_20001_01","1200120009",""
"0","0","10","1","20012","11","106011","1","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","1200120010","0"
"","","","","20012","91","0","","","1200120011",""
"","0.2","1","","20012","3","106011","","travel_topdrama_r_2000_idle_sad_shy","1200120012",""
"","0.2","0","1","20012","3","105811","travel_topdrama_r_2000_talk_smile_loop","travel_topdrama_r_2000_talk_smile_in","1200120013",""
"","","0","","20012","21","vo_travel_talk","0","vo_travel_talk_20001_02","1200120014",""
"0","0","10","1","20012","11","105811","1","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","1200120015","0"
"","","","","20012","91","0","","","1200120016",""
"","0.2","1","","20012","3","105811","","travel_topdrama_r_2000_idle_smile","1200120017",""
"","","","","20012","112","","","","1200120018",""
"","","","","20012","91","0","","","1200120019",""
"1","0.8","101","-68","20021","1","1","42","100211","1200210001","travel_topdrama_r_2000_idle_normal"
"0","0.8","102","-68","20021","1","1","-42","100111","1200210002","travel_topdrama_r_2002_sitting_loop"
"0","0.8","100","-68","20021","5","3","-42","3","1200210003","travel_topdrama_r_2002_sitting_loop"
"0","1","110","-75","20021","5","0","0","0","1200210004","mana"
"","","","","20021","91","0","","","1200210005",""
"","","","","20021","93","10","","0","1200210006",""
"","","","","20021","101","1200210006","","","1200210007",""
"","0","0","","20021","3","0","","none","1200210008",""
"","","","","20021","91","0","","","1200210009",""
"","","","","20022","13","100211","","103","1200220001",""
"","","","","20022","13","100111","","104","1200220002",""
"","0.2","1","1","20022","3","100211","","travel_topdrama_r_2000_talk_normal","1200220003",""
"","","0","","20022","21","vo_travel_talk","0","vo_travel_talk_20002_00","1200220004",""
"0","0","10","1","20022","11","100211","1","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","1200220005","0"
"","","","","20022","91","0","","","1200220006",""
"","0.2","1","","20022","3","100211","","travel_topdrama_r_2000_idle_normal","1200220007",""
"","","0","","20022","21","vo_travel_talk","0","vo_travel_talk_20002_01","1200220008",""
"0","0","10","1","20022","11","100111","1","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","1200220009","0"
"","","","","20022","91","0","","","1200220010",""
"","0.2","0","1","20022","3","100211","travel_topdrama_r_2000_talk_wish_loop_joy","travel_topdrama_r_2000_talk_wish_in_joy","1200220011",""
"","","0","","20022","21","vo_travel_talk","0","vo_travel_talk_20002_02","1200220012",""
