d32ad1f24e9a732fc519985331f0fe258b7f1fef36b25fe0fb78691d60bc08fa,e11aa4b4a4beef03a2032ca1e3938b382504ea513342a798aef5dfa51dab42bf,ef36169455196b64ea78b87484dc4654cf44e1e9b3060c8221e76f6f0881995c,a002d7377dbc88e6b63f26c05971b29252cc7c63907dae32c90ceeeea583f238,7d93065ccb91808daa4b827524508463a1748e82ac21f545010230c62ff7599d
"1","3","2","1","10201"
"2","3","2","2","10202"
"3","3","2","3","10203"
"4","10","2","4","10301"
"5","10","2","5","10302"
"6","10","2","6","10303"
"7","10","2","7","10304"
"8","20","2","8","10401"
"9","20","2","9","10402"
"10","20","2","10","10403"
"11","20","2","11","10404"
"12","20","2","12","10405"
"13","20","2","13","10406"
"14","20","2","14","10407"
"15","20","2","15","10408"
"16","20","2","16","10409"
"1","3","1","17","10701"
"2","3","1","18","10601"
"3","3","1","19","10602"
"4","3","1","20","10603"
"5","3","1","21","10604"
"6","10","1","22","11301"
"7","10","1","23","11302"
"8","10","1","24","11303"
"9","20","1","25","11401"
"10","20","1","26","11402"
"11","20","1","27","11403"
"12","20","1","28","11601"
"13","20","1","29","11602"
"14","20","1","30","11603"
"15","20","1","31","11604"
"16","20","1","32","11605"
"17","20","1","33","11606"
"18","20","1","34","11101"
"19","20","1","35","11102"
"20","20","1","36","11103"
"21","20","1","37","11701"
"22","20","1","38","11702"
"23","20","1","39","11703"
"1","3","3","40","10501"
"2","3","3","41","10502"
"3","3","3","42","10503"
"4","10","3","43","11201"
"5","10","3","44","10801"
"6","10","3","45","10802"
"7","10","3","46","10803"
"8","10","3","47","10804"
"9","20","3","48","10901"
"10","20","3","49","10902"
"11","20","3","50","10903"
"12","20","3","51","10904"
"13","20","3","52","11001"
"14","20","3","53","11002"
"15","20","3","54","11003"
"16","20","3","55","11501"
"17","20","3","56","11502"
"18","20","3","57","11503"
"19","20","3","58","11504"
"20","20","3","59","11505"
"21","20","3","60","11506"
