f2ccc3b02a77011237b5ab40e7bb04d2f63bfb164c149c436509f8e4d635d97a,71ad416fb2b79f14a332bc34de0ad64f76ee63aa8d43f0dadf041c583ddf4e32,8b91c8b5a6cd92cd83011694181953f3a80688370af75bb6a65a75f514558cc9,718c41ae0fe5f69efaa3eae5d93a1402609c562f003b2c31ec3e14678a5d8665,d517deb9bedf86ab4ee771323454d5cd35fbeff860ab9e97c4c5698d21e89c3c
"1","1037","1048","1025","1045"
"2","1062","1004","1003","1006"
"3","1029","1007","1003","1006"
"4","1025","1045","1047","1062"
"5","1003","1013","1043","1022"
"6","1048","1004","1006","1019"
"7","1037","1033","1062","1003"
"8","1050","1053","1056","1059"
"9","1030","1011","1001","1034"
"10","1046","1023","1063","1026"
"11","1014","1038","1020","1044"
"12","1008","1049","1017","1040"
"13","1017","1044","1023","1020"
"14","1001","1038","1017","1020"
"15","1036","1048","1030","1008"
"16","1004","1038","1044","1011"
"17","1005","1011","1043","1022"
"18","1042","1016","1046","1047"
"19","1041","1028","1014","1063"
"20","1061","1055","1052","1058"
"21","1031","1001","1025","1024"
"22","1064","1063","1024","1005"
"23","1066","1000","1040","1044"
"24","1076","1038","1000","1010"
"25","1077","1019","1003","1043"
"26","1071","1069","1070","1068"
"27","1089","1091","1092","1090"
"28","1083","1006","1012","1021"
"29","1097","1100","1098","1099"
"30","1101","1104","1102","1103"
"31","1105","1108","1106","1107"
"32","1088","1091","1089","1090"
