7763627ecfeb5524f70d8893acba7c5570676af4fce5a41da638f5de746261ac,cdc75ef58916f9d50899f63179cba026a34998e51ac77a8fdaae81245aa6a606,8df9fa7af377c05867d77c345377fb4700516f8cf1bb6222388bb13a12bf8ef4,4a2e777a08e7a41b712bc0b980cc9ae4a9869b5951350f5cd13fdc6c545dda1d,caf959a5ec8b1e9ea7015ff922daf54ea875597e0bf1a9fd3df05f044d59bcbd,9fae7c6565d399a2419566aaa88cecdfc2e14a65c81c771027f3d43b5076654b,2c24f46c25694d98ce6dd25ee797b52b63ac32197b6dfa4884a1a1f76c50cd17,a20665160e3289b32fd3110fd7e1346375d7fbb806c5fa1e91ef1cf2c670cb5c,47e505b86be5d178946432827cf781823f3292e5a94369f42a1ce66b0b5641d6,aa6d6261d6a3f8fe3763ed0a581ec54018caf3e67bba917223679733ae63cb90
"vo_10011600","0","0","","2","vo_10011600_0101","1","1","0","1010001"
"0","0","0","　明日から","1","0","2","1","8","1010002"
"0","1.625","1","","4","0","3","1","0","1010003"
"0","0","0","聖テレサ女学院に通うことになっちゃった！","1","0","4","1","10","1010004"
"0","4","1","","4","0","5","1","0","1010005"
"vo_10011600","0","0","","2","vo_10011600_0102","6","1","0","1010006"
"0","0","0","　なんで、","1","0","7","1","8","1010007"
"0","1.375","1","","4","0","8","1","0","1010008"
"0","0","0","どうしてこんなことになっちゃったんだろう。\n","1","0","9","1","9","1010009"
"0","3.33333333333333","1","","4","0","10","1","0","1010010"
"vo_10011600","0","0","","2","vo_10011600_0103","11","1","0","1010011"
"0","0","0","ミサト先生は","1","0","12","1","8","1010012"
"0","1.75","1","","4","0","13","1","0","1010013"
"0","0","0","私ならきっとやれると言ってくれたけど……","1","0","14","1","10","1010014"
"0","3","1","","4","0","15","1","0","1010015"
"0","0","0","絶対ムリだー！\n","1","0","16","1","8","1010016"
"0","3.875","1","","4","0","17","1","0","1010017"
"vo_10011600","0","0","","2","vo_10011600_0104","18","1","0","1010018"
"0","0","0","でも。","1","0","19","1","8","1010019"
"0","2.375","1","","4","0","20","1","0","1010020"
"0","0","0","でも……","1","0","21","1","8","1010021"
"0","2.5","1","","4","0","22","1","0","1010022"
"vo_10011600","0","0","","2","vo_10011600_0105","23","1","0","1010023"
"0","0","0","でも、","1","0","24","1","8","1010024"
"0","1.375","1","","4","0","25","1","0","1010025"
"0","0","0","もしも、","1","0","26","1","8","1010026"
"0","1.5","1","","4","0","27","1","0","1010027"
"0","0","0","私が聖テレサ女学院で頑張ることが出来たら。\n\n","1","0","28","1","8","1010028"
"0","4.875","1","","4","0","29","1","0","1010029"
"vo_10011600","0","0","","2","vo_10011600_0106","30","1","0","1010030"
"0","0","0","……友達、","1","0","31","1","6","1010031"
"0","1.58333333333333","1","","4","0","32","1","0","1010032"
"0","0","0","できるかな？","1","0","33","1","8","1010033"
"0","1.75","1","","4","0","34","1","0","1010034"
"vo_10011600","0","0","","2","vo_10011600_0201","1","2","0","1020001"
"0","0","0","　ごきげんようという挨拶で","1","0","2","2","8","1020002"
"0","2.375","1","","4","0","3","2","0","1020003"
"0","0","0","私のぼっち心は最初から爆発寸前。\n","1","0","4","2","8","1020004"
"0","4","1","","4","0","5","2","0","1020005"
"vo_10011600","0","0","","2","vo_10011600_0202","6","2","0","1020006"
"0","0","0","ところが、","1","0","7","2","8","1020007"
"0","1.125","1","","4","0","8","2","0","1020008"
"0","0","0","なんとそこにBB団の団長さんが登場！","1","0","9","2","8","1020009"
"0","3.75","1","","4","0","10","2","0","1020010"
"vo_10011600","0","0","","2","vo_10011600_0203","11","2","0","1020011"
"0","0","0","　BB団の絆は","1","0","12","2","8","1020012"
"0","1.875","1","","4","0","13","2","0","1020013"
"0","0","0","どんな場所だろうと離れることはないんですね！\n","1","0","14","2","8","1020014"
"0","3.75","1","","4","0","15","2","0","1020015"
"vo_10011600","0","0","","2","vo_10011600_0204","16","2","0","1020016"
"0","0","0","そして、","1","0","17","2","8","1020017"
"0","1","1","","4","0","18","2","0","1020018"
"0","0","0","あの人と一緒にやってきた","1","0","19","2","8","1020019"
"0","2","1","","4","0","20","2","0","1020020"
"0","0","0","聖テレサ女学院","1","0","21","2","8","1020021"
"0","1.125","1","","4","0","22","2","0","1020022"
"0","0","0","（なかよし部）のみなさんとお知り合いに。","1","0","23","2","8","1020023"
"0","3.5","1","","4","0","24","2","0","1020024"
"vo_10011600","0","0","","2","vo_10011600_0205","25","2","0","1020025"
"0","0","0","　なんだかとても個性的な方々で、","1","0","26","2","8","1020026"
"0","3","1","","4","0","27","2","0","1020027"
"0","0","0","仲良くなれるか心配……","1","0","28","2","6","1020028"
"0","2.83333333333333","1","","4","0","29","2","0","1020029"
"vo_10011600","0","0","","2","vo_10011600_0301","1","3","0","1030001"
"0","0","0","　やっちゃった。","1","0","2","3","8","1030002"
"0","3","1","","4","0","3","3","0","1030003"
"vo_10011600","0","0","","2","vo_10011600_0302","4","3","0","1030004"
"0","0","0","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","1","0","5","3","8","1030005"
"0","5.125","1","","4","0","6","3","0","1030006"
"vo_10011600","0","0","","2","vo_10011600_0303","7","3","0","1030007"
"0","0","0","　何度もイメージトレーニングしたのに、","1","0","8","3","8","1030008"
"0","2.625","1","","4","0","9","3","0","1030009"
"0","0","0","ものの見事に玉砕しちゃった。","1","0","10","3","8","1030010"
"0","2.75","1","","4","0","11","3","0","1030011"
"vo_10011600","0","0","","2","vo_10011600_0304","12","3","0","1030012"
"0","0","0","　クラスメイトのみんなの目がこっちを向いた瞬間、","1","0","13","3","8","1030013"
"0","3.5","1","","4","0","14","3","0","1030014"
"0","0","0","頭の中は真っ白、","1","0","15","3","8","1030015"
"0","2","1","","4","0","16","3","0","1030016"
"0","0","0","また訳の分からないことを口にしちゃった。\n","1","0","17","3","10","1030017"
"0","4.5","1","","4","0","18","3","0","1030018"
"vo_10011600","0","0","","2","vo_10011600_0305","19","3","0","1030019"
"0","0","0","みんなは楽しそうに笑ってくれたけど、","1","0","20","3","8","1030020"
"0","3","1","","4","0","21","3","0","1030021"
"0","0","0","これから先が不安……","1","0","22","3","8","1030022"
"0","2.25","1","","4","0","23","3","0","1030023"
"vo_10011600","0","0","","2","vo_10011600_0401","1","4","0","1040001"
"0","0","0","　ユニさんは","1","0","2","4","8","1040002"
"0","1.75","1","","4","0","3","4","0","1040003"
"0","0","0","とっても頭がいい人みたい。","1","0","4","4","8","1040004"
"0","2.625","1","","4","0","5","4","0","1040005"
"vo_10011600","0","0","","2","vo_10011600_0402","6","4","0","1040006"
"0","0","0","　なんだか難しい言葉をよく使ってるんだけど、","1","0","7","4","8","1040007"
"0","3.75","1","","4","0","8","4","0","1040008"
"0","0","0","理解できない単語があったりするし、","1","0","9","4","8","1040009"
"0","3.125","1","","4","0","10","4","0","1040010"
"0","0","0","これからは辞書を持ち歩こうかな？\n","1","0","11","4","8","1040011"
"0","4","1","","4","0","12","4","0","1040012"
"vo_10011600","0","0","","2","vo_10011600_0403","13","4","0","1040013"
"0","0","0","　象牙の塔っていう場所でいつも研究をしてて、","1","0","14","4","8","1040014"
"0","3.75","1","","4","0","15","4","0","1040015"
"0","0","0","普段はそこからほとんど出ないらし\nく、","1","0","16","4","8","1040016"
"0","3.25","1","","4","0","17","4","0","1040017"
"0","0","0","私と同じぼっちの匂いがします。","1","0","18","4","8","1040018"
"0","3.375","1","","4","0","19","4","0","1040019"
"vo_10011600","0","0","","2","vo_10011600_0404","20","4","0","1040020"
"0","0","0","　ぼっちはぼっちを呼ぶ、","1","0","21","4","8","1040021"
"0","2.5","1","","4","0","22","4","0","1040022"
"0","0","0","と","1","0","23","4","8","1040023"
"0","1.125","1","","4","0","24","4","0","1040024"
"0","0","0","誰が言ったのか知らないけど、","1","0","25","4","8","1040025"
"0","2.75","1","","4","0","26","4","0","1040026"
"0","0","0","もしかしたら……\n","1","0","27","4","8","1040027"
"0","2","1","","4","0","28","4","0","1040028"
"vo_10011600","0","0","","2","vo_10011600_0405","29","4","0","1040029"
"0","0","0","同じ宿命を持つ者同士、","1","0","30","4","8","1040030"
"0","2.375","1","","4","0","31","4","0","1040031"
"0","0","0","仲良くなれるかも？","1","0","32","4","8","1040032"
"0","2.125","1","","4","0","33","4","0","1040033"
"vo_10011600","0","0","","2","vo_10011600_0501","1","5","0","1050001"
"0","0","0","　クロエさんは私と同じ","1","0","2","5","8","1050002"
"0","1.875","1","","4","0","3","5","0","1050003"
"0","0","0","エルフ、","1","0","4","5","8","1050004"
"0","1.5","1","","4","0","5","5","0","1050005"
"0","0","0","なんだけど……","1","0","6","5","8","1050006"
"0","1.625","1","","4","0","7","5","0","1050007"
"0","0","0","雰囲気が少し、","1","0","8","5","8","1050008"
"0","1.375","1","","4","0","9","5","0","1050009"
"0","0","0","独特な人。\n","1","0","10","5","8","1050010"
"0","2.625","1","","4","0","11","5","0","1050011"
"vo_10011600","0","0","","2","vo_10011600_0502","12","5","0","1050012"
"0","0","0","もしかしたら同じエルフ同士で仲良くなれるかも、","1","0","13","5","8","1050013"
"0","3.625","1","","4","0","14","5","0","1050014"
"0","0","0","と思ったりもしたんだけど、","1","0","15","5","8","1050015"
"0","2.125","1","","4","0","16","5","0","1050016"
"0","0","0","そもそも話しかけられない！\n","1","0","17","5","8","1050017"
"0","3.125","1","","4","0","18","5","0","1050018"
"vo_10011600","0","0","","2","vo_10011600_0503","19","5","0","1050019"
"0","0","0","あの人が言うには","1","0","20","5","8","1050020"
"0","1.65","1","","4","0","21","5","0","1050021"
"0","0","0","世話焼きで優しい、","1","0","22","5","8","1050022"
"0","1.625","1","","4","0","23","5","0","1050023"
"0","0","0","らしいんだけど……\n","1","0","24","5","8","1050024"
"0","3.125","1","","4","0","25","5","0","1050025"
"vo_10011600","0","0","","2","vo_10011600_0504","26","5","0","1050026"
"0","0","0","そういえばあの、","1","0","27","5","8","1050027"
"0","2","1","","4","0","28","5","0","1050028"
"0","0","0","ぷー……","1","0","29","5","8","1050029"
"0","1.5","1","","4","0","30","5","0","1050030"
"0","0","0","っていうため息（？）、","1","0","31","5","8","1050031"
"0","2.375","1","","4","0","32","5","0","1050032"
"vo_10011600","0","0","","2","vo_10011600_0505","33","5","0","1050033"
"0","0","0","とても言えないけど……\n","1","0","34","5","8","1050034"
"0","2.375","1","","4","0","35","5","0","1050035"
"0","0","0","なんかかわいいな、","1","0","36","5","8","1050036"
"0","1.375","1","","4","0","37","5","0","1050037"
"0","0","0","と思っちゃった。","1","0","38","5","8","1050038"
"0","1","1","","4","0","39","5","0","1050039"
"vo_10011600","0","0","","2","vo_10011600_0601","1","6","0","1060001"
"0","0","0","　チエルさんはリア充。","1","0","2","6","8","1060002"
"0","2.375","1","","4","0","3","6","0","1060003"
"0","0","0","間違いない。\n","1","0","4","6","8","1060004"
"0","2.5","1","","4","0","5","6","0","1060005"
"vo_10011600","0","0","","2","vo_10011600_0602","6","6","0","1060006"
"0","0","0","かわいらしくて友達いっぱい、","1","0","7","6","8","1060007"
"0","2.5","1","","4","0","8","6","0","1060008"
"0","0","0","私のようなぼっちとは対極の人。","1","0","9","6","8","1060009"
"0","2.875","1","","4","0","10","6","0","1060010"
"vo_10011600","0","0","","2","vo_10011600_0603","11","6","0","1060011"
"0","0","0","見つめるだけで目が焼かれちゃいそう。\n","1","0","12","6","8","1060012"
"0","3.25","1","","4","0","13","6","0","1060013"
"vo_10011600","0","0","","2","vo_10011600_0604","14","6","0","1060014"
"0","0","0","面と向かい合ってお話しなんてしようものなら、","1","0","15","6","8","1060015"
"0","3.5","1","","4","0","16","6","0","1060016"
"0","0","0","私のぼっちハートはひび割れ、","1","0","17","6","8","1060017"
"0","2.5","1","","4","0","18","6","0","1060018"
"0","0","0","粉々に砕け散ること間違いなし。\n","1","0","19","6","8","1060019"
"0","3.875","1","","4","0","20","6","0","1060020"
"vo_10011600","0","0","","2","vo_10011600_0605","21","6","0","1060021"
"0","0","0","あのちぇるーん、","1","0","22","6","8","1060022"
"0","1.75","1","","4","0","23","6","0","1060023"
"0","0","0","っていう挨拶、","1","0","24","6","8","1060024"
"0","1.625","1","","4","0","25","6","0","1060025"
"0","0","0","私が口にするとその場で気絶して、","1","0","26","6","8","1060026"
"0","2.75","1","","4","0","27","6","0","1060027"
"0","0","0","天に召されちゃうんじゃないかな……","1","0","28","6","8","1060028"
"0","3.125","1","","4","0","29","6","0","1060029"
"vo_10011600","0","0","","2","vo_10011600_0701","1","7","0","1070001"
"0","0","0","　今日は何から何まで、","1","0","2","7","8","1070002"
"0","2.375","1","","4","0","3","7","0","1070003"
"0","0","0","ユニさんのお世話になっちゃった。\n","1","0","4","7","7","1070004"
"0","3.28571428571429","1","","4","0","5","7","0","1070005"
"vo_10011600","0","0","","2","vo_10011600_0702","6","7","0","1070006"
"0","0","0","クロエさんやチエルさんにからかわれているときとは全然違う、","1","0","7","7","8","1070007"
"0","4.625","1","","4","0","8","7","0","1070008"
"0","0","0","知的で、","1","0","9","7","8","1070009"
"0","1.5","1","","4","0","10","7","0","1070010"
"0","0","0","頼りになる姿をたくさん見た。","1","0","11","7","10","1070011"
"0","2.4","1","","4","0","12","7","0","1070012"
"vo_10011600","0","0","","2","vo_10011600_0703","13","7","0","1070013"
"0","0","0","てきぱきと指示する姿は","1","0","14","7","8","1070014"
