d43dcb3c1d16cc5dbaa3bd28956735e905e6ebf319858a8392584a90efabaff8,f8995fc755cb4069e16f515b314dbe665f70c635c10957698f9a6cd56517f98c,8d3521a32c567c1733a1ed2a721bab75c8ad68dbaed2d1229ee98b10a598693f,928a37cef244b22c80168d7770488ed0cd6aedf85178fd3806246ecfb974f7a7,2e97223f7fb5118263af6acb63adac1c0c33eae3ac0fe0d922c11cd534962c98,1a78b259fa13a40915b892ff05a2314ece0de4e35c410efed08f2e904e96039c,af52ce93911b562d36783f3b6185c41c4aaa6127c7ee3d38da0225cf7005da2e,dab484673bf0a1daaba2ec0485ea06e8c89cca0aba53dc9d04b76af59ba518c8,bc30a09e8bbf3c9871771d8ebaf58beb0e4c3b6e1e87269ec85635bf35691f14,bc6be91a76b78ab77a20384987f6239c08ae23dc85e4d0e2f071456462694864,e32f3138e24e11614249473b6b935f75afa89f2333dcb19e514a997f7f8b46ee,ed9841e288cd5339e87cc83f1535f51b3b9f404f366b3f8cdb21fd0a972fba2a,618e3753838559920d8c9445247151deb3692eb948b475c5706f1c1e11b3a898,11bf5b5003a99b6e968704c46efe988d27089a3288f5be12b4fbbbd13dd41012
"あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","カオリ（サマー）","24","1","4","0","2019/07/31 12:00:00","110501","10021","0","0","24015","4","2030/12/17 14:59:59"
"今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","カオリ（サマー）","24","2","4","0","2019/07/31 12:00:00","110501","10021","4","0","24016","1","2030/12/17 14:59:59"
"マジムンだらけで目が回るさ～！\nふらふらさ～！","カオリ（サマー）","24","3","4","0","2019/07/31 12:00:00","110501","10021","0","0","24017","4","2030/12/17 14:59:59"
"なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","カオリ（サマー）","24","4","1","0","2019/07/31 12:00:00","110501","10021","5.2","0","24018","2","2030/12/17 14:59:59"
"恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","カオリ（サマー）","24","5","5","0","2019/07/31 12:00:00","110501","10021","4.2","0","24019","6","2030/12/17 14:59:59"
"絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","カオリ（サマー）","24","6","2","0","2019/07/31 12:00:00","110501","10021","0","0","24020","2","2030/12/17 14:59:59"
"何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","カオリ（サマー）","24","7","1","0","2019/07/31 12:00:00","110501","10021","6.4","0","24021","6","2030/12/17 14:59:59"
"ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","カオリ（サマー）","24","8","2","0","2019/07/31 12:00:00","110501","10021","0","0","24022","2","2030/12/17 14:59:59"
"あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","カオリ（サマー）","24","9","6","0","2019/07/31 12:00:00","110501","10021","10.08","0","24023","3","2030/12/17 14:59:59"
"まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","カオリ（サマー）","24","10","1","0","2019/07/31 12:00:00","110501","10021","5","0","24024","2","2030/12/17 14:59:59"
"私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","カオリ（サマー）","24","11","2","0","2019/07/31 12:00:00","110501","10021","0","0","24025","2","2030/12/17 14:59:59"
