f6fbc270df08ebe4fadb4cfa7daa7ba6acdf3caf97173e8c6b3e80c79aa99e33,a38e6f3ed24501eaec71a8439f24732c95735313577c228278028b405b3feab7,8e3869828dd71d4223a6845ccdfafb633626d6b139234e7909e8d4eb6038f72c,26412da7613248957e42867fc2fd9a96cb8158929f2c71a2e8753edb5e85d127,92aff7b94338367bce70a197d0889d18db565141f97f818c16c3dc4c3e786dac,7b0ccc455da0aad7a22035166aaed29e8e755e6d544dc0b9821b9edf6e82952d
"1","10101001","1001","1","58002001","15"
"2","10101002","1002","1","58002002","15"
"3","10101003","1003","1","58002003","15"
"4","10201001","1001","1","56011001","15"
"5","10201002","1002","1","56011002","15"
"6","10201003","1003","1","56011003","15"
"7","91002","0","50","56011003","8"
"8","10201004","1001","1","56011004","15"
"9","10201005","1002","1","56011005","15"
"10","10201006","1003","1","56011006","15"
"11","91002","0","50","56011006","8"
"12","10201007","1001","1","56011007","15"
"13","10201008","1002","1","56011008","15"
"14","10201009","1003","1","56011009","15"
"15","91002","0","50","56011009","8"
"16","10201010","1001","1","56011010","15"
"17","10201011","1002","1","56011011","15"
"18","10201012","1003","1","56011012","15"
"19","91002","0","50","56011012","8"
"20","10201013","1001","1","56011013","15"
"21","10201014","1002","1","56011014","15"
"22","10201015","1003","1","56011015","15"
"23","91002","0","50","56011015","8"
"24","10201016","1001","1","56011016","15"
"25","10201017","1002","1","56011017","15"
"26","10201018","1003","1","56011018","15"
"27","91002","0","50","56011018","8"
"28","10201019","1001","1","56011019","15"
"29","10201020","1002","1","56011020","15"
"30","10201021","1003","1","56011021","15"
"31","91002","0","50","56011021","8"
"32","10201022","1001","1","56011022","15"
"33","10201023","1002","1","56011023","15"
"34","10201024","1003","1","56011024","15"
"35","91002","0","50","56011024","8"
"36","10201025","1001","1","56011025","15"
"37","10201026","1002","1","56011026","15"
"38","10201027","1003","1","56011027","15"
"39","91002","0","50","56011027","8"
"40","10201028","1001","1","56011028","15"
"41","10201029","1002","1","56011029","15"
"42","10201030","1003","1","56011030","15"
"43","91002","0","50","56011030","8"
"44","10201031","1001","1","56011031","15"
"45","10201032","1002","1","56011032","15"
"46","10201033","1003","1","56011033","15"
"47","91002","0","50","56011033","8"
"48","10201034","1001","1","56011034","15"
"49","10201035","1002","1","56011035","15"
"50","10201036","1003","1","56011036","15"
"51","91002","0","50","56011036","8"
"52","10201037","1001","1","56011037","15"
"53","10201038","1002","1","56011038","15"
"54","10201039","1003","1","56011039","15"
"55","91002","0","50","56011039","8"
"56","10201040","1001","1","56011040","15"
"57","10201041","1002","1","56011041","15"
"58","10201042","1003","1","56011042","15"
"59","91002","0","50","56011042","8"
"60","10201043","1001","1","56011043","15"
"61","10201044","1002","1","56011044","15"
"62","10201045","1003","1","56011045","15"
"63","91002","0","50","56011045","8"
"64","10201046","1001","1","56011046","15"
"65","10201047","1002","1","56011047","15"
"66","10201048","1003","1","56011048","15"
"67","91002","0","50","56011048","8"
"68","10201049","1001","1","56011049","15"
"69","10201050","1002","1","56011050","15"
"70","10201051","1003","1","56011051","15"
"71","91002","0","50","56011051","8"
"72","10201052","1001","1","56011052","15"
"73","10201053","1002","1","56011053","15"
"74","10201054","1003","1","56011054","15"
"75","91002","0","50","56011054","8"
"76","10201055","1001","1","56011055","15"
"77","10201056","1002","1","56011056","15"
"78","10201057","1003","1","56011057","15"
"79","91002","0","50","56011057","8"
"80","10201058","1001","1","56011058","15"
"81","10201059","1002","1","56011059","15"
"82","10201060","1003","1","56011060","15"
"83","91002","0","50","56011060","8"
"84","10201061","1001","1","56011061","15"
"85","10201062","1002","1","56011062","15"
"86","10201063","1003","1","56011063","15"
"87","91002","0","50","56011063","8"
"88","10201064","1001","1","56011064","15"
"89","10201065","1002","1","56011065","15"
"90","10201066","1003","1","56011066","15"
"91","91002","0","50","56011066","8"
"92","10201067","1001","1","56011067","15"
"93","10201068","1002","1","56011068","15"
"94","10201069","1003","1","56011069","15"
"95","91002","0","50","56011069","8"
"96","10201070","1001","1","56011070","15"
"97","10201071","1002","1","56011071","15"
"98","10201072","1003","1","56011072","15"
"99","91002","0","50","56011072","8"
"100","10201073","1001","1","56011073","15"
"101","10201074","1002","1","56011074","15"
"102","10201075","1003","1","56011075","15"
"103","91002","0","50","56011075","8"
"104","10201076","1001","1","56011076","15"
"105","10201077","1002","1","56011077","15"
"106","10201078","1003","1","56011078","15"
"107","91002","0","50","56011078","8"
"108","10201079","1001","1","56011079","15"
"109","10201080","1002","1","56011080","15"
"110","10201081","1003","1","56011081","15"
"111","91002","0","50","56011081","8"
"112","10201082","1001","1","56011082","15"
"113","10201083","1002","1","56011083","15"
"114","10201084","1003","1","56011084","15"
"115","91002","0","50","56011084","8"
"116","10201085","1001","1","56011085","15"
"117","10201086","1002","1","56011086","15"
"118","10201087","1003","1","56011087","15"
"119","91002","0","50","56011087","8"
"120","10201088","1001","1","56011088","15"
"121","10201089","1002","1","56011089","15"
"122","10201090","1003","1","56011090","15"
"123","91002","0","50","56011090","8"
"124","10201091","1001","1","56011091","15"
"125","10201092","1002","1","56011092","15"
"126","10201093","1003","1","56011093","15"
"127","91002","0","50","56011093","8"
"128","10201094","1001","1","56011094","15"
"129","10201095","1002","1","56011095","15"
"130","10201096","1003","1","56011096","15"
"131","91002","0","50","56011096","8"
"132","10201097","1001","1","56011097","15"
"133","10201098","1002","1","56011098","15"
"134","10201099","1003","1","56011099","15"
"135","91002","0","50","56011099","8"
"136","10201100","1001","1","56011100","15"
"137","10201101","1002","1","56011101","15"
"138","10201102","1003","1","56011102","15"
"139","91002","0","50","56011102","8"
"140","10201103","1001","1","56011103","15"
"141","10201104","1002","1","56011104","15"
"142","10201105","1003","1","56011105","15"
"143","91002","0","50","56011105","8"
"144","10201106","1001","1","56011106","15"
"145","10201107","1002","1","56011107","15"
"146","10201108","1003","1","56011108","15"
"147","91002","0","50","56011108","8"
"148","10201109","1001","1","56011109","15"
"149","10201110","1002","1","56011110","15"
"150","10201111","1003","1","56011111","15"
"151","91002","0","50","56011111","8"
"152","10201112","1001","1","56011112","15"
"153","10201113","1002","1","56011113","15"
"154","10201114","1003","1","56011114","15"
"155","91002","0","50","56011114","8"
"156","10201115","1001","1","56011115","15"
"157","10201116","1002","1","56011116","15"
"158","10201117","1003","1","56011117","15"
"159","91002","0","50","56011117","8"
"160","10201118","1001","1","56011118","15"
"161","10201119","1002","1","56011119","15"
"162","10201120","1003","1","56011120","15"
"163","91002","0","50","56011120","8"
"164","10201121","1001","1","56011121","15"
"165","10201122","1002","1","56011122","15"
"166","10201123","1003","1","56011123","15"
"167","91002","0","50","56011123","8"
"168","10201124","1001","1","56011124","15"
"169","10201125","1002","1","56011125","15"
"170","10201126","1003","1","56011126","15"
"171","91002","0","50","56011126","8"
"172","10201127","1001","1","56011127","15"
"173","10201128","1002","1","56011128","15"
"174","10201129","1003","1","56011129","15"
"175","91002","0","50","56011129","8"
"176","10201130","1001","1","56011130","15"
"177","10201131","1002","1","56011131","15"
"178","10201132","1003","1","56011132","15"
"179","91002","0","50","56011132","8"
"180","10201133","1001","1","56011133","15"
"181","10201134","1002","1","56011134","15"
"182","10201135","1003","1","56011135","15"
"183","91002","0","50","56011135","8"
"184","10201136","1001","1","56011136","15"
"185","10201137","1002","1","56011137","15"
"186","10201138","1003","1","56011138","15"
"187","91002","0","50","56011138","8"
"188","10201139","1001","1","56011139","15"
"189","10201140","1002","1","56011140","15"
"190","10201141","1003","1","56011141","15"
"191","91002","0","50","56011141","8"
"192","10201142","1001","1","56011142","15"
"193","10201143","1002","1","56011143","15"
"194","10201144","1003","1","56011144","15"
"195","91002","0","50","56011144","8"
"196","10201145","1001","1","56011145","15"
"197","10201146","1002","1","56011146","15"
"198","10201147","1003","1","56011147","15"
"199","91002","0","50","56011147","8"
"200","10201148","1001","1","56011148","15"
"201","10201149","1002","1","56011149","15"
"202","10201150","1003","1","56011150","15"
"203","91002","0","50","56011150","8"
"204","10201151","1001","1","56011151","15"
"205","10201152","1002","1","56011152","15"
"206","10201153","1003","1","56011153","15"
"207","91002","0","50","56011153","8"
"208","10201154","1001","1","56011154","15"
"209","10201155","1002","1","56011155","15"
"210","10201156","1003","1","56011156","15"
"211","91002","0","50","56011156","8"
"212","10201157","1001","1","56011157","15"
"213","10201158","1002","1","56011158","15"
"214","10201159","1003","1","56011159","15"
"215","91002","0","50","56011159","8"
"216","10201160","1001","1","56011160","15"
"217","10201161","1002","1","56011161","15"
"218","10201162","1003","1","56011162","15"
"219","91002","0","50","56011162","8"
"220","10201163","1001","1","56011163","15"
"221","10201164","1002","1","56011164","15"
"222","10201165","1003","1","56011165","15"
"223","91002","0","50","56011165","8"
"224","10201166","1001","1","56011166","15"
"225","10201167","1002","1","56011167","15"
"226","10201168","1003","1","56011168","15"
"227","91002","0","50","56011168","8"
"228","10201169","1001","1","56011169","15"
"229","10201170","1002","1","56011170","15"
"230","10201171","1003","1","56011171","15"
"231","91002","0","50","56011171","8"
"232","10201172","1001","1","56011172","15"
"233","10201173","1002","1","56011173","15"
"234","10201174","1003","1","56011174","15"
"235","91002","0","50","56011174","8"
"236","10201175","1001","1","56011175","15"
"237","10201176","1002","1","56011176","15"
"238","10201177","1003","1","56011177","15"
"239","91002","0","50","56011177","8"
"240","10201178","1001","1","56011178","15"
"241","10201179","1002","1","56011179","15"
"242","10201180","1003","1","56011180","15"
"243","91002","0","50","56011180","8"
"244","10201181","1001","1","56011181","15"
"245","10201182","1002","1","56011182","15"
"246","10201183","1003","1","56011183","15"
"247","91002","0","50","56011183","8"
"248","10201184","1001","1","56011184","15"
"249","10201185","1002","1","56011185","15"
"250","10201186","1003","1","56011186","15"
"251","91002","0","50","56011186","8"
"252","10201187","1001","1","56011187","15"
"253","10201188","1002","1","56011188","15"
"254","10201189","1003","1","56011189","15"
"255","91002","0","50","56011189","8"
"256","10201190","1001","1","56011190","15"
"257","10201191","1002","1","56011191","15"
"258","10201192","1003","1","56011192","15"
"259","91002","0","50","56011192","8"
"260","10201193","1001","1","56011193","15"
"261","10201194","1002","1","56011194","15"
"262","10201195","1003","1","56011195","15"
"263","91002","0","50","56011195","8"
"264","10201196","1001","1","56011196","15"
"265","10201197","1002","1","56011197","15"
"266","10201198","1003","1","56011198","15"
"267","91002","0","50","56011198","8"
"268","10201199","1001","1","56011199","15"
"269","10201200","1002","1","56011200","15"
"270","10201201","1003","1","56011201","15"
"271","91002","0","50","56011201","8"
"272","10201202","1001","1","56011202","15"
"273","10201203","1002","1","56011203","15"
"274","10201204","1003","1","56011204","15"
"275","91002","0","50","56011204","8"
"276","10201205","1001","1","56011205","15"
"277","10201206","1002","1","56011206","15"
"278","10201207","1003","1","56011207","15"
"279","91002","0","50","56011207","8"
