c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","100101","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","100201","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","100301","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ"
"探検好きのイタズラっ子","128","10","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","27","ヒューマン","100401","8","いたずら、探検","諸星すみれ","リトルリリカル","0","O","5","9","ミソギ"
"ヒーローに憧れる騎士見習いの少女","146","25","？？？","40","獣人族","100501","11","ヒーローごっこ","下田麻美","王宮騎士団（NIGHTMARE）","0","O","8","12","マツリ"
"甘え上手なみんなの人気者","150","22","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","42","魔族","100601","11","サックス","浅倉杏美","悪魔偽王国軍（ディアボロス）","0","O","7","13","アカリ"
"プリン大好きゴースト娘","130","23","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","32","魔族","100701","1","プリンを食べること","雨宮天","悪魔偽王国軍（ディアボロス）","0","B","7","14","ミヤコ"
"ボクは誰よりも美しい","150","10","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","40","エルフ","100801","10","鏡で自分を見ること","大空直美","ヴァイスフリューゲル　ランドソル支部","0","AB","15","14","ユキ"
"前世を信じる中二病患者、「疾風の冥姫」","159","5","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","45","魔族","100901","7","小説執筆","髙野麻美","トワイライトキャラバン","0","A","13","17","アンナ"
"マホマホ王国のプリンセス","155","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","獣人族","101001","9","空想、ぬいぐるみ集め","内田真礼","自警団（カォン）","0","O","10","16","マホ"
"人懐っこくてマシンガントークな妹系少女","156","25","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","44","ヒューマン","101101","8","お裁縫","阿澄佳奈","ラビリンス","0","A","3","15","リノ"
"みんなのために超能力を使う眠り姫","156","24","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","46","エルフ","101201","12","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","フォレスティエ","0","A","6","17","ハツネ"
"オタク全開な魔法少女","166","21","","55","魔族","101301","8","読書、魔法","佳村はるか","トワイライトキャラバン","0","O","13","18","ナナカ"
"頭脳明晰な美少女名探偵","152","3","test","41","獣人族","101401","11","読書、推理","水瀬いのり","自警団（カォン）","0","AB","10","15","カスミ"
"母性溢れる優しいみんなの「ミサト先生」","165","5","test","54","エルフ","101501","9","絵本作り","國府田マリ子","フォレスティエ","0","O","6","21","ミサト"
"天真爛漫で人気者のカリスマモデル","167","10","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","魔族","101601","4","ファッション","上坂すみれ","ルーセント学院","0","O","14","18","スズナ"
"いつでも「なんくるないさ～」な天然娘","158","7","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","53","獣人族","101701","7","踊り、空手","高森奈津美","自警団（カォン）","0","A","10","19","カオリ"
"多くの男性を魅了する無垢な女教師","162","14","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","52","魔族","101801","8","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","ルーセント学院","0","B","14","23","イオ"
"お歌もにんじんも、ウサギさんも大好き♪","117","3","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","21","獣人族","102001","4","かわいいもの集め","日高里菜","リトルリリカル","0","O","5","10","ミミ"
"泣き虫で臆病な守ってあげたい女の子","150","9","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","40","ヒューマン","102101","6","観劇、おままごと","植田佳奈","サレンディア救護院","0","B","9","12","クルミ"
"人見知りであまのじゃくな女の子","150","22","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","40","魔族","102201","11","ゲーム全般","原紗友里","悪魔偽王国軍（ディアボロス）","0","O","7","13","ヨリ"
"ぷうきちといつも一緒！","148","10","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","38","ヒューマン","102301","5","屋内でできる遊び","芹澤優","サレンディア救護院","0","B","9","14","アヤネ"
"お嬢さまのためにがんばるドジっ娘メイド","154","12","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","ヒューマン","102501","12","ご奉仕","悠木碧","サレンディア救護院","0","O","9","15","スズメ"
