e80e044454f0b1b522ee6670f44a422a6fea1fe2ac024174a6fc10882ccf5d16,88c3f59f87cd4c18d78250580711b9102e836b6913ac87ea14302fb891e638c6,d050ac38aa4b840565839d1abb051e373367ecaf84de2e63da666606ce0f0b18,47c6fac65b8cc0676cb306da052cad115fd9b0470919c03d5f0be107c07f73ec,f8903ccd589da123afb282074c275fc39016830966f02a34fcd996d705ef90d5,6efe1c87448d740f46a912d5a249f0505cc51bac412c94623dc66376d10b9b20,8c5f75820d813334ebb976169a23a934a219f6ac146c096bf3d6cb89f4a9a0c7,0f2da70dc2a9dbefde9bec2df5d1d49812c47d6b388ee11ad0ae451946263d93,dea1821b5cb00d51a7b2e7b38d6ea6f763d267c5bd070121d7bc04ed307b4374,16e0b4d4b37c0e211398231e1352d6c64f3b609e82b7c08bf66ef9e258f84e78,6bcb39f8627d5f093d6897f5f4b50dde3bd9b10c47817d6858d4418dc4c05ca2,833438461639a8867bad013410ac0f49bc793551309355cb94b12ae88677d23b
"0","0","1","1","0","0","1005801","0.8","0","100580101","0","4"
"0","0","0","2","0","vo_ske","1005801","0","vo_ske_0101","100580102","0","2"
"60","0","0","3","1","0","1005801","0","0","100580103","0.705","1"
"0","0","1","4","0","0","1005801","1.549","0","100580104","0","4"
"304","60","0","5","1","0","1005801","0","0","100580105","1.807","1"
"0","0","1","6","0","0","1005801","3.027","0","100580106","0","4"
"140","0","0","7","2","0","1005801","0","0","100580107","1.141","1"
"0","0","1","8","0","0","1005801","1.9","0","100580108","0","4"
"380","140","0","9","2","0","1005801","0","0","100580109","1.78","1"
"0","0","1","10","0","0","1005801","4.544","0","100580110","0","4"
"0","0","0","11","0","vo_ske","1005801","0","vo_ske_0102","100580111","0","2"
"195","0","0","12","3","0","1005801","0","0","100580112","1.322","1"
"0","0","1","13","0","0","1005801","2.917","0","100580113","0","4"
"0","0","0","14","0","vo_ske","1005801","0","vo_ske_0103","100580114","0","2"
"228","0","0","15","4","0","1005801","0","0","100580115","1.932","1"
"0","0","1","16","0","0","1005801","2.582","0","100580116","0","4"
"367","228","0","17","4","0","1005801","0","0","100580117","0.996","1"
"0","0","1","18","0","0","1005801","3.856","0","100580118","0","4"
"0","0","0","19","0","vo_ske","1005801","0","vo_ske_0104","100580119","0","2"
"102","0","0","20","5","0","1005801","0","0","100580120","0.67","1"
"0","0","1","21","0","0","1005801","1.785","0","100580121","0","4"
"364","102","0","22","5","0","1005801","0","0","100580122","2.253","1"
"0","0","1","23","0","0","1005801","2.253","0","100580123","0","4"
"120","0","0","24","6","0","1005801","0","0","100580124","0.962","1"
"0","0","1","25","0","0","1005801","2.244","0","100580125","0","4"
"334","120","0","26","6","0","1005801","0","0","100580126","1.707","1"
"0","0","1","27","0","0","1005801","4.225","0","100580127","0","4"
"0","0","0","28","0","vo_ske","1005801","0","vo_ske_0105","100580128","0","2"
"168","0","0","29","7","0","1005801","0","0","100580129","1.256","1"
"0","0","1","30","0","0","1005801","3.119","0","100580130","0","4"
"0","0","0","31","0","vo_ske","1005801","0","vo_ske_0106","100580131","0","2"
"89","0","0","32","8","0","1005801","0","0","100580132","0.702","1"
"0","0","1","33","0","0","1005801","1.386","0","100580133","0","4"
"278","89","0","34","8","0","1005801","0","0","100580134","1.352","1"
"0","0","1","35","0","0","1005801","2.053","0","100580135","0","4"
"383","278","0","36","8","0","1005801","0","0","100580136","0.733","1"
"0","0","1","37","0","0","1005801","1.868","0","100580137","0","4"
"195","0","0","38","9","0","1005801","0","0","100580138","1.764","1"
"0","0","1","39","0","0","1005801","2.905","0","100580139","0","4"
"314","195","0","40","9","0","1005801","0","0","100580140","0.969","1"
"0","0","1","41","0","0","1005801","0.969","0","100580141","0","4"
"115","0","0","42","10","0","1005801","0","0","100580142","0.808","1"
"0","0","1","43","0","0","1005801","2.8","0","100580143","0","4"
"0","0","0","44","0","vo_ske","1005801","0","vo_ske_0107","100580144","0","2"
"52","0","0","45","11","0","1005801","0","0","100580145","0.25","1"
"0","0","1","46","0","0","1005801","0.25","0","100580146","0","4"
"280","52","0","47","11","0","1005801","0","0","100580147","1.817","1"
"0","0","1","48","0","0","1005801","3.312","0","100580148","0","4"
"372","280","0","49","11","0","1005801","0","0","100580149","0.666","1"
"0","0","1","50","0","0","1005801","1.17","0","100580150","0","4"
"217","0","0","51","12","0","1005801","0","0","100580151","1.616","1"
"0","0","1","52","0","0","1005801","4.15","0","100580152","0","4"
"0","0","0","53","0","vo_ske","1005801","0","vo_ske_0108","100580153","0","2"
"142","0","0","54","13","0","1005801","0","0","100580154","1.198","1"
"0","0","1","55","0","0","1005801","2.442","0","100580155","0","4"
"267","0","0","56","14","0","1005801","0","0","100580156","1.934","1"
"0","0","1","57","0","0","1005801","4.434","0","100580157","0","4"
"0","0","1","1","0","0","1005802","0.8","0","100580201","0","4"
"0","0","0","2","0","vo_ske","1005802","0","vo_ske_0201","100580202","0","2"
"130","0","0","3","1","0","1005802","0","0","100580203","1.122","1"
"0","0","1","4","0","0","1005802","1.689","0","100580204","0","4"
"327","130","0","5","1","0","1005802","0","0","100580205","1.13","1"
"0","0","1","6","0","0","1005802","2.883","0","100580206","0","4"
"0","0","0","7","0","vo_ske","1005802","0","vo_ske_0202","100580207","0","2"
"119","0","0","8","2","0","1005802","0","0","100580208","1.057","1"
"0","0","1","9","0","0","1005802","1.962","0","100580209","0","4"
"266","119","0","10","2","0","1005802","0","0","100580210","1.166","1"
"0","0","1","11","0","0","1005802","1.747","0","100580211","0","4"
"389","266","0","12","2","0","1005802","0","0","100580212","1.216","1"
"0","0","1","13","0","0","1005802","1.216","0","100580213","0","4"
"272","0","0","14","3","0","1005802","0","0","100580214","1.868","1"
"0","0","1","15","0","0","1005802","3.78","0","100580215","0","4"
