c2b7633b44b7dccc0e9ca99c57abe51e196b3e451b6404f7879ec02c31da9556,54ad18e6cd6c7e55d23f0f4b8cb417e87cd1534f37dd9d46b352c6e7a10c74de,d9bf8a171928e37ac612123340e6a80d9e6a7d3896404131ed59cf77095e7ca3,5dd2f53852961b852c4fb08c1c2b382b7b4d96d90afedc04e946a2a861a4091a,a4a8a468b25126c7d5b8cacd9805c63b1795a9104738f5be803453133fe81e44,da13b81cc954cc1f56975e362457c782f62232fd93b374b5bdab630e39ea6c9a
"10009106","1","0","1","1","10009101"
"10009112","2","0","1","1","10009101"
"10010110","3","0","1","1","10010101"
"1001901","4","0","2","1","10019101"
"10021112","5","0","1","1","10021101"
"10025109","6","0","1","1","10025101"
"5025001","7","500810","3","2","10025"
"20009106","8","0","1","1","20009101"
"20009112","9","0","1","1","20009101"
"20010110","10","0","1","1","20010101"
"5042001","12","501001","3","2","10042"
"2001501","13","0","2","1","20015101"
"5044001","14","501031","3","2","10044"
"20016112","15","0","1","1","20016101"
"5046002","16","501103","3","2","10046"
"10049109","17","0","1","1","10049101"
"10066112","19","0","1","1","10066101"
"5066005","20","501291","3","2","10066"
"5042001","21","501001","3","2","10069"
"5044001","22","501031","3","2","10071"
"5068001","23","501341","3","2","10068"
"5070004","24","501353","3","2","10070"
"5070005","25","500016","3","2","10070"
"5072004","26","501364","3","2","10072"
"5072006","27","501365","3","2","10072"
"5046002","28","501103","3","2","10073"
"5074001","29","501383","3","2","10074"
"10076112","30","0","1","1","10076101"
"5076005","31","505036","3","2","10076"
"5078004","32","501451","3","2","10078"
"5080005","33","501463","3","2","10080"
"10082105","34","0","1","1","10082101"
"10082108","35","0","1","1","10082102"
"10082111","36","0","1","1","10082103"
"5082002","37","501160","3","2","10082"
"5082004","38","501031","3","2","10082"
"5082005","39","501483","3","2","10082"
"5084001","40","500368","3","2","10084"
"5084002","41","510306","3","2","10084"
"5084003","42","500039","3","2","10084"
"5085002","43","500368","3","2","10085"
"5085003","44","510203","3","2","10085"
"5085004","45","500272","3","2","10085"
"5085005","46","501501","3","2","10085"
"5088005","47","501810","3","2","10088"
"5042001","50","501001","3","2","20025"
"5090002","51","501541","3","2","10090"
"5044001","55","501031","3","2","20026"
"10093112","56","0","1","1","10093101"
"5066005","57","501291","3","2","10093"
"5046002","58","501103","3","2","20027"
"5092001","59","501031","3","2","10092"
"5092004","60","501551","3","2","10092"
"5094001","61","501593","3","2","10094"
"5068001","62","501341","3","2","10095"
"5025001","67","500810","3","2","20018"
"5096002","68","501613","3","2","10096"
"5070004","73","501353","3","2","10097"
"5070005","74","500016","3","2","10097"
"5098000","75","501031","3","2","10098"
"10098104","76","0","1","1","10098101"
"10098111","77","0","1","1","10098102"
"5072004","78","501364","3","2","10099"
"5072006","79","501365","3","2","10099"
"5100003","80","500837","3","2","10100"
"5074001","82","501383","3","2","10101"
"5074001","83","501383","3","2","10101"
"5102002","84","501873","3","2","10102"
"10103112","85","0","1","1","10103101"
"5076005","86","505036","3","2","10103"
"5108002","88","501911","3","2","10108"
"5104003","89","500133","3","2","10104"
"5078004","90","501451","3","2","10105"
"5110005","93","501931","3","2","10110"
"5111005","94","500013","3","2","10111"
"5080005","95","501463","3","2","10107"
"10109105","96","0","1","1","10109101"
"10109108","97","0","1","1","10109102"
"10109111","98","0","1","1","10109103"
"5082002","99","501160","3","2","10109"
"5082004","100","501031","3","2","10109"
"5082005","101","501483","3","2","10109"
"5084001","103","500368","3","2","10112"
"5084002","104","510306","3","2","10112"
"5084003","105","500039","3","2","10112"
"5085002","106","500368","3","2","10113"
"5085003","107","510203","3","2","10113"
"5085004","108","500272","3","2","10113"
"5085005","109","501501","3","2","10113"
"1011001","110","0","2","1","10110101"
"20037112","111","0","1","1","20037101"
"5066005","112","501291","3","2","20037"
"5088005","113","501810","3","2","10115"
"5114000","114","500016","3","2","10114"
"5114003","115","501952","3","2","10114"
"5068001","116","501341","3","2","20038"
"5090002","117","501541","3","2","10117"
"5070004","121","501353","3","2","20039"
"5070005","122","500016","3","2","20039"
"5116004","123","500837","3","2","10116"
"5092001","124","501031","3","2","10119"
"5092004","125","501551","3","2","10119"
"5118002","126","500133","3","2","10118"
"5118003","127","500810","3","2","10118"
"5118007","128","500133","3","2","10118"
"5072004","129","501364","3","2","20040"
"5072006","130","501365","3","2","20040"
"5124003","132","501614","3","2","10124"
"5074001","133","501383","3","2","20041"
"5094001","135","501593","3","2","10121"
"5122000","136","502003","3","2","10122"
"5122002","137","502015","3","2","10122"
"5096002","138","501613","3","2","10123"
"5076005","139","505036","3","2","20042"
"5078004","140","501451","3","2","20043"
"5098000","141","501031","3","2","10125"
"5100003","143","500837","3","2","10127"
"5080005","144","501463","3","2","20044"
"5128001","145","502063","3","2","10128"
"5102002","146","501873","3","2","10129"
"20045105","147","0","1","1","20045101"
"20045108","148","0","1","1","20045102"
"20045111","149","0","1","1","20045103"
"5082002","150","501160","3","2","20045"
"5082004","151","501031","3","2","20045"
"5082005","152","501483","3","2","20045"
"5084001","153","500368","3","2","20046"
"5084002","154","510306","3","2","20046"
"5084003","155","500039","3","2","20046"
"5085002","156","500368","3","2","20047"
"5085003","157","510203","3","2","20047"
"5085004","158","500272","3","2","20047"
"5085005","159","501501","3","2","20047"
"5130001","160","500016","3","2","10130"
"5130007","161","500133","3","2","10130"
"5104003","162","500133","3","2","10131"
"5136002","163","500143","3","2","10136"
"5136004","164","500175","3","2","10136"
"5137002","165","501622","3","2","10137"
"5137005","166","500133","3","2","10137"
"5088005","167","501810","3","2","20048"
"5134007","168","500553","3","2","10134"
"5108002","169","501911","3","2","10135"
"5110005","170","501931","3","2","10138"
"5111005","171","500013","3","2","10139"
"5090002","172","501541","3","2","20049"
"1013801","173","0","2","1","10138101"
"5114000","174","500016","3","2","10141"
"5114003","175","501952","3","2","10141"
"5140002","180","502224","3","2","10140"
"5092001","181","501031","3","2","20050"
"5092004","182","501551","3","2","20050"
"5142001","183","501683","3","2","10142"
"5116004","184","500837","3","2","10143"
"5118002","185","500133","3","2","10145"
"5118003","186","500810","3","2","10145"
"5118007","187","500133","3","2","10145"
"5094001","188","501593","3","2","20051"
"5096002","189","501613","3","2","20052"
"5146001","1014601","502283","3","2","10146"
"5122000","1014901","502003","3","2","10149"
"5122002","1014902","502015","3","2","10149"
"5124003","1015101","501614","3","2","10151"
"5098000","2005301","501031","3","2","20053"
"5100003","2005401","500837","3","2","20054"
