aa52b6293fe9efb0e67ec25824d56910e382990c73a8d61381fcc78ded65c1ab,bf51ca44921142f215f9f9433114f11037e277d60becff5b61cbe5055086003c,9d7d3f348855c0cf430b9cbf91419f287922be09b70da89267210b83258c1dc3,2a016980dc51c413fc455cb9b358394b5faebc2ca2d281d94b5d3dd579b9ebb6,830f9361d9e5ca739574e15753514572a1d374ed62774f89a57c92041a62d628,95d3492620c72eae5fa5f53b237a4287515cf7647e6ff5a5af4ddcb4276c356c,dc8d5c972b31342845d7b85f979b2721e6e0deb2af797e09ccdcbc8e3f660387,ad681732d48d074eedf1547ac7dc5f74ba173c69b4505a8611c6969ad5dd2078,6c11d5021643f87c7b2778447389bd02db56e92439176cb9c134d3754b2a1a90,7dfa399b646e0fdd4f6c55a9ba9b2c12f48eab16d9a312443b9d8d4a5e4b6863,61603f617b30a13c8f66a0001e5d8c544b3a44920dabf3b27b67332f854b77d4
"110931","-209.3","-421","1","110","1","nyx_idle_normal","1.35","101","11010001","0"
"104831","-182.5","121.8","1","110","1","nyx_idle_normal","1.35","101","11010002","0"
"104631","-182.5","227.7","1","110","1","nyx_idle_normal","1.35","101","11010003","0"
"103231","-182.5","340.3","1","110","1","nyx_talk_normal","1.35","101","11010004","1"
"103431","-182.5","449.6","1","110","1","nyx_idle_normal","1.35","101","11010005","1"
"2","-209.3","-421","5","120","2","NoItem","1.35","101","11010006","0"
"1","1","0","31","0","1","","1","101","11010007",""
"3","1","0","31","-300","15","","0","101","11010008",""
"4","1.5","0","31","-300","15","","0","101","11010009",""
"bgm_M347","","","25","","bgm_M347","","","101","11010010",""
"","","","93","","2","","","101","11010011",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010012",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010013",""
"ちぇる～ん♪\n最初はとにかく\nインパクト！","","","11","10","110931","","","101","11010014",""
"","","","93","","0.4","","","101","11010015",""
"0","","","32","","3","","","101","11010016",""
"1","","","32","","3","","","101","11010017",""
"","","","91","","11010014","","","101","11010018",""
"強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","","11","10","110931","","","101","11010019",""
"","","","93","","1","","","101","11010020",""
"nyx_idle_joy1","","","3","1","103231","","0.2","101","11010021",""
"nyx_cmn_05","","","3","1","104631","","0.2","101","11010022",""
"","","","91","","11010019","","","101","11010023",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010024",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010025",""
"ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","","11","7","110931","","","101","11010026",""
"","","","93","","0.4","","","101","11010027",""
"0","","","32","","3","","","101","11010028",""
"1","","","32","","3","","","101","11010029",""
"","","","93","","0.6","","","101","11010030",""
"nyx_talk_bitter","","","3","1","103431","","0.2","101","11010031",""
"nyx_cmn_04","","","3","1","104631","","0.2","101","11010032",""
"","","","93","","2","","","101","11010033",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010034",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010035",""
"","","","93","","0.4","","","101","11010036",""
"0","","","32","","3","","","101","11010037",""
"1","","","32","","4","","","101","11010038",""
"","","","91","","11010026","","","101","11010039",""
"nyx_idle_bitter","","","3","1","103431","","0.2","101","11010040",""
"nyx_talk_sad","","","3","1","104831","","0.2","101","11010041",""
"ね、ねぇ…\n廊下の方から\n何か聞こえない？","","","11","10","104831","","","101","11010042",""
"","","","91","","0","","","101","11010043",""
"1","","","4","","110931","","","101","11010044",""
"1","","","4","","2","","","101","11010045",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010046",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010047",""
"nyx_idle_sad","","","3","1","104831","","0.2","101","11010048",""
"nyx_talk_sad","","","3","1","104631","","0.2","101","11010049",""
"なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","","11","10","104631","","","101","11010050",""
"","","","91","","0","","","101","11010051",""
"nyx_idle_sad","","","3","1","104631","","0.2","101","11010052",""
"nyx_talk_sad","","","3","1","103431","","0.2","101","11010053",""
"学校の七不思議的な\nやつかしら…\nか、帰りたい…","","","11","10","103431","","","101","11010054",""
"","","","91","","0","","","101","11010055",""
"nyx_idle_sad","","","3","1","103431","","0.2","101","11010056",""
"nyx_talk_joy2","","","3","1","103231","","0.2","101","11010057",""
"面白いですわね！\n何が出てくるか\nワクワクしますわ！","","","11","10","103231","","","101","11010058",""
"","","","91","","0","","","101","11010059",""
"","","","93","","0.4","","","101","11010060",""
"0","","","4","","110931","","","101","11010061",""
"0","","","4","","2","","","101","11010062",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010063",""
"nyx_101_chieru_01","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010064",""
"1","","","12","1","104831","","","101","11010065",""
"nyx_talk_sad","1","nyx_idle_sad","3","0","104831","","0.2","101","11010066","0.2"
"","","","93","","0.4","","","101","11010067",""
"0","","","32","","3","","","101","11010068",""
"1","","","32","","3","","","101","11010069",""
"","","","93","","1.6","","","101","11010070",""
"15","","","12","1","104631","","","101","11010071",""
"nyx_talk_sad","1","nyx_idle_sad","3","0","104631","","0.2","101","11010072","0.2"
"","","","93","","3","","","101","11010073",""
"1","","","4","","110931","","","101","11010074",""
"1","","","4","","2","","","101","11010075",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","110931","","0.2","101","11010076",""
"nyx_101_chieru_02","1","nyx_101_chieru_loop","3","0","2","","0.2","101","11010077",""
"10","","","12","1","103231","","","101","11010078",""
"nyx_talk_joy1","1","nyx_idle_joy1","3","0","103231","","0.2","101","11010079","0.2"
"","","","93","","2","","","101","11010080",""
"2","","","12","1","103431","","","101","11010081",""
"nyx_talk_sad","1","nyx_idle_sad","3","0","103431","","0.2","101","11010082","0.2"
"","","","93","","2.5","","","101","11010083",""
"","","","101","","11010060","","","101","11010084",""
"110831","-209.3","-362","1","110","1","nyx_102_chloe_01","1.35","102","11020001","1"
"104831","-182.5","90","1","110","1","nyx_102_mifuyu_01","1.35","102","11020002","0"
"104631","-182.5","220","1","110","1","nyx_idle_normal","1.35","102","11020003","0"
"103231","-182.5","336","1","110","1","nyx_talk_normal","1.35","102","11020004","1"
"103431","-182.5","457","1","110","1","nyx_idle_normal","1.35","102","11020005","1"
"1","1","0","31","0","1","","1","102","11020006",""
"2","-209.3","-362","5","120","2","NoItem","1.35","102","11020007","0"
"bgm_M347","","","25","","bgm_M347","","","102","11020008",""
"","","","93","","2","","","102","11020009",""
"nyx_102_chloe_02","","","3","1","110831","","0.2","102","11020010",""
"次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","","11","10","110831","","","102","11020011",""
"1","","","91","","0","","","102","11020012",""
"nyx_idle_sad","","","3","1","110831","","0.2","102","11020013",""
"あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","","11","10","110831","","","102","11020014",""
"1","","","91","","0","","","102","11020015",""
"cmn_pose02_def_N","1","nyx_102_chloe_02","3","0","110831","","0.2","102","11020016","0.2"
"ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","","11","10","110831","","","102","11020017",""
"","","","93","","3","","","102","11020018",""
"nyx_idle_normal","","","3","1","103231","","0.2","102","11020019",""
"nyx_talk_sad","","","3","1","104631","","0.2","102","11020020",""
"0","","","4","","110831","","","102","11020021",""
"","","","91","","11020016","","","102","11020022",""
"","","","93","","1","","","102","11020023",""
"nyx_102_chloe_01","","","3","1","110831","","0.2","102","11020024",""
"ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","","11","10","110831","","","102","11020025",""
"","","","93","","2.5","","","102","11020026",""
"nyx_102_chloe_03","1","nyx_102_chloe_03_loop","3","0","110831","","0.2","102","11020027",""
"nyx_102_chloe_03","1","nyx_102_chloe_03_loop","3","0","2","","0.2","102","11020028",""
"","","","91","","11020025","","","102","11020029",""
"","","","93","","1","","","102","11020030",""
"ちぇる…ちぇる…","","","11","10","104831","","","102","11020031",""
"","","","93","","1.5","","","102","11020032",""
"1","","","4","0","104631","","","102","11020033",""
"cmn_shock_def_N","1","nyx_idle_surprise2","3","0","104631","","0.2","102","11020034","0.2"
"cmn_shock_def_N","1","nyx_idle_surprise2","3","0","103431","","0.2","102","11020035","0.2"
"nyx_surprise","1","nyx_idle_surprise1","3","0","103231","","0.2","102","11020036","0.2"
"","","","93","","1.5","","","102","11020037",""
"nyx_talk_surprise2","1","","3","1","104631","","0.2","102","11020038","0.2"
"nyx_102_yukari_01","","","3","1","103431","","0.2","102","11020039",""
"ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","","11","10","103431","","","102","11020040",""
"1","","","91","","0","","","102","11020041",""
"cmn_shock_def_N","1","nyx_102_tamaki_01_loop","3","0","103431","","0.2","102","11020042","0.2"
"0","","","4","0","103231","","","102","11020043",""
"0","","","4","0","104631","","","102","11020044",""
"","","","91","","0","","","102","11020045",""
"ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","","11","10","104631","","","102","11020046",""
"","","","93","","2.6","","","102","11020047",""
"nyx_102_tamaki_01","1","nyx_102_tamaki_01_loop","3","0","104631","","0.2","102","11020048","0.2"
"","","","93","","0.1","","","102","11020049",""
"1","","","4","0","103231","","","102","11020050",""
"","","","93","","1.5","","","102","11020051",""
"被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","","11","10","103231","","","102","11020052",""
"","","","91","","0","","","102","11020053",""
"","","","93","","1","","","102","11020054",""
"nyx_102_chloe_04","1","nyx_102_chloe_03_loop","3","0","110831","","0.2","102","11020055",""
"nyx_102_chloe_04","1","nyx_102_chloe_03_loop","3","0","2","","0.2","102","11020056",""
"","","","93","","1.5","","","102","11020057",""
"12","","","12","1","110831","","","102","11020058",""
"","","","93","","1","","","102","11020059",""
"1","","","12","1","103431","","","102","11020060",""
"nyx_cmn_01","1","nyx_cmn_03","3","0","103431","","0.2","102","11020061","0.2"
"nyx_idle_worry","1","","3","1","104631","","0.2","102","11020062","0.2"
"","","","93","","2","","","102","11020063",""
"12","","","12","1","104831","","","102","11020064",""
"","","","93","","2","","","102","11020065",""
"10","","","12","1","103231","","","102","11020066",""
"nyx_talk_normal","1","nyx_idle_normal","3","0","103231","","0.2","102","11020067","0.2"
"","","","93","","2","","","102","11020068",""
"2","","","12","1","104631","","","102","11020069",""
"nyx_talk_sad","1","nyx_idle_worry","3","0","104631","","0.2","102","11020070","0.2"
"","","","93","","4","","","102","11020071",""
"1","","","101","","11020055","","","102","11020072",""
"111031","-209.3","-421","1","110","1","nyx_103_yuni_01","1.35","103","11030001","0"
"104831","-182.5","121.8","1","110","1","nyx_idle_normal","1.35","103","11030002","0"
"2","-182.5","121.8","5","120","2","NoItem","1.35","103","11030003","0"
"104631","-182.5","227.7","1","110","1","nyx_idle_normal","1.35","103","11030004","0"
"2","-182.5","227.7","5","120","2","NoItem","1.35","103","11030005","0"
"103231","-182.5","340.3","1","110","1","nyx_idle_normal","1.35","103","11030006","1"
"103431","-182.5","449.6","1","110","1","nyx_cmn_03","1.35","103","11030007","1"
"2","-182.5","449.6","5","120","2","NoItem","1.35","103","11030008","1"
"1","1","0","31","0","1","","1","103","11030009",""
"bgm_M347","","","25","","bgm_M347","","","103","11030010",""
"","","","93","","2","","","103","11030011",""
"nyx_talk_sad","","","3","1","103431","","0.2","103","11030012",""
"プレゼンって\nこんなに\n疲れるものなの…？","","","11","10","103431","","","103","11030013",""
"","","","91","","0","","","103","11030014",""
"nyx_cmn_03","","","3","1","103431","","0.2","103","11030015",""
"nyx_cmn_05","","","3","1","104831","","0.2","103","11030016",""
"きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","","11","10","104831","","","103","11030017",""
"","","","91","","0","","","103","11030018",""
"nyx_cmn_04","","","3","1","104831","","0.2","103","11030019",""
"nyx_talk_normal","","","3","1","103231","","0.2","103","11030020",""
"あら？\n次もなかよし部の方\nみたいですわよ？","","","11","10","103231","","","103","11030021",""
"","","","91","","0","","","103","11030022",""
"nyx_idle_normal","","","3","1","103231","","0.2","103","11030023",""
"nyx_talk_sad","","","3","1","104631","","0.2","103","11030024",""
"…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","","11","10","104631","","","103","11030025",""
"","","","93","","2.6","","","103","11030026",""
"nyx_102_chloe_01","","","3","1","111031","","0.2","103","11030027",""
"","","","91","","11030025","","","103","11030028",""
"nyx_cmn_02","1","nyx_idle_sad","3","0","104631","","0.2","103","11030029","0.3"
"nyx_cmn_02","","","3","0","2","","0.2","103","11030030",""
"nyx_cmn_02","1","nyx_cmn_03","3","0","103431","","0.2","103","11030031","0.3"
"nyx_cmn_02","","","3","0","2","","0.2","103","11030032",""
"nyx_cmn_02","1","nyx_idle_normal","3","0","104831","","0.2","103","11030033","0.2"
"nyx_cmn_02","","","3","0","2","","0.2","103","11030034",""
"","","","93","","1.5","","","103","11030035",""
"nyx_303_yuni_01","","","3","1","111031","","0.2","103","11030036",""
"ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","","11","10","111031","","","103","11030037",""
"","","","93","","2.8","","","103","11030038",""
"13","","","12","1","104831","","","103","11030039",""
"nyx_talk_normal","","","3","1","104831","","0.2","103","11030040",""
"","","","91","","11030037","","","103","11030041",""
"チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","","11","10","111031","","","103","11030042",""
"","","","91","","0","","","103","11030043",""
"nyx_103_yuni_02","","","3","1","111031","","0.2","103","11030044",""
"いざ上級生としての\n責務を果たす時だ","","","11","10","111031","","","103","11030045",""
"","","","93","","1.5","","","103","11030046",""
"17","","","12","1","103231","","","103","11030047",""
"nyx_idle_normal","","","3","1","104831","","0.2","103","11030048",""
"nyx_cmn_05","","","3","1","103231","","0.2","103","11030049",""
"","","","91","","11030045","","","103","11030050",""
"nyx_103_yuni_03","0","nyx_103_yuni_04","3","0","111031","","0.3","103","11030051","0.6"
"ユニちゃんズの\n名に懸けて…！","","","11","10","111031","","","103","11030052",""
"","","","91","","0","","","103","11030053",""
"nyx_idle_normal","","","3","1","103231","","0.2","103","11030054",""
"","","","93","","0.6","","","103","11030055",""
"12","","","12","1","111031","","0.2","103","11030056",""
"cmn_pose02_def_N","1","nyx_idle_normal","3","0","111031","","0.2","103","11030057","0.2"
"","","","93","","1.5","","","103","11030058",""
"15","","","12","1","104631","","","103","11030059",""
"nyx_talk_sad","1","nyx_idle_worry","3","0","104631","","0.2","103","11030060","0.2"
"","","","93","","2","","","103","11030061",""
"10","","","12","1","103231","","","103","11030062",""
"nyx_talk_joy1","1","nyx_idle_normal","3","0","103231","","0.2","103","11030063","0.2"
"nyx_103_yuni_01","1","nyx_idle_normal","3","0","111031","","0.2","103","11030064","0.2"
"","","","93","","2.5","","","103","11030065",""
"1","","","12","1","103431","","","103","11030066",""
"nyx_cmn_01","1","nyx_cmn_03","3","0","103431","","0.2","103","11030067","0.3"
"","","","93","","2","","","103","11030068",""
"12","","","12","1","104831","","","103","11030069",""
"nyx_talk_bitter","","","3","1","104831","","0.2","103","11030070",""
"","","","93","","2","","","103","11030071",""
"nyx_idle_bitter","","","3","1","104831","","0.2","103","11030072",""
"","","","93","","1","","","103","11030073",""
"","","","101","","11030056","","","103","11030074",""
"103231","-294.7","-235.4","1","110","1","nyx_201_akino_01","1.2","201","12010001","1"
"2","-294.7","-235.4","5","120","2","nyx_201_akino_01","1.2","201","12010002","1"
"104631","-281.6","-357","1","110","1","nyx_idle_normal","1.2","201","12010003","0"
"103431","-281.6","310.5","1","110","1","nyx_idle_normal","1.2","201","12010004","1"
"104831","-281.6","-453.3","1","110","1","nyx_idle_normal","1.2","201","12010005","0"
"1","1","0","31","0","2","","1","201","12010006",""
"2","1","0","31","0","11","","1","201","12010007",""
"bgm_M347","","","25","","bgm_M347","","","201","12010008",""
"","","","93","","2","","","201","12010009",""
"タマキさん、この\n部品の組み立てを\nお願いしますわ！","","","11","10","103231","","","201","12010010",""
"","","","91","","0","","","201","12010011",""
"nyx_surprise","1","nyx_idle_surprise1","3","0","104631","","0.3","201","12010012","0.3"
"わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","","11","10","104631","","","201","12010013",""
"","","","91","","0","","","201","12010014",""
"0","","","4","0","103231","","","201","12010015",""
"0","","","4","","2","","","201","12010016",""
"nyx_idle_bitter2","","","3","1","104631","","0.3","201","12010017","0.3"
"nyx_201_akino_02","","","3","1","103231","","0.3","201","12010018","0.3"
"nyx_201_akino_02","","","3","1","2","","0.3","201","12010019","0.3"
"199","","2.2","2","-294.7","103231","","","201","12010020",""
"199","","2.2","2","-294.7","2","","","201","12010021",""
"","","","93","","2.2","","","201","12010022",""
"nyx_201_akino_01","","","3","1","103231","","0.3","201","12010023","0.3"
"nyx_201_akino_01","","","3","1","2","","0.3","201","12010024","0.3"
"ユカリさん！\nこの回路の発注を\n至急お願いします！","","","11","10","103231","","","201","12010025",""
"","","","91","","0","","","201","12010026",""
"nyx_cmn_01","","","3","1","103431","","0.3","201","12010027","0.3"
"えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","","11","10","103431","","","201","12010028",""
"","","","91","","0","","","201","12010029",""
"nyx_idle_bitter2","","","3","1","103431","","0.3","201","12010030","0.3"
"1","","","4","","103231","","","201","12010031",""
"1","","","4","","2","","","201","12010032",""
"nyx_201_akino_02","","","3","1","103231","","0.3","201","12010033","0.3"
"nyx_201_akino_02","","","3","1","2","","0.3","201","12010034","0.3"
"-235.4","","2.2","2","-294.7","103231","","","201","12010035",""
"-235.4","","2.2","2","-294.7","2","","","201","12010036",""
"","","","93","","2.2","","","201","12010037",""
"nyx_201_akino_01","","","3","1","103231","","0.3","201","12010038","0.3"
"nyx_201_akino_01","","","3","1","2","","0.3","201","12010039","0.3"
"ミフユさんは動作\nチェックを念入りに\nお願いします！","","","11","10","103231","","","201","12010040",""
