9a537ab08aca2ddb34481ef71f9f79d4722b44d6eb8332a694c1a4a864974fc9,376ec27b8742b41871d90e7ab8e2fbc24a845b425b7bd090d6e35f744bffbabf,d829963da76c0f30c4c514ea2a8a223d20b28fec7138729317d74a92ab10385e,4d62f50c5814b86e4d04ee92183248a9086a7eedf03ea336d7238ed3cb244d22,2a3e80536e22a477aae9e38fa395e38d23c7ae998e7f0963322dda596fbd4df9
"150","1","1038","0","1"
"151","2","1038","0","2"
"152","3","1038","0","3"
"153","4","1038","0","4"
"154","5","1038","0","5"
"156","1","1039","0","6"
"157","2","1039","0","7"
"158","3","1039","0","8"
"159","4","1039","0","9"
"160","5","1039","0","10"
"162","1","1040","0","11"
"163","2","1040","0","12"
"164","3","1040","0","13"
"165","4","1040","0","14"
"166","5","1040","0","15"
"168","1","1041","0","16"
"169","2","1041","0","17"
"170","3","1041","0","18"
"171","4","1041","0","19"
"172","5","1041","0","20"
"174","1","1042","0","21"
"175","2","1042","0","22"
"176","3","1042","0","23"
"177","4","1042","0","24"
"178","5","1042","0","25"
"180","1","1043","0","26"
"181","2","1043","0","27"
"182","3","1043","0","28"
"183","4","1043","0","29"
"184","5","1043","0","30"
"186","1","1044","0","31"
"187","2","1044","0","32"
"188","3","1044","0","33"
"189","4","1044","0","34"
"190","5","1044","0","35"
"192","1","1045","0","36"
"193","2","1045","0","37"
"194","3","1045","0","38"
"195","4","1045","0","39"
"196","5","1045","0","40"
"198","1","1046","0","41"
"199","2","1046","0","42"
"200","3","1046","0","43"
"201","4","1046","0","44"
"202","5","1046","0","45"
"204","1","1047","0","46"
"205","2","1047","0","47"
"206","3","1047","0","48"
"207","4","1047","0","49"
"208","5","1047","0","50"
"210","1","1048","0","51"
"211","2","1048","0","52"
"212","3","1048","0","53"
"213","4","1048","0","54"
"214","5","1048","0","55"
"216","1","1049","0","56"
"217","2","1049","0","57"
"218","3","1049","0","58"
"219","4","1049","0","59"
"220","5","1049","0","60"
"222","1","1050","0","61"
"223","2","1050","0","62"
"224","3","1050","0","63"
"225","4","1050","0","64"
"226","5","1050","0","65"
"228","1","1051","0","66"
"229","2","1051","0","67"
"230","3","1051","0","68"
"231","4","1051","0","69"
"232","5","1051","0","70"
"234","1","1052","0","71"
"235","2","1052","0","72"
"236","3","1052","0","73"
"237","4","1052","0","74"
"238","5","1052","0","75"
"240","1","1053","0","76"
"241","2","1053","0","77"
"242","3","1053","0","78"
"243","4","1053","0","79"
"244","5","1053","0","80"
"246","1","1054","0","81"
"247","2","1054","0","82"
"248","3","1054","0","83"
"249","4","1054","0","84"
"250","5","1054","0","85"
"252","1","1055","0","86"
"253","2","1055","0","87"
"254","3","1055","0","88"
"255","4","1055","0","89"
"256","5","1055","0","90"
"258","1","1056","0","91"
"259","2","1056","0","92"
"260","3","1056","0","93"
"261","4","1056","0","94"
"262","5","1056","0","95"
"264","1","1057","0","96"
"265","2","1057","0","97"
"266","3","1057","0","98"
"267","4","1057","0","99"
"268","5","1057","0","100"
"270","1","1058","0","101"
"271","2","1058","0","102"
"272","3","1058","0","103"
"273","4","1058","0","104"
"274","5","1058","0","105"
"276","1","1059","0","106"
"277","2","1059","0","107"
"278","3","1059","0","108"
"279","4","1059","0","109"
"280","5","1059","0","110"
"282","1","1060","0","111"
"283","2","1060","0","112"
"284","3","1060","0","113"
"285","4","1060","0","114"
"286","5","1060","0","115"
"288","1","1061","0","116"
"289","2","1061","0","117"
"290","3","1061","0","118"
"291","4","1061","0","119"
"292","5","1061","0","120"
"294","1","1063","0","121"
"295","2","1063","0","122"
"296","3","1063","0","123"
"297","4","1063","0","124"
"299","1","1064","0","125"
"300","2","1064","0","126"
"301","3","1064","0","127"
"302","4","1064","0","128"
"304","1","1065","0","129"
"305","2","1065","0","130"
"306","3","1065","0","131"
"307","4","1065","0","132"
"308","1","1066","0","133"
"310","2","1066","0","134"
"311","3","1066","0","135"
"312","4","1066","0","136"
"313","1","1067","0","137"
"315","2","1067","0","138"
"316","3","1067","0","139"
"317","4","1067","0","140"
"318","1","1068","0","141"
"320","2","1068","0","142"
"321","3","1068","0","143"
"322","4","1068","0","144"
"323","1","1069","0","145"
"325","2","1069","0","146"
"326","3","1069","0","147"
"327","4","1069","0","148"
"328","1","1070","0","149"
"330","2","1070","0","150"
"331","3","1070","0","151"
"332","4","1070","0","152"
"333","1","1071","0","153"
"335","2","1071","0","154"
"336","3","1071","0","155"
"337","4","1071","0","156"
"338","1","1072","0","157"
"340","2","1072","0","158"
"341","3","1072","0","159"
"342","4","1072","0","160"
"343","1","1073","0","161"
"345","2","1073","0","162"
"346","3","1073","0","163"
"347","4","1073","0","164"
"348","1","1074","0","165"
"350","2","1074","0","166"
"351","3","1074","0","167"
"352","4","1074","0","168"
"353","1","1075","0","169"
"355","2","1075","0","170"
"356","3","1075","0","171"
"357","4","1075","0","172"
"358","1","1076","0","173"
"360","2","1076","0","174"
"361","3","1076","0","175"
"362","4","1076","0","176"
"363","1","1077","0","177"
"365","2","1077","0","178"
"366","3","1077","0","179"
"367","4","1077","0","180"
"368","1","1078","0","181"
"370","2","1078","0","182"
"371","3","1078","0","183"
"372","4","1078","0","184"
"373","1","1079","0","185"
"375","2","1079","0","186"
"376","3","1079","0","187"
"377","4","1079","0","188"
"378","1","1080","0","189"
"380","2","1080","0","190"
"381","3","1080","0","191"
"382","4","1080","0","192"
