f4866d9a58e84f5aa653d2faacf4bbcdf22a8c8f971a2dcf81a6c79dd3a5e336,0331a71d1d81c03f0459f26fc33fdfc1f1c07a6c77bb9a1c352ec84422135677,e3c6c4f358fd8be31883a395a013de6e6a8a41dcd2c3db79d5d36bb9a3aff582,2eb7097b8d7ef4f93b6ca76953e29e32c333916b5b7c63cdadc455c72914f739,3d07ef4f29c4731192bbaf0d98008d355be957340442bcdd34c2c3c4eceb4ac4,5877d0efc148fc9eeeaf4c0952d4c93daf51ac7e24a018c9d91d5f7d7fabeb0a,38dc4be3add013038b19f11b750d31cca3c8b5e37a9c299543b135ced983decd,2eeed8848e7f3bf0e4b0a2ec6b3924ec856dd21d2a293f2c3de5a604e4c779b8,ce6c590f60de1b91be0e87ba0fbd692aab99d47824fca922201512f02e18321d,4750df62a70b7cc083f2feabb1717f1b3a6bda1dfcaca4cf7ae9add1b7546917
"260311020","3","究極錬成を5回行おう","26031","22","5","100","0","5","1001"
"260311021","3","究極錬成を10回行おう","26031","22","10","200","0","5","1002"
"260311022","3","究極錬成を30回行おう","26031","22","30","300","0","5","1003"
"260311023","3","究極錬成を50回行おう","26031","22","50","400","0","5","1004"
"260311024","3","究極錬成を70回行おう","26031","22","70","500","0","5","1005"
"260311025","3","究極錬成を100回行おう","26031","22","100","1000","0","5","1006"
"260311026","3","コネクトRANKを合計10上げよう","26031","42","10","1000","0","5","1007"
"260311027","3","キャラのレベルを合計で100上げよう","26031","56","100","1000","0","5","1008"
"260311028","3","キャラのレベルを合計で200上げよう","26031","56","200","2000","0","5","1009"
"260311029","3","黎明界ラビリンスをスキップせずに5回クリアしよう","26031","55","5","1000","0","5","1010"
"260311030","3","黎明界ラビリンスをスキップせずに10回クリアしよう","26031","55","10","2000","0","5","1011"
"260411001","1","ゲームに1回ログインしよう","26041","43","1","200","0","3","1"
"260411002","1","スタミナを500消費しよう","26041","45","500","200","0","3","2"
"260411003","1","経験値クエストかマナクエストを合計4回クリアしよう","26041","47","4","200","0","3","3"
"260411004","1","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","26041","48","10","200","0","3","4"
"260411005","1","深域クエストを10回クリアしよう","26041","49","10","200","0","3","5"
"260411006","3","究極錬成を5回行おう","26041","22","5","100","0","5","1001"
"260411007","3","究極錬成を10回行おう","26041","22","10","200","0","5","1002"
"260411008","3","究極錬成を30回行おう","26041","22","30","300","0","5","1003"
"260411009","3","究極錬成を50回行おう","26041","22","50","400","0","5","1004"
"260411010","3","究極錬成を70回行おう","26041","22","70","500","0","5","1005"
"260411011","3","究極錬成を100回行おう","26041","22","100","1000","0","5","1006"
"260411012","3","コネクトRANKを合計10上げよう","26041","42","10","1000","0","5","1007"
"260411013","3","キャラのレベルを合計で100上げよう","26041","56","100","1000","0","5","1008"
"260411014","3","キャラのレベルを合計で200上げよう","26041","56","200","2000","0","5","1009"
"260411015","3","黎明界ラビリンスをスキップせずに5回クリアしよう","26041","55","5","1000","0","5","1010"
"260411016","3","黎明界ラビリンスをスキップせずに10回クリアしよう","26041","55","10","2000","0","5","1011"
"260511001","1","ゲームに1回ログインしよう","26051","43","1","200","0","3","1"
"260511002","1","スタミナを500消費しよう","26051","45","500","200","0","3","2"
"260511003","1","経験値クエストかマナクエストを合計4回クリアしよう","26051","47","4","200","0","3","3"
"260511004","1","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","26051","48","10","200","0","3","4"
"260511005","1","深域クエストを10回クリアしよう","26051","49","10","200","0","3","5"
"260511006","3","究極錬成を5回行おう","26051","22","5","100","0","5","1001"
"260511007","3","究極錬成を10回行おう","26051","22","10","200","0","5","1002"
"260511008","3","究極錬成を30回行おう","26051","22","30","300","0","5","1003"
"260511009","3","究極錬成を50回行おう","26051","22","50","400","0","5","1004"
"260511010","3","究極錬成を70回行おう","26051","22","70","500","0","5","1005"
"260511011","3","究極錬成を100回行おう","26051","22","100","1000","0","5","1006"
"260511012","3","コネクトRANKを合計10上げよう","26051","42","10","1000","0","5","1007"
"260511013","3","キャラのレベルを合計で100上げよう","26051","56","100","1000","0","5","1008"
"260511014","3","キャラのレベルを合計で200上げよう","26051","56","200","2000","0","5","1009"
"260511015","3","黎明界ラビリンスをスキップせずに5回クリアしよう","26051","55","5","1000","0","5","1010"
"260511016","3","黎明界ラビリンスをスキップせずに10回クリアしよう","26051","55","10","2000","0","5","1011"
"260611001","1","ゲームに1回ログインしよう","26061","43","1","200","0","3","1"
"260611002","1","スタミナを500消費しよう","26061","45","500","200","0","3","2"
"260611003","1","経験値クエストかマナクエストを合計4回クリアしよう","26061","47","4","200","0","3","3"
"260611004","1","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","26061","48","10","200","0","3","4"
"260611005","1","深域クエストを10回クリアしよう","26061","49","10","200","0","3","5"
"260611006","3","究極錬成を5回行おう","26061","22","5","100","0","5","1001"
"260611007","3","究極錬成を10回行おう","26061","22","10","200","0","5","1002"
"260611008","3","究極錬成を30回行おう","26061","22","30","300","0","5","1003"
"260611009","3","究極錬成を50回行おう","26061","22","50","400","0","5","1004"
"260611010","3","究極錬成を70回行おう","26061","22","70","500","0","5","1005"
"260611011","3","究極錬成を100回行おう","26061","22","100","1000","0","5","1006"
"260611012","3","コネクトRANKを合計10上げよう","26061","42","10","1000","0","5","1007"
"260611013","3","キャラのレベルを合計で100上げよう","26061","56","100","1000","0","5","1008"
"260611014","3","キャラのレベルを合計で200上げよう","26061","56","200","2000","0","5","1009"
"260611015","3","黎明界ラビリンスをスキップせずに5回クリアしよう","26061","55","5","1000","0","5","1010"
"260611016","3","黎明界ラビリンスをスキップせずに10回クリアしよう","26061","55","10","2000","0","5","1011"
"260711001","1","ゲームに1回ログインしよう","26071","43","1","200","0","3","1"
"260711002","1","スタミナを500消費しよう","26071","45","500","200","0","3","2"
"260711003","1","経験値クエストかマナクエストを合計4回クリアしよう","26071","47","4","200","0","3","3"
"260711004","1","メイン・イベント・サイドいずれかのクエストを10回クリアしよう","26071","48","10","200","0","3","4"
"260711005","1","深域クエストを10回クリアしよう","26071","49","10","200","0","3","5"
"260711006","3","究極錬成を5回行おう","26071","22","5","100","0","5","1001"
"260711007","3","究極錬成を10回行おう","26071","22","10","200","0","5","1002"
"260711008","3","究極錬成を30回行おう","26071","22","30","300","0","5","1003"
"260711009","3","究極錬成を50回行おう","26071","22","50","400","0","5","1004"
"260711010","3","究極錬成を70回行おう","26071","22","70","500","0","5","1005"
"260711011","3","究極錬成を100回行おう","26071","22","100","1000","0","5","1006"
"260711012","3","コネクトRANKを合計10上げよう","26071","42","10","1000","0","5","1007"
"260711013","3","キャラのレベルを合計で100上げよう","26071","56","100","1000","0","5","1008"
"260711014","3","キャラのレベルを合計で200上げよう","26071","56","200","2000","0","5","1009"
"260711015","3","黎明界ラビリンスをスキップせずに5回クリアしよう","26071","55","5","1000","0","5","1010"
"260711016","3","黎明界ラビリンスをスキップせずに10回クリアしよう","26071","55","10","2000","0","5","1011"
