c49b9adbb44a47187c88d75bc4043276bcb0352beaaffd93d0475d2dab53be2d,021081db7b04ccf4ac4841f4d0660454bdaa240ad4942cbaca6ad96025695fd4,19b609bd9d99a55792aa41ea2fb862b9bb9650cc0000bc36c58a4b59ecdfa418,17c45aeef687e17d7d45980c07e34eb69b2b3777ebff66979d71a29127f38184,8bf60f6c13f214d396c02702a6fc9668b570a5bb0793ee1bb85d0075f0b4a9da,7806f651011540398111404cb5707fb695a0b92579be2d73372274efa8211686,0d156ef8f5d3c0a31893bb4cf43d0dff12cf3e9bba9ff3a0708f5e95159aa809,67461e3f8430ec66f79f84d3caea46e0fe498cefbe5b88df659f1db442b54a9e,04290aadd30f132e08c410c8ab73f08cf978a54f0c1ed5c34163d2ae926cda7f,b93687b758385512ff86a36e796292d692c2f7923f92304dc0cd066aae4eb68b,c1c6e0b73710e4d200e773650c46ac0f778c10ce20d224e5214d76f79f6d7a1e,cc8953d47c9e399d5d269263356be1e1e80818922b26b83d6e00b31f3fde4c76
"1010001","1","0","0","2","0","1","vo_10020900_0001","0","vo_10020900","0","0"
"1010002","2","0","0.818181818181818","1","180","1","0","1","0","0","0"
"1010003","3","1","0","4","0","1","0","1","0","0.818181818181818","0"
"1010004","4","0","0.634285714285714","1","148","1","0","2","0","0","0"
"1010005","5","1","0","4","0","1","0","2","0","1.03428571428571","0"
"1010006","6","0","1.33714285714286","1","460","1","0","2","0","0","148"
"1010007","7","1","0","4","0","1","0","2","0","2.13714285714286","0"
"1010008","8","0","0","2","0","1","vo_10020900_0002","0","vo_10020900","0","0"
"1010009","9","0","1.12948051948052","1","223","1","0","3","0","0","0"
"1010010","10","1","0","4","0","1","0","3","0","2.12948051948052","0"
"1010011","11","0","0","2","0","1","vo_10020900_0003","0","vo_10020900","0","0"
"1010012","12","0","0.545454545454545","1","343","1","0","3","0","0","223"
"1010013","13","1","0","4","0","1","0","3","0","1.04545454545455","0"
"1010014","14","0","1.71545454545455","1","700","1","0","3","0","0","343"
"1010015","15","1","0","4","0","1","0","3","0","2.71545454545455","0"
"1010016","16","0","0","2","0","1","vo_10020900_0004","0","vo_10020900","0","0"
"1010017","17","0","1.67857142857143","1","275","1","0","4","0","0","0"
"1010018","18","1","0","4","0","1","0","4","0","2.17857142857143","0"
"1010019","19","0","0","2","0","1","vo_10020900_0005","0","vo_10020900","0","0"
"1010020","20","0","1.28311688311688","1","465","1","0","4","0","0","275"
"1010021","21","1","0","4","0","1","0","4","0","1.98311688311688","0"
"1010022","22","0","1.2987012987013","1","715","1","0","4","0","0","465"
"1010023","23","1","0","4","0","1","0","4","0","1.9987012987013","0"
"1010024","24","0","2.07792207792208","1","400","1","0","5","0","0","0"
"1010025","25","1","0","4","0","1","0","5","0","3.07792207792208","0"
"1010026","26","0","0","2","0","1","vo_10020900_0006","0","vo_10020900","0","0"
"1010027","27","0","1.06363636363636","1","182","1","0","6","0","0","0"
"1010028","28","1","0","4","0","1","0","6","0","1.56363636363636","0"
"1010029","29","0","2.96","1","700","1","0","6","0","0","182"
"1010030","30","1","0","4","0","1","0","6","0","3.96","0"
"1010031","31","0","0","2","0","1","vo_10020900_0007","0","vo_10020900","0","0"
"1010032","32","0","0.386363636363636","1","85","1","0","7","0","0","0"
"1010033","33","1","0","4","0","1","0","7","0","0.886363636363636","0"
"1010034","34","0","3.54090909090909","1","750","1","0","7","0","0","85"
"1010035","35","1","0","4","0","1","0","7","0","4.54090909090909","0"
"1010036","36","0","0","2","0","1","vo_10020900_0008","0","vo_10020900","0","0"
"1010037","37","0","0.431818181818182","1","95","1","0","8","0","0","0"
"1010038","38","1","0","4","0","1","0","8","0","1.03181818181818","0"
"1010039","39","0","0","2","0","1","vo_10020900_0009","0","vo_10020900","0","0"
"1010040","40","0","0.709090909090909","1","235","1","0","8","0","0","95"
"1010041","41","1","0","4","0","1","0","8","0","1.30909090909091","0"
"1010042","42","0","0","2","0","1","vo_10020900_0010","0","vo_10020900","0","0"
"1010043","43","0","3.07662337662338","1","750","1","0","8","0","0","235"
"1010044","44","1","0","4","0","1","0","8","0","4.07662337662338","0"
"1010045","45","0","0","2","0","1","vo_10020900_0011","0","vo_10020900","0","0"
"1010046","46","0","1.43506493506493","1","170","1","0","9","0","0","0"
"1010047","47","1","0","4","0","1","0","9","0","2.43506493506493","0"
"1010048","48","0","0","2","0","1","vo_10020900_0012","0","vo_10020900","0","0"
"1010049","49","0","2.75","1","720","1","0","9","0","0","170"
"1010050","50","1","0","4","0","1","0","9","0","3.95","0"
"1010051","51","0","0","2","0","1","vo_10020900_0013","0","vo_10020900","0","0"
"1010052","52","0","1.67792207792208","1","585","1","0","10","0","0","170"
"1010053","53","1","0","4","0","1","0","10","0","2.27792207792208","0"
"1010054","54","0","0.9","1","750","1","0","10","0","0","585"
