6719c959907b86ec3b3bd0470049ea069601f66b5f983587c2d5f1dc04fd2dd1,c7ecfb2d77b6a49affa4beb444d62d04c076e9ff1b26ae660ccbcf4908729c7b,a2ca82607ae01265541f22143dad772249aaec7bb63d902989292dd5b528f282,b6fcbb6ede9154c783eeb79b755977cd01ad8eeb2997d6513df85d548df4d01b,c77b06ab4531c29b4a425072ea82c90151998bb168fcd7053e5bc80434631cf4
"100","1","8","91002","1"
"100","2","8","91002","2"
"100","3","8","91002","3"
"100","4","8","91002","4"
"100","5","8","91002","5"
"500","6","2","23003","6"
"100","7","4","140001","7"
"1","8","2","21953","8"
"500","9","2","23003","9"
"100","10","2","25001","10"
"100","11","2","90005","11"
"1","12","2","41000","12"
"500","13","2","23003","13"
"10000","14","2","25011","14"
"10000","15","2","25012","15"
"10000","16","2","25013","16"
"10000","17","2","25014","17"
"10000","18","2","25015","18"
"5000","19","2","25021","19"
"1","20","2","25101","20"
"100","21","2","23003","21"
"10000","22","2","25011","22"
"10000","23","2","25012","23"
"10000","24","2","25013","24"
"10000","25","2","25014","25"
"10000","26","2","25015","26"
"5000","27","2","25021","27"
"100","28","8","91002","28"
"150","29","2","23003","29"
"150","30","2","23003","30"
"150","31","2","23003","31"
"150","32","2","23003","32"
"150","33","2","23003","33"
"150","34","2","23003","34"
"50000","35","2","26202","35"
"50000","36","2","26202","36"
"1","37","2","26203","37"
"50000","38","2","26202","38"
"50000","39","2","26202","39"
"1","40","2","26203","40"
"50000","41","2","26202","41"
"50000","42","2","26202","42"
"1","43","2","26203","43"
"50000","44","2","26202","44"
"50000","45","2","26202","45"
"1","46","2","26203","46"
"50000","47","2","26202","47"
"50000","48","2","26202","48"
"1","49","2","26203","49"
"100000","50","2","26202","50"
"100000","51","2","26202","51"
"1","52","2","26203","52"
"100000","53","2","26202","53"
"100000","54","2","26202","54"
"1","55","2","26203","55"
"100000","56","2","26202","56"
"100000","57","2","26202","57"
"1","58","2","26203","58"
"100000","59","2","26202","59"
"100000","60","2","26202","60"
"1","61","2","26203","61"
"100000","62","2","26202","62"
"100000","63","2","26202","63"
"1","64","2","26203","64"
