b937f3fa28d6b0c3cadd7faa1781df0517a81fa50535ceb5c943d1ba3843df07,9ef645e6f73bd8b6010c4fdd9f6ada2bf083df9eab00974fb13725ded2ae88c9,e42ae089b8aa28dcc41bb1ae533327009a97146a717573a9c33cbda867f3d53e,aa5cdcf078fdd6c6102553a69207c9d10224572359f130e924a8b674f4610503,ed71259e4da99943e18bf8351a67d777f22532a5d9317aa76e58e85c15e2c5c6,2b1e20f6186d3dbe8997a14afc4f1eea3e38e596b493a5e693cd992e3b6ff0ee,ee119af9fdc424e31445eab1806b0a30ec12aae0334000c69a1fc8f8683102ad,3f2b5e4812fae43051889842c080555cd9fc9ea6341f7a559836cfdd377fe409,40632fe1cab1ec28e27e674fa47c959d4315f9ecf511ce04757c8a5b982d6582,09b8cc9ff25a2f319425023ccb31fa3595977f0e673c80124d31e92e8c12655d
"0","0","0","1","vo_10011600","2","1010001","1","vo_10011600_0101",""
"8","0","0","1","0","1","1010002","2","0","　明日から"
"0","1","1.625","1","0","4","1010003","3","0",""
"10","0","0","1","0","1","1010004","4","0","聖テレサ女学院に通うことになっちゃった！"
"0","1","4","1","0","4","1010005","5","0",""
"0","0","0","1","vo_10011600","2","1010006","6","vo_10011600_0102",""
"8","0","0","1","0","1","1010007","7","0","　なんで、"
"0","1","1.375","1","0","4","1010008","8","0",""
"9","0","0","1","0","1","1010009","9","0","どうしてこんなことになっちゃったんだろう。\n"
"0","1","3.33333333333333","1","0","4","1010010","10","0",""
"0","0","0","1","vo_10011600","2","1010011","11","vo_10011600_0103",""
"8","0","0","1","0","1","1010012","12","0","ミサト先生は"
"0","1","1.75","1","0","4","1010013","13","0",""
"10","0","0","1","0","1","1010014","14","0","私ならきっとやれると言ってくれたけど……"
"0","1","3","1","0","4","1010015","15","0",""
"8","0","0","1","0","1","1010016","16","0","絶対ムリだー！\n"
"0","1","3.875","1","0","4","1010017","17","0",""
"0","0","0","1","vo_10011600","2","1010018","18","vo_10011600_0104",""
"8","0","0","1","0","1","1010019","19","0","でも。"
"0","1","2.375","1","0","4","1010020","20","0",""
"8","0","0","1","0","1","1010021","21","0","でも……"
"0","1","2.5","1","0","4","1010022","22","0",""
"0","0","0","1","vo_10011600","2","1010023","23","vo_10011600_0105",""
"8","0","0","1","0","1","1010024","24","0","でも、"
"0","1","1.375","1","0","4","1010025","25","0",""
"8","0","0","1","0","1","1010026","26","0","もしも、"
"0","1","1.5","1","0","4","1010027","27","0",""
"8","0","0","1","0","1","1010028","28","0","私が聖テレサ女学院で頑張ることが出来たら。\n\n"
"0","1","4.875","1","0","4","1010029","29","0",""
"0","0","0","1","vo_10011600","2","1010030","30","vo_10011600_0106",""
"6","0","0","1","0","1","1010031","31","0","……友達、"
"0","1","1.58333333333333","1","0","4","1010032","32","0",""
"8","0","0","1","0","1","1010033","33","0","できるかな？"
"0","1","1.75","1","0","4","1010034","34","0",""
"0","0","0","2","vo_10011600","2","1020001","1","vo_10011600_0201",""
"8","0","0","2","0","1","1020002","2","0","　ごきげんようという挨拶で"
"0","1","2.375","2","0","4","1020003","3","0",""
"8","0","0","2","0","1","1020004","4","0","私のぼっち心は最初から爆発寸前。\n"
"0","1","4","2","0","4","1020005","5","0",""
"0","0","0","2","vo_10011600","2","1020006","6","vo_10011600_0202",""
"8","0","0","2","0","1","1020007","7","0","ところが、"
"0","1","1.125","2","0","4","1020008","8","0",""
"8","0","0","2","0","1","1020009","9","0","なんとそこにBB団の団長さんが登場！"
"0","1","3.75","2","0","4","1020010","10","0",""
"0","0","0","2","vo_10011600","2","1020011","11","vo_10011600_0203",""
"8","0","0","2","0","1","1020012","12","0","　BB団の絆は"
"0","1","1.875","2","0","4","1020013","13","0",""
"8","0","0","2","0","1","1020014","14","0","どんな場所だろうと離れることはないんですね！\n"
"0","1","3.75","2","0","4","1020015","15","0",""
"0","0","0","2","vo_10011600","2","1020016","16","vo_10011600_0204",""
"8","0","0","2","0","1","1020017","17","0","そして、"
"0","1","1","2","0","4","1020018","18","0",""
"8","0","0","2","0","1","1020019","19","0","あの人と一緒にやってきた"
"0","1","2","2","0","4","1020020","20","0",""
"8","0","0","2","0","1","1020021","21","0","聖テレサ女学院"
"0","1","1.125","2","0","4","1020022","22","0",""
"8","0","0","2","0","1","1020023","23","0","（なかよし部）のみなさんとお知り合いに。"
"0","1","3.5","2","0","4","1020024","24","0",""
"0","0","0","2","vo_10011600","2","1020025","25","vo_10011600_0205",""
"8","0","0","2","0","1","1020026","26","0","　なんだかとても個性的な方々で、"
"0","1","3","2","0","4","1020027","27","0",""
