858afba2e24a4adc053d39cd7bb947e8e55cfa82066e2714b78e4831eb5023bb,3ea014c3f918f89c71c78530a6888638411e24017072092b6a6f814ddb70a558,40642fc5b6b3252a319f977ed7735fe6661a1c8f297634a1f9789f5866be7a60,8edcdbbd0121ab684085e4a07aaafebfdcf9fef9721c7b7e373b4ab8a12718a7,5fc1851c84024a3eba0d3c130fb904f4750b79ca0bb706f843614e9344fb5904,f3128ed912131a6faa14d2b22c995d550a67091c997c560fa63518524a41850b,05ac3f0e78b6b047b9547b6b1e0c2760f24376cd5fe9ceba7c95bb52f1aeab57,5d73857a77c979d43efaa019bf2b13cf30e28df75b9381022f08220d03dc47de,6e221ba98cb270a105245c9959259d87339d6f1c5706106a4cd9da5b75ad86da
"10","1","30000","0","10000","1","90043","90001","12000"
"20","2","30000","0","10000","2","90047","90002","24000"
"20","3","30000","0","10000","3","90047","90002","24000"
"20","4","30000","0","10000","4","90047","90002","24000"
"20","5","30000","0","10000","5","90047","90002","24000"
"20","6","30000","0","10000","6","90047","90002","24000"
"20","7","30000","0","10000","7","90047","90002","24000"
"20","8","30000","0","10000","8","90047","90002","24000"
"20","9","30000","0","10000","9","90047","90002","24000"
"20","10","30000","0","10000","10","90047","90002","24000"
"40","11","30000","90011","10000","11","90051","90003","48000"
"40","12","30000","90011","10000","12","90051","90003","48000"
"40","13","30000","90011","10000","13","90051","90003","48000"
"40","14","30000","90011","10000","14","90051","90003","48000"
"40","15","30000","90011","10000","15","90051","90003","48000"
"40","16","30000","90011","10000","16","90051","90003","48000"
"40","17","30000","90011","10000","17","90051","90003","48000"
"40","18","30000","90011","10000","18","90051","90003","48000"
"40","19","30000","90011","10000","19","90051","90003","48000"
"40","20","30000","90011","10000","20","90051","90003","48000"
"60","21","30000","90015","10000","21","90055","90004","72000"
"60","22","30000","90015","10000","22","90055","90004","72000"
"60","23","30000","90015","10000","23","90055","90004","72000"
"60","24","30000","90015","10000","24","90055","90004","72000"
"60","25","30000","90015","10000","25","90055","90004","72000"
"60","26","30000","90015","10000","26","90055","90004","72000"
"60","27","30000","90015","10000","27","90055","90004","72000"
"60","28","30000","90015","10000","28","90055","90004","72000"
"60","29","30000","90015","10000","29","90055","90004","72000"
"60","30","30000","90015","10000","30","90055","90004","72000"
"80","31","30000","90015","10000","31","90059","90005","96000"
"80","32","30000","90015","10000","32","90059","90005","96000"
"80","33","30000","90015","10000","33","90059","90005","96000"
"80","34","30000","90015","10000","34","90059","90005","96000"
"80","35","30000","90015","10000","35","90059","90005","96000"
"80","36","30000","90015","10000","36","90059","90005","96000"
"80","37","30000","90015","10000","37","90059","90005","96000"
"80","38","30000","90015","10000","38","90059","90005","96000"
"80","39","30000","90015","10000","39","90059","90005","96000"
"80","40","30000","90015","10000","40","90059","90005","96000"
"120","41","30000","90017","10000","41","90063","90005","144000"
"120","42","30000","90017","10000","42","90063","90005","144000"
"120","43","30000","90017","10000","43","90063","90005","144000"
"120","44","30000","90017","10000","44","90063","90005","144000"
"120","45","30000","90017","10000","45","90063","90005","144000"
"120","46","30000","90017","10000","46","90063","90005","144000"
"120","47","30000","90017","10000","47","90063","90005","144000"
"120","48","30000","90017","10000","48","90063","90005","144000"
"120","49","30000","90017","10000","49","90063","90005","144000"
"120","50","30000","90017","10000","50","90063","90005","144000"
"150","51","30000","90019","10000","51","90067","90006","180000"
"150","52","30000","90019","10000","52","90067","90006","180000"
"150","53","30000","90019","10000","53","90067","90006","180000"
"150","54","30000","90019","10000","54","90067","90006","180000"
"150","55","30000","90019","10000","55","90067","90006","180000"
"150","56","30000","90019","10000","56","90067","90006","180000"
"150","57","30000","90019","10000","57","90067","90006","180000"
"150","58","30000","90019","10000","58","90067","90006","180000"
"150","59","30000","90019","10000","59","90067","90006","180000"
"150","60","30000","90019","10000","60","90067","90006","180000"
"180","61","30000","90021","10000","61","90071","90007","216000"
"180","62","30000","90021","10000","62","90071","90007","216000"
"180","63","30000","90021","10000","63","90071","90007","216000"
"180","64","30000","90021","10000","64","90071","90007","216000"
"180","65","30000","90021","10000","65","90071","90007","216000"
"180","66","30000","90021","10000","66","90071","90007","216000"
"180","67","30000","90021","10000","67","90071","90007","216000"
"180","68","30000","90021","10000","68","90071","90007","216000"
"180","69","30000","90021","10000","69","90071","90007","216000"
"180","70","30000","90021","10000","70","90071","90007","216000"
