416dc30b0acb1f40986594298736cf9f18898c4dfa85f219a4cf675dfdd0261b,9c848ed3c92c076de502ac4caf8a57667e09773bfb0795f2c163aeefc67033d5,f8248cda7167669edd9ca435324b329b1fb16f289b22b6cb32005a1257a8cee7,9946219a2a053074d9abd97e59fd107918f96bfd5f2b8aa0aeeb0ccb8aff4405,65ecd65ed9d273aae8aacf72af3bfe00bb1a8b8ba17b73b3fbed6759892018b3,d86f410d08f6e83376f2b03e2365c8b4557411403996bcdfd344ae84a01586e8,cada41d03c76f013cbb62867d165a4ce691a08e6ffba47bfbbba3914763aa62f
"-10","0.8","0","0.8","100721","31001","300900"
"-40","0.7","0","0.7","100722","31002","302300"
"-40","0.8","0","0.8","100261","31003","302400"
"-20","0.9","0","0.9","100283","31004","302500"
"-10","0.9","0","0.9","101611","31005","301700"
"-40","0.7","0","0.7","102174","31006","310100"
"-60","0.3","-80","0.3","102751","31007","399800"
"20","0.9","-20","0.9","103001","31008","314901"
"-110","0.7","30","0.7","103232","31009","318405"
"-10","1","0","1","103371","31010","320100"
