8ebbbc084881a8adda7af9de532ee8b08b25ceaa63bf8ae5eae0f842af123a33,ab4c17adb705f597619a24fb0921a065a7467a0796da3d1886aab7a76a2859fe,1469410bd825d5d6a4fb3cdb228926e01da942348900095f7657acb9ca5fedee,8ed96ac16b94b550576a438b9667903c156df666db0b3389ccac762e61eb3e58,73328c105012eb7dbc90479501e509985f63f873bd5964c546648b31014ba08f,018fc4cbe542e1facd2c0ad5e59d809d6af566604807bbcfa962aa8863604e87,13fb284a440ed3c93a9d971203aa3d0ebb90b74bd3d479f62501fc1b3be3ec09,2bdcec574fcace3eeaa5271d3efac1e347a2ea1fb88ffbc092d6157e4fdccffd,4914917e3fc439a5677a9bee986fdd9157aca0b57e2093a6f9939684560184e0,0293a3cf71358d5ac8c363086172b6eb79ddab22de201902f2c78d678e1fc521,1ed7aae036b8d593cb51871a99dc70fbd68f5cc60970388843b0bf100b6a8c01,2dd0e8504cca894099a3091526d821d71cd80afb871ba92681b8e9e259bafdde
"ユイのカルテ　その１","2021/08/31 12:00:00","若さと微熱","91002","1007401","8","20","0","10074","100201","0","20041106"
"ユイのカルテ　その２","2021/08/31 12:00:00","この胸の高鳴りを","91002","1007402","8","20","1007401","10074","100201","0","20041112"
"ユイのカルテ　その３","2021/09/02 5:00:00","狂おしき病の名は","91002","1007403","8","30","1007402","10074","100201","0","20041115"
"ユニのカルテ　その１","2021/08/31 12:00:00","予期せぬ来訪者","91002","1007404","8","20","0","10074","111001","0","20041106"
"ユニのカルテ　その２","2021/08/31 12:00:00","お薬の時間","91002","1007405","8","20","1007404","10074","111001","0","20041112"
"ユニのカルテ　その３","2021/09/03 5:00:00","親愛なるあなたへ","91002","1007406","8","30","1007405","10074","111001","0","20041115"
"スズメのカルテ　その１","2021/08/31 12:00:00","奇妙な外来患者","91002","1007407","8","20","0","10074","102501","0","20041108"
"スズメのカルテ　その２","2021/08/31 12:00:00","恐るべき症例","91002","1007408","8","20","1007407","10074","102501","0","20041114"
"スズメのカルテ　その３","2021/09/04 5:00:00","現代医学の限界","91002","1007409","8","30","1007408","10074","102501","0","20041115"
"イリヤのカルテ　その１","2021/08/31 12:00:00","夜を統べる者の受難","91002","1007410","8","20","0","10074","104401","0","20041108"
"イリヤのカルテ　その２","2021/08/31 12:00:00","美しきプロデュース","91002","1007411","8","20","1007410","10074","104401","0","20041114"
"イリヤのカルテ　その３","2021/09/05 5:00:00","麗しのレッスン","91002","1007412","8","30","1007411","10074","104401","0","20041115"
"アンナのカルテ　その１","2021/08/31 12:00:00","見えない敵","91002","1007413","8","20","0","10074","100901","0","20041110"
"アンナのカルテ　その２","2021/08/31 12:00:00","封じられた魔法","91002","1007414","8","20","1007413","10074","100901","2004101","0"
"アンナのカルテ　その３","2021/09/06 5:00:00","隻眼の悪魔の特別診療","91002","1007415","8","30","1007414","10074","100901","2004101","0"
"シノブのカルテ　その１","2021/08/31 12:00:00","スカルサプライズ","91002","1007416","8","20","0","10074","103101","0","20041110"
"シノブのカルテ　その２","2021/09/01 5:00:00","迷える少女に救いの手を","91002","1007417","8","30","1007416","10074","103101","2004101","0"
