853027fb04be73ae919c6c0c7c48b197dce0ff3179690c60028ce3650bb170c1,756b9425a2ea9b7d59e1f29cd26781031e4cb0f7e61df5f30bd7d32e3011a669,31e5311e5cad7115e85f4cad683d315dd2e12f9cfb45b9995d8ceafb7df2cc8b,e0459a2c5cc0b84d01559c74d2d89d702bb128bfd1d376feac7ce719ef827c52,e89a771d854e3a6a6957ed9cd28f132894324a54b1714212d5c0b8e68e403402,8346d60b49afca8ce0afe534bd508e29337a7376907aee563169e8772cc69289,f834ca41dbc0e2d1dddebdf9a3091255ffad1c20b14256b44f6df956cb521340
"250","150","200","1","100","1004","50"
"400","240","320","2","160","1004","80"
"250","150","200","3","100","1004","50"
"250","150","200","5","100","1004","50"
"400","240","320","6","160","1004","80"
"3","1","2","12","1","1004","1"
"250","150","200","1","100","1005","50"
"250","150","200","3","100","1005","50"
"400","240","320","4","160","1005","80"
"250","150","200","5","100","1005","50"
"400","240","320","7","160","1005","80"
"3","1","2","13","1","1005","1"
"125","75","100","1","50","1010","25"
"200","120","160","2","80","1010","40"
"125","75","100","3","50","1010","25"
"125","75","100","5","50","1010","25"
"200","120","160","6","80","1010","40"
"125","75","100","1","50","1011","25"
"125","75","100","3","50","1011","25"
"200","120","160","4","80","1011","40"
"125","75","100","5","50","1011","25"
"200","120","160","7","80","1011","40"
