3178a526f70a5ba5d66b9eb6d6f7dad4faa026d38be0dbd763def777ca33f2cc,89a3ea6e6222f198e38d5cf2b81546bf17b2900e3fc9a4b5fe8d3db2126c4b1e,fd530a332aed8431d9a80918f0e30f1e8d042b6c2f223a568ae9508f91df5eaf,3c69bcd8f774acc7a49ef31bd3a9ab194eb0bf0e6ec5bb33774d1e2ab1e1c2d8,afb0cb5a987fcc838a2e0081e489edb5685d6c1011f34c95b769a14d0544e31f,a2203809abb895cee241d8d25238ba826f713e9832ec661cec4dd2b36ed78a77,561ef1b7d730db8d2607f7c3ee38e37763344d014046e5ee12697774bab1a75b,21312b4e2c352f175cc5c6dec5a913b2a0023f2550b684b2bf84efc5e9f5fdd8,01b0fed1d349601cf791a5fb5256882ba65768c472e63de8f6b87803efe1f610,457a84dc6648f5d004c3af9454b9eb325c62d02de9f1e18a9bba65c8e1a4dc0f,5c061d33f824caf7fae7891def70ed9e38f4bb1b55c787318adbac1c9d6578c0,147b1ea1069ce8720f234266af1a18a5adc96fef78c22509058d28535c241f26,1e6e78aa8a4dddee085421474725cb0adc03b7f86895e8a2af37d88805753217,6cc01b984e81b6637fc01ddbb83db65efc1d678b4728e21dc6f9b69003788356,3424cbd34d42de1c5bc72b2c91d310f14bbe11c81a43e9e9a3cb8eb545ede082,de719ac7260bd855d94cb11d390a2cfc685751965ab1fbb6267d46acafd99b02
"1001001","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1001002","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1001003","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1001004","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1001005","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1001006","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1001007","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1001008","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1001009","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1001010","8","2","91002","25001","25015","10","90008","200","500000","2","10","400","94002","12","2"
"1001011","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1001012","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1001013","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1001014","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1001015","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1001016","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1001017","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1001018","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1002001","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1002002","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1002003","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1002004","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1002005","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1002006","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1002007","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1002008","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1002009","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1002010","8","2","91002","25001","25015","10","90008","200","500000","2","10","400","94002","12","2"
"1002011","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1002012","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1002013","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1002014","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1002015","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1002016","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1002017","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1002018","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1003001","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1003002","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1003003","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1003004","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1003005","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1003006","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1003007","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1003008","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1003009","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1003010","8","2","91002","25001","25015","10","90008","200","500000","2","10","400","94002","12","2"
"1003011","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1003012","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1003013","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1003014","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1003015","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1003016","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1003017","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1003018","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
"1004001","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1004002","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1004003","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1004004","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1004005","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1004006","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1004007","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1004008","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1004009","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1004010","8","2","91002","25001","25015","10","90008","200","500000","2","10","400","94002","12","2"
"1004011","8","2","91002","25021","25011","50","90008","200","500000","2","10","400","94002","12","2"
"1004012","8","2","91002","25021","25012","50","90008","200","500000","2","10","400","94002","12","2"
"1004013","8","2","91002","25021","25013","50","90008","200","500000","2","10","400","94002","12","2"
"1004014","8","2","91002","25021","25014","50","90008","200","500000","2","10","400","94002","12","2"
"1004015","8","2","91002","25021","25015","50","90008","200","500000","2","10","400","94002","12","2"
"1004016","8","2","91002","25021","0","50","90008","200","500000","2","10","0","94002","12","0"
