eea71609343c5791eeabf98b1efc35a5a93c55d07693203fd471f36e81c08313,b86a07c45491fddd554c2a668802251bf7603301a2ace0dcf28c82cc1c941dc8,c1fb799e03e3275e661ce5e1ab9046a4fabca29954b39cd009c65bcac9339a32,ac3a420f5fe4fedde1a76571e722a17640b4cb0b73d414b55e2412ceeb7dc747,813846c7df8c27c76117b2513f72338f712000a69adbabd55afe6e60a34eaf33,042ae50702db2441d5fbd0916c6c3cabf16f59fb65fb33f0262ff321d727d823,e68babfedd36e6d4b3cd59443b9fd949a382a1e16c9caadb5385a5c4bc204ec1,262252f057835d57a5d821e4b4561d3a5fcada3500d568c7912f38bef1b4cbfc,c030f084118bf308a4244fb29b636417708317d81907c6e942a41fdc5764dc5d,5f1b8a85109310aff171812d8a6e4152ba303e7376b61f767c0bfaa8dd56fbbe,a36d7e74a9513db2dc962ad3da1eea42dcd9f0c2c6921bcd9191a133b0239e72,44a6cb5ed8d06cedb54dde68eb5f9b57f0bc7bb5a941d7c9fa6ca82d86e15fe1,ff4747fee6983d88bafb90d1abcba4abae3645d8b97ffaa513224f8307b1c68f,e51c4a4aa568948fce3a2cb318156bffeb06bbb0aeb5922f893e27380a69f2d1,de9dd70a11df512e0f1a1b029794c18543d42343833f96b60ec08bb1ff1e737d,8bb3f237755207368ac7b9eaee1be1fc4733d208732b82b7744c9df956c3e199,b28acd2b6c1e2f4dcb112ccbe9d3d45199799e37d45fc20df438a54e82c363f9,a6cb6b65791c513f2dc87802bb4c775dc3ab4e7da4303323011eba64c3cb6e68,6f5e21522d1d3d0d60ffbb4e2cd61687913a9f33476ec79c769a503c579d5cae
"3","1","3","0","1","610132501","0","1","0","12","0","","5","0","10132","289","5.5","-60","610132007"
"0","1","1","0","1","610132502","0","2","0","0","0","","5","70","10132","289","1.5","-60","610132008"
"0","1","1","0","1","0","0","3","0","0","0","","5","0","10132","289","1.5","-60","610132009"
"3","1","1","0","1.85","0","0","1","0","0","0","","5","55","10134","292","5.5","-50","610134007"
"0","1","3","0","1.85","610134502","0","2","0","30","0","","5","0","10134","292","1.5","-50","610134008"
"0","1","1","0","1.85","0","0","3","0","0","0","","5","0","10134","292","1.5","-50","610134009"
"3","1","2","0","1.1","610136501","0","1","0","0","600","","5","0","10136","295","5.5","0","610136007"
"0","1","1","0","1.5","0","0","2","0","0","0","","5","84","10136","295","1.5","-50","610136008"
"0","1","1","0","1.5","0","0","3","0","0","0","","5","0","10136","295","1.5","-50","610136009"
"0","1","1","0","0.85","0","0","1","0","0","0","","5","75","10137","295","5.5","0","610137007"
"0","1","1","0","0.85","0","0","2","0","0","0","","5","50","10137","295","1.5","0","610137008"
"0","1","1","0","0.85","0","0","3","0","0","0","","5","0","10137","295","1.5","0","610137009"
"3","1","1","0","1.4","0","0","1","0","0","0","","5","77","10140","298","5.5","0","610140007"
"0","1","1","0","1.4","0","0","2","0","0","0","","5","52","10140","298","1.5","0","610140008"
"0","1","1","0","1.4","0","0","3","0","0","0","","5","0","10140","298","1.5","0","610140009"
"3","1","1","0","1.45","0","0","1","0","0","0","","5","76","10142","301","5.5","-33","610142007"
"3","1","2","0","1.23","610142502","0","2","0","0","600","","5","0","10142","301","1.5","-40","610142008"
"0","1","1","0","1.45","0","0","3","0","0","0","","5","0","10142","301","1.5","-33","610142009"
"3","1","1","0","1","0","0","1","0","0","0","","5","65","10144","304","5.5","-33","610144007"
"3","1","2","0","0.85","610144502","0","2","0","0","600","","5","0","10144","304","1.5","-40","610144008"
"0","1","1","0","1","0","0","3","0","0","0","","5","0","10144","304","1.5","-33","610144009"
"3","1","2","0","0.87","610146501","0","1","0","0","600","","5","0","10146","307","5.5","-45","610146007"
"0","1","1","0","1.18","0","0","2","0","0","0","","5","58","10146","307","1.5","-45","610146008"
"0","1","1","0","1.18","0","0","3","0","0","0","","5","0","10146","307","1.5","-45","610146009"
"3","1","2","0","1.4","610148501","0","1","0","0","600","","5","0","10148","310","5.5","-50","610148007"
"0","1","1","0","1.7","0","0","2","0","0","0","","5","68","10148","310","1.5","-50","610148008"
"0","1","1","0","1.7","0","0","3","0","0","0","","5","0","10148","310","1.5","-50","610148009"
