780e895ab7398a6b938230a1b7b9cf7b720fb54fc55deb3e13ea18950346db2d,b7dba8cf9dafde290a49ed256f601e40085c88169d2c16c5290dbbee48fa0542,77535098f7f5ca57638363e3377b88ce8e1ba9e965152a7ef67a53ab4559d070,d1df96456c40d5656c0825e0b26f269ff252c65b596e358c090561132d225593,3a00fa6f0adc4347678d565a8f08f1811c2ec9efe2cd7193a1bc2589abc7afc0,77ea31eca7342edfc87d341ee6c0ac2bc12dec951cb7345f45533a404486347c,00967612f7531fdff5cbd20a5d834195cf7c3cf1c640cf41109fbafbf9b91bdc,6b6f177a437d423e38e75c00d1200af825fd323635a9f784234c740c3d02722a,20526186bdb0439b829bb759c5cad59ccea3a8c6509c268bcc4645fa41aa1ec4,dcee350fe2fcfe4f0c7b16a45e84b4e67bf5187177390af669c76eda07ef4549,fbead0bfddaadbf40940b6944d154fc460f59f253d3bdfdfe96a6dd1d919a8fe
"bgm_M321","","","4514","25","bgm_M321_2C","","","","4514001",""
"1","250","wac_birthday_idle_normal","4514","1","105811","-1000","0","-70","4514002","2"
"1","256","wac_birthday_idle_doya","4514","1","106011","200","1","-270","4514003","2"
"1","258","wac_birthday_idle_wish","4514","1","105911","320","1","-310","4514004","2"
"1","257","wac_birthday_idle_smile","4514","1","106431","440","1","-290","4514005","2"
"105811","","","4514","13","300","","","","4514006",""
"106011","","","4514","13","300","","","","4514007",""
"600","0","","4514","31","600","0","","1","4514008","1"
"602","0","","4514","31","602","0","","1","4514009","0"
"603","0","","4514","31","603","0","","1","4514010","0"
"604","30","","4514","31","604","60","","1","4514011","1"
"611","0","","4514","31","611","0","","1","4514012","1"
"700","0","","4514","31","700","0","","1","4514013","0"
"701","0","","4514","31","701","0","","1","4514014","0"
"702","0","","4514","31","702","0","","1","4514015","0"
"800","0","","4514","31","800","0","","1","4514016","0"
"900","30","","4514","31","900","60","","1","4514017","1"
"1","","","4514","93","","","","","4514018",""
"105911","0","","4514","3","wac_birthday_reaction_01","wac_birthday_reaction_03","0.2","1","4514019","0.2"
"0.1","","","4514","93","","","","","4514020",""
"106011","0","","4514","3","wac_birthday_reaction_05","wac_birthday_reaction_04","0.2","1","4514021","0.2"
"106431","0","","4514","3","wac_birthday_reaction_02","wac_birthday_reaction_03","0.2","1","4514022","0.2"
"0.3","","","4514","93","","","","","4514023",""
"105811","1","","4514","3","wac_birthday_run_01","","","","4514024","0.2"
"105811","-70","","4514","2","0","3","","","4514025",""
"2.5","","","4514","93","","","","","4514026",""
"602","","","4514","32","1","","","","4514027",""
"0.6","","","4514","93","","","","","4514028",""
"600","","","4514","32","0","","","","4514029",""
"611","","","4514","32","0","","","","4514030",""
"604","","","4514","32","0","","","","4514031",""
"701","","","4514","32","1","","","","4514032",""
"900","0","","4514","33","0","0.01","","","4514033",""
"105811","0","","4514","3","wac_birthday_blowout_02","wac_birthday_wish_02","0.2","1","4514034","0.2"
"105811","-330","","4514","2","-200","0.01","","","4514035",""
"106011","1","","4514","3","wac_birthday_idle_doya","","","","4514036","0.2"
"106011","-320","","4514","2","180","0.01","","","4514037",""
"105911","1","","4514","3","wac_birthday_idle_wish","","","","4514038","0.2"
"105911","-360","","4514","2","300","0.01","","","4514039",""
"106431","1","","4514","3","wac_birthday_idle_smile","","","","4514040","0.2"
"106431","-340","","4514","2","420","0.01","","","4514041",""
"0","","","4514","93","","","","","4514042",""
"800","","","4514","32","1","","","","4514043",""
"0.7","","","4514","93","","","","","4514044",""
"702","","","4514","32","1","","","","4514045",""
"0.5","","","4514","93","","","","","4514046",""
"se_common","0","","4514","23","se_sys_login_birthday_blow_candle","","","","4514047",""
"701","","","4514","32","0","","","","4514048",""
"0.4","","","4514","93","","","","","4514049",""
"se_common","0","","4514","23","se_sys_login_birthday_cracker","","","","4514050",""
"700","","","4514","32","1","","","","4514051",""
"se_common","0","","4514","23","se_sys_login_birthday_calendar_applause","","","","4514052",""
"106011","0","","4514","3","wac_birthday_clap","wac_birthday_idle_doya","0.2","1","4514053","0.2"
"0.1","","","4514","93","","","","","4514054",""
"105911","0","","4514","3","wac_birthday_clap_to_wish","wac_birthday_idle_wish","0.2","1","4514055","0.2"
"0.1","","","4514","93","","","","","4514056",""
"106431","0","","4514","3","wac_birthday_clap","wac_birthday_idle_smile","0.2","1","4514057","0.2"
"2","","","4514","93","","","","","4514058",""
"1","","","4514","131","","","","","4514059",""
"vo_wac_04514","0","","4514","21","vo_wac_04514_000","0","","","4514060",""
"105811","10","0.5","4514","11","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","1","0","1","4514061","0"
"0","","","4514","91","","","","","4514062",""
"105811","1","","4514","3","wac_birthday_idle_kyapi","","","","4514063","0.2"
"106011","1","","4514","3","wac_birthday_talk_normal","","","","4514064","0.2"
"vo_wac_04514","0","","4514","21","vo_wac_04514_001","0","","","4514065",""
"106011","10","0.5","4514","11","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","1","0","1","4514066","0"
"0","","","4514","91","","","","","4514067",""
"106011","1","","4514","3","wac_birthday_idle_doya","","","","4514068","0.2"
"105811","1","","4514","3","wac_birthday_talk_kyapi","","","","4514069","0.2"
"vo_wac_04514","0","","4514","21","vo_wac_04514_002","0","","","4514070",""
"105811","10","0.5","4514","11","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","1","0","1","4514071","0"
"0","","","4514","91","","","","","4514072",""
"105811","1","","4514","3","wac_birthday_talk_wish","","","","4514073","0.2"
"vo_wac_04514","0","","4514","21","vo_wac_04514_003","0","","","4514074",""
"105811","10","0.5","4514","11","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","1","0","1","4514075","0"
"0","","","4514","91","","","","","4514076",""
"0","","","4514","22","","","","","4514077",""
"bgm_M321","","","4814","25","bgm_M321_2C","","","","4814001",""
"1","250","wac_birthday_idle_normal","4814","1","102011","-1000","0","-70","4814002","2"
"1","256","wac_birthday_idle_doya","4814","1","103611","230","1","-270","4814003","2"
"1","257","wac_birthday_idle_kyapi","4814","1","100411","410","1","-310","4814004","2"
"102011","","","4814","13","300","","","","4814005",""
"103611","","","4814","13","300","","","","4814006",""
"600","0","","4814","31","600","0","","1","4814007","1"
"602","0","","4814","31","602","0","","1","4814008","0"
"603","0","","4814","31","603","0","","1","4814009","0"
"604","30","","4814","31","604","60","","1","4814010","1"
"611","0","","4814","31","611","0","","1","4814011","1"
"700","0","","4814","31","700","0","","1","4814012","0"
"701","0","","4814","31","701","0","","1","4814013","0"
"702","0","","4814","31","702","0","","1","4814014","0"
"800","0","","4814","31","800","0","","1","4814015","0"
"901","30","","4814","31","901","60","","1","4814016","1"
"1","","","4814","93","","","","","4814017",""
"100411","0","","4814","3","wac_birthday_reaction_02","wac_birthday_reaction_03","0.2","1","4814018","0.2"
"0.1","","","4814","93","","","","","4814019",""
"103611","0","","4814","3","wac_birthday_reaction_01","wac_birthday_reaction_04","0.2","1","4814020","0.2"
"0.3","","","4814","93","","","","","4814021",""
"102011","1","","4814","3","wac_birthday_run_01","","","","4814022","0.2"
"102011","-70","","4814","2","0","3","","","4814023",""
"2.5","","","4814","93","","","","","4814024",""
"602","","","4814","32","1","","","","4814025",""
"0.6","","","4814","93","","","","","4814026",""
"600","","","4814","32","0","","","","4814027",""
"611","","","4814","32","0","","","","4814028",""
"604","","","4814","32","0","","","","4814029",""
"701","","","4814","32","1","","","","4814030",""
"901","0","","4814","33","0","0.01","","","4814031",""
"102011","0","","4814","3","wac_birthday_blowout_02","wac_birthday_wish_02","0.2","1","4814032","0.2"
"102011","-330","","4814","2","-200","0.01","","","4814033",""
"103611","1","","4814","3","wac_birthday_idle_doya","","","","4814034","0.2"
"103611","-320","","4814","2","180","0.01","","","4814035",""
"100411","1","","4814","3","wac_birthday_idle_kyapi","","","","4814036","0.2"
"100411","-340","","4814","2","320","0.01","","","4814037",""
"0","","","4814","93","","","","","4814038",""
"800","","","4814","32","1","","","","4814039",""
"0.7","","","4814","93","","","","","4814040",""
"702","","","4814","32","1","","","","4814041",""
"0.5","","","4814","93","","","","","4814042",""
"se_common","0","","4814","23","se_sys_login_birthday_blow_candle","","","","4814043",""
"701","","","4814","32","0","","","","4814044",""
"0.4","","","4814","93","","","","","4814045",""
"se_common","0","","4814","23","se_sys_login_birthday_cracker","","","","4814046",""
"700","","","4814","32","1","","","","4814047",""
"se_common","0","","4814","23","se_sys_login_birthday_calendar_applause","","","","4814048",""
"103611","0","","4814","3","wac_birthday_clap","wac_birthday_idle_doya","0.2","1","4814049","0.2"
"0.1","","","4814","93","","","","","4814050",""
"100411","0","","4814","3","wac_birthday_clap","wac_birthday_idle_kyapi","0.2","1","4814051","0.2"
"2","","","4814","93","","","","","4814052",""
"1","","","4814","131","","","","","4814053",""
"vo_wac_04814","0","","4814","21","vo_wac_04814_000","0","","","4814054",""
"102011","10","0.5","4814","11","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","1","0","1","4814055","0"
"0","","","4814","91","","","","","4814056",""
"102011","1","","4814","3","wac_birthday_idle_smile","","","","4814057","0.2"
"103611","1","","4814","3","wac_birthday_talk_doya","","","","4814058","0.2"
"vo_wac_04814","0","","4814","21","vo_wac_04814_001","0","","","4814059",""
"103611","10","0.5","4814","11","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","1","0","1","4814060","0"
"0","","","4814","91","","","","","4814061",""
"103611","1","","4814","3","wac_birthday_idle_doya","","","","4814062","0.2"
"102011","1","","4814","3","wac_birthday_talk_smile","","","","4814063","0.2"
"vo_wac_04814","0","","4814","21","vo_wac_04814_002","0","","","4814064",""
"102011","10","0.5","4814","11","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","1","0","1","4814065","0"
"0","","","4814","91","","","","","4814066",""
"102011","1","","4814","3","wac_birthday_talk_kyapi","","","","4814067","0.2"
"vo_wac_04814","0","","4814","21","vo_wac_04814_003","0","","","4814068",""
"102011","10","0.5","4814","11","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","1","0","1","4814069","0"
"0","","","4814","91","","","","","4814070",""
"0","","","4814","22","","","","","4814071",""
"bgm_M321","","","5014","25","bgm_M321_2C","","","","5014001",""
"1","250","wac_birthday_idle_normal","5014","1","100211","-1000","0","-70","5014002","2"
