c4e656c9ec9fdccee5fa2b9c5fa801da2ee5ab20f39e310f6807df3bcace631e,3a90184c7f2dbf87e15bbf08ceac425401b6bd7bb1161cc03a9de89575591a1f,3ac72fc46250e8852c4d91d0cf0ae721986c9e17c88c05d71c2b1f707abab9cf,c8e40d74e8eb1e5cf255073206fbb4cbfa7c301377cfbaa1d883c27b9727fda6,3d19f7f415b6c112b36223aa3d581661ce8bc1d4740cc30810d95716505a0ea6,1faea94893284aa97172267504745eb2815bafb636128a79bb1b0f542ecc8899
"2999180","0","3000","0","1","100111"
"2999101","0","10000","0","1","100112"
"2999167","0","10000","0","1","100121"
"2999168","0","10000","0","1","100122"
"2999169","0","10000","0","1","100123"
"2999170","0","10000","0","1","100124"
"2999171","0","10000","0","1","100125"
"2999172","0","5000","0","1","100131"
"2999173","0","5000","0","1","100132"
"2999174","0","5000","0","1","100133"
"2999175","0","5000","0","1","100134"
"2999176","0","5000","0","1","100135"
"2999182","0","10000","0","1","100211"
"2999102","0","100000","0","1","100221"
"2999103","0","40000","0","1","100231"
"2999102","0","100000","0","1","100232"
"2999184","0","10000","0","1","100311"
"2999183","0","200000","0","1","100321"
"2999185","0","1000000","0","1","100331"
"2999186","0","50000","0","1","100332"
"2999187","0","50000","0","1","100333"
"2999188","0","50000","0","1","100334"
"2999189","0","50000","0","1","100335"
"2999104","0","3000","0","1","100411"
"2999177","0","110","0","1","100412"
"2999105","0","5000","0","1","100421"
"2999178","0","130","0","1","100422"
"2999106","0","7000","0","1","100431"
"2999179","0","160","0","1","100432"
"2999190","0","3300","0","1","100511"
"2999107","0","20000","0","1","100521"
"2999108","0","20000","0","1","100522"
"2999109","0","20000","0","1","100523"
"2999110","0","20000","0","1","100524"
"2999111","0","20000","0","1","100525"
"2999112","0","20000","0","1","100531"
"2999113","0","20000","0","1","100532"
"2999114","0","20000","0","1","100533"
"2999115","0","20000","0","1","100534"
"2999116","0","20000","0","1","100535"
"14","0","5","0","14","110011"
"2999117","0","10000","0","1","110021"
"2999120","0","10000","0","1","110031"
"16","0","2","0","14","110041"
"2999101","0","1000","0","1","110051"
"105","0","2000","0","14","120011"
"2999121","0","5000","0","1","120021"
"2999124","0","5000","0","1","120031"
"2999127","0","1000","0","1","120041"
"2999128","0","1000","0","1","120051"
"2999129","0","1000","0","1","130011"
"100","0","1000","0","14","130021"
"101","0","1000","0","14","130022"
"107","0","3000","0","14","130031"
"6","0","1000","0","14","130041"
"7","0","1000","0","14","130042"
"9","0","10","0","14","130051"
"108","0","3000","0","14","140011"
"2999132","0","5000","0","1","140021"
"2999133","0","5000","0","1","140031"
"2","0","2000","0","14","140041"
"4","0","2000","0","14","140042"
"3","0","1000","0","14","140051"
"5","0","1000","0","14","140052"
"110","0","1000","0","14","150011"
"1","0","1000","0","14","150021"
