d4887dfd1cc2714f2e2e9a631cf4ab748c82f5a240387f882c42f7ae31796489,eab9e289e716c2555586dfa3bd213df0344f5941c80fe4043857bafd9183853a,818715f4da05f6a2f71183287f6a073f1edbdd5f105f3d5c80ce733a30cfd7c7,95f92868c23ada27c213967d571ae4fdb0046d99ed1eb7489eb077f07b6e496b,b32c99c860709852d587612b1dc330a14510502a0850131dba85a554cb69a2a0,c64b80fea13cbcba3451e99caedfc3eb395b0a80c6d0276d77ac3eca9fcfd78f,f51bd72c1016a1226f16de95132aaac9d399eb76d5a1bbc72cf47be90be66e0d,11a1d3e9ed380bd1c8fd6bea3b5b60f1907a4e2f175ce687762af156fcd257e8,8f7f6b909afd05c5d5b31e2bafaa1219227a1312a08cd53e361731d4c69fce11,422963e114a5104fb37699875a4bd4058c1cc571e566deb965e8c333eca63e63,633c8a56d85c25e8f666eb014470350e2313a8977cfbff27354ca02be424e795,57f1bd7b1e874684e631d88693b0c81d479c4917981b49e9ba39fb0a639c5c00,fd432acc5f2ae5deed5bf7db724f413e822c7522d165620fe2b6f12179a8f8ce,50208313425906abc5f3e5a0d845868d9265a95bfa4db35d72c8a3d0045ed022
"2","62","3.414","1","1000001","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","1","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","0","1","-416.5","カリン"
"2","62","3.099","1","1000002","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","2","ミッションをクリアして、\n報酬をゲットしましょう！","0","1","-416.5","カリン"
"2","63","2.801","1","1000003","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","3","受け取ることができる\n報酬があるようです\n確認してみてください","0","1","-416.5","カリン"
"2","63","0","2","1000004","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","4","報酬がもらえますよ！\nチェックしてみてください","0","1","-416.5","カリン"
"1","64","2.12","2","1000005","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","5","ギルド管理協会です！\nイベント報酬券をお持ちでしたら、様々なアイテムと交換できますよ","0","1","-363","カリン"
"2","64","1.68","1","1000006","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","6","お疲れさまです！\nこちらでイベント報酬券とアイテムを交換することができますよ","0","1","-363","カリン"
"1","64","2.33","2","1000007","190801","2030/01/01 14:59:59","2025/01/31 12:00:00","7","いつもありがとうございます！\n報酬交換ですか？\nでは、イベント報酬券とお引き換えいたしますね","0","1","-363","カリン"
"7","61","5.18","3","1020101","133701","2030/01/01 14:59:59","2025/01/31 12:00:00","101","今度の敵は、アタシにとっても\n放ってはおけない存在だ\n少年、アタシも全力で行くからさ\n一緒に守ろう、この世界を","-6","10201","-285","ラビリスタ"
"2","61","8.77","1","1020102","133901","2030/01/01 14:59:59","2025/01/31 12:00:00","201","退屈の吹き飛ぶような\n戦いの気配がするなぁ坊や\nさっさとワタシをそこへ連れてゆけ\n世界も守ってやるさ、ついでにな","-2","10201","-285","クリスティーナ"
"1","61","15.5","6","1020103","133801","2030/01/01 14:59:59","2025/01/31 12:00:00","301","おや、私の力が必要……と？\nグレゴールが手伝うそうですよ\n私は戦わないのか、という顔ですね\n……考えておきます","0","10201","-285","ネネカ"
"5","61","9.061","2","1020201","134301","2030/01/01 14:59:59","2025/02/28 12:00:00","101","わたしだけの歌…\n一緒に、探してくれる…？\nあなたがいれば…\nもっとがんばれるから…","0","10202","-285","ランファ"
"2","61","7.699","1","1020202","134401","2030/01/01 14:59:59","2025/02/28 12:00:00","201","同じ唱喚士として、仲間として\n私にできることをします\n…これも、あなたが\n背中を押してくれたおかげですよ","0","10202","-285","チカ"
"2","61","8.595","1","1020301","134601","2030/01/01 14:59:59","2025/03/31 12:00:00","101","世界の平和が私とクローチェさんに\nかかってるんですよね？\nぼっちには過大すぎる期待ですけど\nふ、二人でなら背負ってみせます！","0","10203","-285","アオイ"
"2","61","7.758","1","1020302","134501","2030/01/01 14:59:59","2025/03/31 12:00:00","201","新しく手に入れたこの翼で…\nナイトさんがどこにいたって\nわたし、駆けつけちゃいますよっ！\nクローチェ・エアリアル発進ですっ","0","10203","-285","クローチェ"
"6","61","7","2","1020401","132302","2030/01/01 14:59:59","2025/04/30 12:00:00","101","今日はダーリンとの初デート♪\n二人でショッピングして、その後は\n…って私、指名手配されてる！？\nちょ、た…助けてダーリン～！！","0","10204","-285","ルイズマリー"
"2","61","7.904","1","1020402","132402","2030/01/01 14:59:59","2025/04/30 12:00:00","201","ルイちゃんのおばあちゃん優しくて\nいつもにこにこで、イロハ大好き♪\nでも一番好きなのは、角がすっごく\n大きくてかっこいいとこなんだ～♪","0","10204","-285","イロハ"
"2","61","8.487","4","1020403","132502","2030/01/01 14:59:59","2025/04/30 12:00:00","301","ノゾミちゃんのおかげで売上が安定\nしてきたのに、臨時休業、痛すぎる\n…ま、ルイちゃんのために\n一肌脱ぐか。行くよイロハ～","0","10204","-285","ソノ"
