d74e2a1c2b05e7bba458bcb44f87bc41da0061686a871f24562cbb015d962066,3b9f1ab4da3692f20b46a4737fda4ed0b115f7abbcc17ea1471e1011d3205dba,e3267975d87245323dcc151b94de59bc7f77624a517b2d71af6921e04fcd47fc,9b76b834c4c54de9d6de38208f973f742570cd772f0973e9bccedd93a2d9a698,6a4a6ec9b3213c1cfaf97380481cf088b39f4061a67ddf8227ed70b28846e20b,54ca71fb2bd050a8d575efee02bec17dc3776ba54ab1954d3de7954fcaa3e610,942b31bf3ff9c6b4b7b6d572d39744b524c741f871a3987fecfee9475d36c370,6259e6be572409529224cea9722df026ca9e0db7303136e3f87080d1975c36b1,d13466448f192902800efba391244e993a848318592aa0b0b43d001e176909c6,a7ff507af758c2a0008044bd6e70ec9b3d61aa28077bc10527037133130060f7,480e198d449c493f03bcb806761e2c23d738c8ef1c3a788ca409873b69a7bab8,2c5b9c0e502f7bed7b9089d41d4dcdc69b5ae16eaebc71d43b349f2ad324d607,33226ceadb21740efbc5f4b990dc86feee215cf2c64aaa4240aebd3d87e95cf7,9f1b86ae3fe2d85b13e37ce0d425e8b2c7996b8d5b2cb3e14b85fea3ad8c52be,a5bd7824796c9c1123eb65f04fe4701d207f88ee00d927c4ced4c916e6f4e117,e1cc0eba8b6fc040895b45319a13957257b94901d79f3b89e84d9d1b4c0fc927
"20000","0","15","0","0","プリンを15種類食べよう","94002","1","1","12","0","0","0","0","0","0"
"30000","0","30","0","0","プリンを30種類食べよう","94002","1","2","12","0","0","0","0","0","0"
"50","0","40","0","0","プリンを40種類食べよう","91002","1","3","8","0","0","0","0","0","0"
"50000","0","50","0","0","プリンを50種類食べよう","94002","1","4","12","0","0","0","0","0","0"
"50","0","55","0","0","プリンを55種類食べよう","91002","1","5","8","0","0","0","0","0","0"
"100000","0","60","0","0","プリンを60種類食べよう","94002","1","6","12","0","0","0","0","0","0"
"1","8","66","91002","0","プリンを全66種類食べよう","11001164","1","7","15","100","0","0","0","0","0"
"50000","0","25","0","0","プリンノートを25％コンプリートしよう","94002","2","8","12","0","0","0","0","0","0"
"50","0","50","0","0","プリンノートを50％コンプリートしよう","91002","2","9","8","0","0","0","0","0","0"
"100000","0","75","0","0","プリンノートを75％コンプリートしよう","94002","2","10","12","0","0","0","0","0","0"
"1","15","100","11001165","0","プリンノートを100％コンプリートしよう","9000100","2","11","16","1","0","8","100","91002","0"
