3b777414f012e07efa7f496cf0aa14e5ca7ce4f09b14c0cb452cc645f7e0e61c,6b0d009ca425855602043635592ea6e93307fb2e727655589fd7eb24ccb0f431,1a1180617c5d51db72e16925eb89752209f688838a291af7f125fc1508d80e26,4cc7dc34a49f9dbacc4fa3715027cd65f76192948e164ee4f0f86ceffcd41f86,b4039268a1dbbfbf2b6667f5c0e6bad74895ee1dd2876dd4ea3d5d4799d8a107,7d75ea3b8b478b2fb8980857c0f76f7036967ea13c6000c02f4b149ef4a29267,1fe86d79ecaa158615ebbad2afe14f62f34c6a233659aa6c6899b689cca41c43,4a8b1b5e9945dc52d62aae787bcd3219f2e2afe50f2c749af4b9e8c3f2ef9df6,832fb1e559c6e7d0ed8abe6f83d45add3b6f77f4d6e415c225eef02e6cf9f783
"1","15","53002","1","20","10701","22","15","7"
"1","14","53002","2","22","10702","22","14","7"
"2","13","53002","3","24","10703","22","13","7"
"2","12","53002","4","26","10704","22","12","7"
"3","11","53002","5","28","10705","22","11","7"
"3","10","53002","6","30","10706","22","10","7"
"4","9","53002","7","32","10707","22","9","7"
"4","8","53002","8","34","10708","22","8","7"
"5","0","53002","9","36","10709","22","7","7"
"1","15","53002","1","20","10801","22","15","8"
"1","14","53002","2","22","10802","22","14","8"
"2","13","53002","3","24","10803","22","13","8"
"2","12","53002","4","26","10804","22","12","8"
"3","11","53002","5","28","10805","22","11","8"
"3","10","53002","6","30","10806","22","10","8"
"4","9","53002","7","32","10807","22","9","8"
"4","8","53002","8","34","10808","22","8","8"
"5","0","53002","9","36","10809","22","7","8"
"1","15","53002","1","20","10901","22","15","9"
"1","14","53002","2","22","10902","22","14","9"
"2","13","53002","3","24","10903","22","13","9"
"2","12","53002","4","26","10904","22","12","9"
"3","11","53002","5","28","10905","22","11","9"
"3","10","53002","6","30","10906","22","10","9"
"4","9","53002","7","32","10907","22","9","9"
"4","8","53002","8","34","10908","22","8","9"
"5","0","53002","9","36","10909","22","7","9"
"1","15","53002","1","20","11001","22","15","10"
"1","14","53002","2","22","11002","22","14","10"
"2","13","53002","3","24","11003","22","13","10"
"2","12","53002","4","26","11004","22","12","10"
"3","11","53002","5","28","11005","22","11","10"
"3","10","53002","6","30","11006","22","10","10"
"4","9","53002","7","32","11007","22","9","10"
"4","8","53002","8","34","11008","22","8","10"
"5","0","53002","9","36","11009","22","7","10"
"1","15","53002","1","20","11101","22","15","11"
"1","14","53002","2","22","11102","22","14","11"
"2","13","53002","3","24","11103","22","13","11"
"2","12","53002","4","26","11104","22","12","11"
"3","11","53002","5","28","11105","22","11","11"
"3","10","53002","6","30","11106","22","10","11"
"4","9","53002","7","32","11107","22","9","11"
"4","8","53002","8","34","11108","22","8","11"
"5","0","53002","9","36","11109","22","7","11"
