bcd64e3ae8e5c14db9b7669c7e00a4cbc34f407eeb5932a9812da2ef5541742f,b7a805225be772ce99aaf7f5939c1afd01c2a58312bd0f13c3c0bf82133d9e8e,f184232b4102f1c12ea2665fc8627a8095b9262a7d1ff1b8d4b8ddae92a8e967,ada04f3bc06f86ce3c14e30266c22081da1a7db2209c4a0dc97d842205e1e50d,e429971abe8954d6f6d3b0d8a99d39017bb16e108bc4da62318e111f79187afc,f4539548eb213ad05cd4ab06fcedcf61aba088217e8a7c87cde576e016d81cb0,e67a25aefa8c1807d63ccad8fd589d6a7004bb8fb9b7adb41a3ed3916fb971ed,b1f3b86e92421f7f5b71c61e463818afb1a9372cff81a96fca102663623b5e60,cd0e387935f2a02dd99a061ac1caa7c43a2b5f780745b2a9a372e7f0531793a2,ffd10984c796d77e9681b876d4b94c6192864e6a69a1dd75221baf1b819f8591,0dacf0d992d47dce5a26970f36fd2826433443562b755b8ebf6cd90cc0ac0899,104f0658c941e3857c673be7a3fa4d9b987bec6d26dcbe582fb43d3858be2217,42e8e1fbec3414a3c4b7662e8748d5b6d96c0a6f420e7f7e8cc5b0dc70614086,0d72111c74e97936087bb89226dc0c09d879e368b476b958a806c3a43f398bf2
"やったね、ぷうきち！\nこれならお兄ちゃんたちの\nお手本になれたよね！","2020/07/31 12:00:00","24001","401","アヤネ","2","0","2030/12/17 14:59:59","0","0","102301","2","24","10046"
"私たちの勝ちだね！\nぷうきちと一緒なら\nどんなボールでも\nホームランを打ってみせるよ！","2020/07/31 12:00:00","24002","402","アヤネ","2","0","2030/12/17 14:59:59","2.21","0","102301","1","24","10046"
"やったやったぁ！\nお兄ちゃん、見ててくれた？\n私、すっごくがんばったよ！","2020/07/31 12:00:00","24003","403","アヤネ","2","0","2030/12/17 14:59:59","0","0","102301","2","24","10046"
"特訓の成果が出たみたいだ！\nもっと練習を重ねて\nこの調子で上達していこう！","2020/07/31 12:00:00","24004","701","アサヒ","1","0","2030/12/17 14:59:59","1.99","0","192201","2","24","10046"
"よし、いい感じだ！\nキャプテンとしての仕事は\nきっちり果たせそうだよ","2020/07/31 12:00:00","24005","702","アサヒ","2","0","2030/12/17 14:59:59","2.21","0","192201","1","24","10046"
"試合に向けて\nいい感覚を掴めた気がするよ！\nこのまま一気に全国大会だ！","2020/07/31 12:00:00","24006","703","アサヒ","1","0","2030/12/17 14:59:59","3.33","0","192201","2","24","10046"
"このくらい余裕だ\nオレたちは全国大会を\n目指してるんだからな","2020/07/31 12:00:00","24007","801","部員３","2","0","2030/12/17 14:59:59","0","0","192301","2","24","10046"
"オレだって\nビーチベースボール選手だ\nどんな球だろうが\n全部スタンドまで飛ばしてやる","2020/07/31 12:00:00","24008","802","部員３","2","0","2030/12/17 14:59:59","2.68","0","192301","1","24","10046"
"いい感じだ\nこれなら試合でも活躍できそうだ\n大暴れしてやる！","2020/07/31 12:00:00","24009","803","部員３","2","0","2030/12/17 14:59:59","0","0","192301","2","24","10046"
"やった！","2020/07/31 12:00:00","24010","501","","1","0","2030/12/17 14:59:59","0","0","192501","1","24","10046"
"勝ったよ！","2020/07/31 12:00:00","24011","502","","1","0","2030/12/17 14:59:59","0","0","192501","1","24","10046"
"いい調子！","2020/07/31 12:00:00","24012","503","","1","0","2030/12/17 14:59:59","0","0","192501","1","24","10046"
"あら～…もしかして\n勝っちゃったのかしら？\nみんなの練習を見ていたから\nかもしれないわね","2020/07/31 12:00:00","24013","111","ミサト","2","0","2030/12/17 14:59:59","5.33","0","113501","6","24","10046"
"みんなの力になりたくて\n先生も頑張ってみました～！\nうまく投げられたみたいで\nよかったわ～！","2020/07/31 12:00:00","24014","112","ミサト","2","0","2030/12/17 14:59:59","6.85","0","113501","1","24","10046"
"練習お疲れさま～！\n先生も協力できて\nとってもうれしいわ～♪\n次も頑張りましょうね～！","2020/07/31 12:00:00","24015","113","ミサト","2","0","2030/12/17 14:59:59","3","0","113501","1","24","10046"
"まだ練習が足りねえみてえだな\nこれっぽっちも本気で\n投げてねえっつーの\nもう一回やんぞ！","2020/07/31 12:00:00","24016","611","ダイチ","2","0","2030/12/17 14:59:59","6.11","0","192401","1","24","10046"
"ふん、当然の結果だな\n俺の球は、誰にも打てねえよ！\nまたやりてえっつーなら\nとことん付き合ってやるぜ！","2020/07/31 12:00:00","24017","612","ダイチ","2","0","2030/12/17 14:59:59","6.75","0","192401","1","24","10046"
"おっしゃあ！\nこの勢いで全国に行ってやるぜ！\n全員三振で仕留めてやる！","2020/07/31 12:00:00","24018","613","ダイチ","2","0","2030/12/17 14:59:59","0","0","192401","2","24","10046"
"きらーん☆\nハツネちゃんの大勝利なのだ～！\nみんながもっと上達できるように\n私もまだまだ頑張るからね！","2020/07/31 12:00:00","24019","211","ハツネ","1","0","2030/12/17 14:59:59","4.52","0","113401","2","24","10046"
"やったあ！　私の勝ちだね！\nチアリーダーもピッチャーも\nハツネちゃんに任せてよ！","2020/07/31 12:00:00","24020","212","ハツネ","1","0","2030/12/17 14:59:59","3.89","0","113401","2","24","10046"
"よお～し、この調子でもっと\n頑張ろう…と思ったけど\n超能力を使ったから…\n眠くなってきちゃった…すやぁ…","2020/07/31 12:00:00","24021","213","ハツネ","2","0","2030/12/17 14:59:59","13.49","0","113401","1","24","10046"
"いい勝負だったぜ！\nたぎっちまって\nつい本気で投げちまったよ","2020/07/31 12:00:00","24022","311","カヤ","2","0","2030/12/17 14:59:59","3.17","0","106501","1","24","10046"
