485d8e622f8c9e35c5fe71cb53380aece5971b18721b088d96e68e5359d0b28e,dcc9d071d87644dba43980b6bb4bb7b8f4bd5e99f7383c6f227c9863b7824b16,9b804d93c40226c432b74fea6dd125fe50b4cecfa80e954c134f61bbf38e9189,0eab909e41b03d2a5439541bb7eb82c91319ee9da15dfdbceaa691115a88cb37,aa4b784d3ee6376db575fcb74e19b017afc97e15755840746c05c0eb4334b622,8e0c669b0aeec9a1464dba7be5e391a05c236e659a6d4ef38bbd19002a329bab,e5d996c300c21dbbe1f20b7719eebf950a6e19dfa3ef85ff7948d68fcfb0cdce,3f8825e99f2c2051d0d43bdc02b342afc207590708185cdddf993713d5558ffa,29eb9c28d9814d9038b2f09bbd5bb3d4fe45f9b45ae16455f9d18c451f0b37da,d8322f8b0b3692e0d6311c09fd4df28417284c039fcca210039489bdbe7242a9,100ebe493fd21ede7f250d6dfc228d8af005c75742bf58a91c6787648ad0526d,f8b60feb5868582ec82d6771428bea044c8a684d4de523f28ca704551492a365,1cd88dc1f5eeb253199ad1ffe22c0235021105274e5efc4d75d8391211097b06,a5a5866fe674aa57b2cd457e349323b98091aa0ecb45196872a1c73535e224c1,a784ff43a1f74fe37508cfa451ab36686371df1956bd6fb50604fcd20c25ccb5,972b3c392e748612262b4c7d0b2c33654f76020696ee0ef203e126719eaff332,3a130cb8c49a76c453c6f68479ef86adf8633826ecbc3ff60fe5eb85ebc307a8,494539665aee815e867cef3f787ba75c6b06e50d568f720f66bdc78cb4271074
"20003","20","94002","2","150","150000","91002","1","22003","5","2","0","8","12","0","1","0","5"
"20003","15","94002","2","145","100000","91002","2","22003","9","2","0","8","12","0","6","0","2"
"20003","11","94002","2","140","80000","91002","3","22002","19","2","0","8","12","0","10","0","5"
"20003","10","94002","2","130","80000","91002","4","22002","29","2","0","8","12","0","20","0","5"
"20003","9","94002","2","120","70000","91002","5","22002","39","2","0","8","12","0","30","0","4"
"20003","8","94002","2","110","70000","91002","6","22002","49","2","0","8","12","0","40","0","4"
"20003","7","94002","2","100","60000","91002","7","22002","99","2","0","8","12","0","50","0","3"
"20003","2","94002","2","80","40000","91002","8","22002","499","2","0","8","12","0","100","0","2"
"20002","7","94002","2","50","20000","91002","9","22002","999","2","0","8","12","0","500","0","1"
"20002","4","94002","2","20","16000","91002","10","22001","4999","2","0","8","12","0","1000","0","3"
"20002","3","94002","2","15","9000","91002","11","22001","9999","2","0","8","12","0","5000","0","2"
"20001","8","94002","2","10","4000","91002","12","22001","11999","2","0","8","12","0","10000","0","1"
"20001","7","94002","2","5","3000","91002","13","22001","13999","2","0","8","12","0","12000","0","1"
"20001","6","94002","2","4","2000","91002","14","22001","14999","2","0","8","12","0","14000","0","1"
"20001","5","94002","2","3","1800","91002","15","22001","30000","2","0","8","12","0","15000","0","1"
