e0d205cd2541a2699079254cf55c7972a85caaf9f86caa546ef5b72358289fb5,4b2d18cc29765db4ec8cee4d85dfd1f890dc732b3479adc93761d2801ec18723,d05464ec4b48ee00b4517ed288701b6cea5fb862ccfb71690ab2662616325800,05a36c67d5db816b238b167b8532e200b03e5631df8132577c0cc9d54a414f65,a100380866ae4908f74b1266139409916f2e37eaa72478eaade9e26527c27f63,dd3ece2b5154bdd825b39c77f2ac67544656d8cdcde898edeaaa68c02b96b462,f07599c71e8e90d349a979ebecd835e8ecbd9268817a28bb410dae3a6b77bbd1,81ef0376eae5179d9d7ecf596dbd029067b508e2275dd5d9a3153f8dea8d6631,3b7e46b604d6ccfa8faed1cc9ee3e1330c83212b4b0b097f97de3eb7862e5e34,4ab3a9a505070564f3bbf6ddcc31f999e3d186f1eccc345b63c798388b511362,66c9bc4090ff0b5973fbd5ad6c563ddff7522ed4b1d12604fb49b40cb75b90ab,ecc124370a237f2d66bee12134660edfb0ac9c675b5838f7f1227e0d2ecf6233,f339335ae27ec7dbcc45c400f865159836fde29aeaeb104c1ba53eeb6dffefd5,a6de0b9b0bb9309b98457d4279498fb6c08e99c6deca3d62ccccaa3c8166dba3
"リン","10040","0","あたしだって\nやるときはやるよ！","0","24","0","2030/12/17 14:59:59","24001","1","2020/04/30 12:00:00","1","102601","0"
"リン","10040","0","ふぅ…\nこれであたしの仕事は\n終わりだね","0","24","1","2030/12/17 14:59:59","24002","1","2020/04/30 12:00:00","1","102601","0"
"リン","10040","0","終わった終わった\n一人でもなんとか\nなるもんだね","0","24","2","2030/12/17 14:59:59","24003","1","2020/04/30 12:00:00","1","102601","0"
"リン","10040","0","やったね！\nこれでようやく\nサボれるよ…","0","24","3","2030/12/17 14:59:59","24004","2","2020/04/30 12:00:00","2","102601","0"
"リン","10040","0","チーズが欲しいなら\nきちんと働いて\n買いに来なよ","0","24","4","2030/12/17 14:59:59","24005","1","2020/04/30 12:00:00","1","102601","0"
"リン","10040","0","あたしを敵に回した\n恐ろしさ\n思い知ったか！","0","24","5","2030/12/17 14:59:59","24006","2","2020/04/30 12:00:00","2","102601","0"
"リン","10040","0","あたしも意外と\nやるもんでしょ？","0","24","6","2030/12/17 14:59:59","24007","2","2020/04/30 12:00:00","2","102601","0"
"リン","10040","0","疲れた…\nねずみの逃げ足\n速すぎるよ…","0","24","7","2030/12/17 14:59:59","24008","4","2020/04/30 12:00:00","4","102601","0"
"リン","10040","0","このままじゃ\nまっひ～に\n叱られちゃうよ","0","24","8","2030/12/17 14:59:59","24009","4","2020/04/30 12:00:00","4","102601","0"
"リン","10040","0","まじめに\nやったんだけどな…\n悔しいな～","0","24","9","2030/12/17 14:59:59","24010","4","2020/04/30 12:00:00","4","102601","0"
"リン","10040","0","やられた…\nねずみって意外と\nてごわいね","0","24","10","2030/12/17 14:59:59","24011","4","2020/04/30 12:00:00","4","102601","0"
"リン","10040","0","おのれ～\nあたしのチーズを\n盗みやがって～！","0","24","11","2030/12/17 14:59:59","24012","4","2020/04/30 12:00:00","4","102601","0"
"リン","10040","0","疲れた…\nけど、次こそは\n守り抜くよ…","1.81","24","12","2030/12/17 14:59:59","24013","4","2020/04/30 12:00:00","1","102601","0"
