36fea3463da93462191ab7220e27983953910dc87c0b48661e685cf54dc0c555,dc3dad1a13cc46080ecc1292faa022d16e5951536adba3ba579095b667edc67f,c00b72cb40598cf67d7ba02f9de64651e4a6868091771d193153bbb825c70c0a,5d37b02b174fd47b96d8cb4304161e409fd8e329e3a409f84d0335c5108fbbb3,28a53461950c86c7766c183f4d71e5b2ffc1a26d69ffc9833371000bba746db6,97a667238fe967414cabb5db15095d91685979b0949984c98d2e4da278459063,a6dda14e8dab7038945d518dec14fddd8c83ecf86e237cf8b8380d10f1860e44,4826f53fb1f8cb31fb9017bccedfe3a7b50ab6be165848c91a47ca8e2b42e12e,f97dbd968853a60c84b08515a58db4270f58ab3af734b161378408847efd760f,0ed5a6a2ab8e109db4260c70aa0af2fb43129f0b3e9593f4e24f4db8c947fa7f
"10174","0","0","0","10174101","7001","ウヅキとリンのメモリー","0","0","1"
"10174","0","0","0","10174103","7002","ニュージェネレーションズのメモリー","0","0","2"
"10174","0","0","0","10174103","7003","ウヅキとミオのメモリー","0","0","4"
"10174","0","0","0","10174105","7004","美食殿のメモリー","0","0","6"
"10174","0","0","0","10174105","7005","リンとミオのメモリー","0","0","7"
"10174","0","0","0","10174105","7006","ニュージェネレーションズのメモリー","0","0","8"
"10174","0","0","0","10174107","7007","ニュージェネレーションズと美食殿のメモリー","0","0","9"
"10174","0","0","0","10174107","7008","美食殿のメモリー","0","0","10"
"10175","0","0","0","10175105","7009","ニュージェネレーションズと美食殿のメモリー","0","0","14"
"10174","0","0","0","10174103","7102","ニュージェネレーションズのメモリー","0","0","3"
"10174","0","0","0","10174103","7103","美食殿のメモリー","0","0","5"
"10174","0","0","0","10174107","7104","ニュージェネレーションズと美食殿のメモリー","0","0","11"
"10175","0","0","0","10175105","7105","ニュージェネレーションズと美食殿のメモリー","0","0","12"
"10175","0","0","0","10175105","7106","ニュージェネレーションズと美食殿のメモリー","0","0","13"
"10174","0","1","7","10174101","7201","","2405","1","15"
