bf2dddcb95270124b5610aaa91b7ade3dbaf2e1c5292860bbd410344ccc42151,b35ac263bebec76e522e987aeb8f1125346521c50f22218a7780232cb50b3cfd,a256a074d9f5867136605ba5e417cf0e8fb2e374429dff88245ec8fbf5bc719b,8497893ec251e0d79d1dbe5059ba5883ee6904ec1ee4a31539c6b1e6fb226604,de3246d1351b0217e4830d2662c4d6a8bad8d2d1fd6df212a61753bf8b97101c,dca2fbb7328a9b7b35b6efc48610978cf5e27c0c72d26bb3145cfe6badb4c3a2,5baad0a55d67e847a97031c1c84d32cd914b9aba3db17912458425bf6fc6407e,53c0fa8d8d04c56fdd1908c3ff17fb0f855adfa3f7abefa9e550c7787d619f8a,3351b6acc6b35dca57f1e9f4da28982c08cc8983edf2218a0e57493313f5c14d,ed6e89b82ee1d6896ca4ede71d40f7268db8a256d741f90f6bc6938649aa02a6,cc04c403dbd309ef127d9d8c6fb514d190f9bb636ff4f275ff16a861575e1eab,552e94bc90d962143fde50c2555581efa2ed4fb4e358794d328f2234c0adbfe7,27ec9b6386f83b22f269fa8ff814562735f230a858c2178643509d698dda3aa3,66c6f58d3595c0adaf41ce7f0a7ab14c6a080547b13cb72eba9186619b2ea78a,ef7659e9d550918e13ba899af2d7056e73d6ea1c153604ea7ac9801ecec49608,3abf767dce3ccfddc263dbfaf9a60ebaf82d6e9af5e1f86c63e010cd9c30f04a
"1","0","20000","12","0","1","0","0","94002","プリンを15種類食べよう","0","15","0","0","0","0"
"2","0","30000","12","0","1","0","0","94002","プリンを30種類食べよう","0","30","0","0","0","0"
"3","0","50","8","0","1","0","0","91002","プリンを40種類食べよう","0","40","0","0","0","0"
"4","0","50000","12","0","1","0","0","94002","プリンを50種類食べよう","0","50","0","0","0","0"
"5","0","50","8","0","1","0","0","91002","プリンを55種類食べよう","0","55","0","0","0","0"
"6","0","100000","12","0","1","0","0","94002","プリンを60種類食べよう","0","60","0","0","0","0"
"7","0","1","15","0","1","0","0","11001164","プリンを全66種類食べよう","91002","66","8","100","0","0"
"8","0","50000","12","0","2","0","0","94002","プリンノートを25％コンプリートしよう","0","25","0","0","0","0"
"9","0","50","8","0","2","0","0","91002","プリンノートを50％コンプリートしよう","0","50","0","0","0","0"
"10","0","100000","12","0","2","0","0","94002","プリンノートを75％コンプリートしよう","0","75","0","0","0","0"
"11","91002","1","16","0","2","100","8","9000100","プリンノートを100％コンプリートしよう","11001165","100","15","1","0","0"
