8d44810a25756888bb228aea066ffd82772101b18f35009a56b9f5c2cefe67eb,6066ebe0cf34aa16d212c27e30f29a20790b2e1b77b76f1be5484d678fb491a0,8c29327d370b0170a80d124e44e943cf12fefaa0b9b60a5764a45d07c0887cc5,345aa90675312b567ebf9336828034996d0cd010ccb874cefa46e5304a0d79e4,f99aa927b87e1cbf6a83f7569a95445e6e0829220d9b0e2ce5676f0aa3f8938b,81196708f346ad00a46db5006ce4d9f5ff64ba798f04d42f8a560e7977d13e3b,efb6ee1193696c229eb5cd8d0b4e4a70b4d43db8edcba587a5636eaebc745d49,78106bb3d9e23df24a4f696ee209cad10fb04651a54cbbfa443a96f0cd487d18,299171c27eb8d00113a36d1292451fbd622354b85b71f5124944493589f9fd61,d5b152c1c0358b06e2ae6b3c5609a8404bd880dabcac775a5f87974781b33a2d,f4dfb2a069355f98c0d9b0220ab3c80498062aaa5dec78c661dcf4ecf38fb11b
"40","1001","1","sjr_talk_idle","122611","100","1","-194","1","1.65","1"
"","1002","122611","","sjr_talk_wish_look","1","3","","1","0.2",""
"0","1003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_001","0","21","","1","",""
"1","1004","122611","1","騎士クン…見ててね\nわたし、頑張って\n走るから…！","10","11","0","1","0","0"
"","1005","0","","","","91","","1","",""
"","1006","122611","","sjr_talk_idle","1","3","","1","0.2",""
"40","2001","1","sjr_talk_idle","122611","100","1","-194","2","1.65","1"
"","2002","122611","","sjr_talk_mouth_hidden_shy","1","3","","2","0.2",""
"0","2003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_002","0","21","","2","",""
"1","2004","122611","1","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","7","11","0","2","0","0"
"","2005","0","","","","91","","2","",""
"","2006","122611","","sjr_talk_idle","1","3","","2","0.2",""
"40","3001","1","sjr_talk_idle","122611","100","1","-194","3","1.65","1"
"sjr_talk_stepback_worry","3002","122611","","sjr_talk_stepback_surprise_worry","0","3","1","3","0.2","0"
"0","3003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_003","0","21","","3","",""
"1","3004","122611","1","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","8","11","0","3","0","0"
"","3005","0","","","","91","","3","",""
"","3006","122611","","sjr_talk_idle","1","3","","3","0.2",""
"40","4001","1","sjr_talk_idle","122611","100","1","-194","4","1.65","1"
"","4002","122611","","sjr_talk_thinking_surprise","1","3","","4","0.2",""
"0","4003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_004","0","21","","4","",""
"1","4004","122611","1","変わったコースが\nいっぱいあるね\nどれに出ようかな…","6","11","0","4","0","0"
"","4005","0","","","","91","","4","",""
"","4006","122611","","sjr_talk_idle","1","3","","4","0.2",""
"40","5001","1","sjr_talk_idle","122611","100","1","-194","5","1.65","1"
"sjr_talk_guts2_anger_loop","5002","122611","","sjr_talk_guts2_anger","0","3","1","5","0.2","0"
"0","5003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_005","0","21","","5","",""
"1","5004","122611","1","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","7","11","0","5","0","0"
"","5005","0","","","","91","","5","",""
"","5006","122611","","sjr_talk_idle","1","3","","5","0.2",""
"40","6001","1","sjr_talk_idle","122511","100","1","-194","6","1.65","1"
"sjr_talk_arm_crossed_look_loop","6002","122511","","sjr_talk_arm_crossed_joy_look","0","3","1","6","0.2","0"
"0","6003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_006","0","21","","6","",""
"1","6004","122511","1","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","6","11","0","6","0","0"
"","6005","0","","","","91","","6","",""
"","6006","122511","","sjr_talk_idle","1","3","","6","0.2",""
"40","7001","1","sjr_talk_idle","122511","100","1","-194","7","1.65","1"
"","7002","122511","","sjr_talk_mouth_hidden2_shy","1","3","","7","0.2",""
"0","7003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_007","0","21","","7","",""
"1","7004","122511","1","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","6","11","0","7","0","0"
"","7005","0","","","","91","","7","",""
"","7006","122511","","sjr_talk_idle","1","3","","7","0.2",""
"40","8001","1","sjr_talk_idle","122511","100","1","-194","8","1.65","1"
"","8002","122511","","sjr_talk_mouth_hidden","1","3","","8","0.2",""
"0","8003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_008","0","21","","8","",""
"1","8004","122511","1","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","6","11","0","8","0","0"
"","8005","0","","","","91","","8","",""
"","8006","122511","","sjr_talk_idle","1","3","","8","0.2",""
"40","9001","1","sjr_talk_idle","122511","100","1","-194","9","1.65","1"
"","9002","122511","","sjr_talk_stepback_surprise","1","3","","9","0.2",""
"0","9003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_009","0","21","","9","",""
"1","9004","122511","1","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","6","11","0","9","0","0"
"","9005","0","","","","91","","9","",""
"","9006","122511","","sjr_talk_idle","1","3","","9","0.2",""
"40","10001","1","sjr_talk_idle","122511","100","1","-194","10","1.65","1"
"","10002","122511","","sjr_talk_thinking_blink","1","3","","10","0.2",""
"0","10003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_010","0","21","","10","",""
"1","10004","122511","1","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","5","11","0","10","0","0"
"","10005","0","","","","91","","10","",""
"","10006","122511","","sjr_talk_idle","1","3","","10","0.2",""
"40","11001","1","sjr_talk_idle","122411","100","1","-194","11","1.65","1"
"sjr_talk_eieio_loop","11002","122411","","sjr_talk_eieio","0","3","1","11","0.2","0"
"0","11003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_011","0","21","","11","",""
"1","11004","122411","1","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","6","11","0","11","0","0"
"","11005","0","","","","91","","11","",""
"","11006","122411","","sjr_talk_idle","1","3","","11","0.2",""
"40","12001","1","sjr_talk_idle","122411","100","1","-194","12","1.65","1"
"","12002","122411","","sjr_talk_arm_opened_wink","1","3","","12","0.2",""
"0","12003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_012","0","21","","12","",""
"1","12004","122411","1","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","6","11","0","12","0","0"
"","12005","0","","","","91","","12","",""
"","12006","122411","","sjr_talk_idle","1","3","","12","0.2",""
"40","13001","1","sjr_talk_idle","122411","100","1","-194","13","1.65","1"
"sjr_talk_doya_loop","13002","122411","","sjr_talk_doya","0","3","1","13","0.2","0"
"0","13003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_013","0","21","","13","",""
"1","13004","122411","1","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","8","11","0","13","0","0"
"","13005","0","","","","91","","13","",""
"","13006","122411","","sjr_talk_idle","1","3","","13","0.2",""
"40","14001","1","sjr_talk_idle","122411","100","1","-194","14","1.65","1"
"sjr_talk_swing_joy","14002","122411","","sjr_talk_watch_arm_opened","0","3","1","14","0.2","0"
"0","14003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_014","0","21","","14","",""
"1","14004","122411","1","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","7","11","0","14","0","0"
"","14005","0","","","","91","","14","",""
"","14006","122411","","sjr_talk_idle","1","3","","14","0.2",""
"40","15001","1","sjr_talk_idle","122411","100","1","-194","15","1.65","1"
"","15002","122411","","sjr_talk_wish_doya","1","3","","15","0.2",""
"0","15003","vo_minigame_1010","","vo_minigame_1010_top_talk_1_015","0","21","","15","",""
"1","15004","122411","1","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","7","11","0","15","0","0"
"","15005","0","","","","91","","15","",""
"","15006","122411","","sjr_talk_idle","1","3","","15","0.2",""
"72","16001","1","sjr_talk_idle","122611","100","1","-194","16","1.65","1"
"-72","16002","1","sjr_talk_idle","122511","100","1","-194","16","1.65","0"
"","16003","122611","","sjr_talk_wish_doya","1","3","","16","0.2",""
"0","16004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_001","0","21","","16","",""
"1","16005","122611","1","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","5","11","0","16","0","0"
"","16006","0","","","","91","","16","",""
"","16007","122611","","sjr_talk_idle","1","3","","16","0.2",""
"sjr_talk_arm_crossed_joy_loop","16008","122511","","sjr_talk_arm_crossed_normal_joy","0","3","1","16","0.2","0"
"0","16009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_002","0","21","","16","",""
"1","16010","122511","0.5","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","6","11","0","16","0","0"
"","16011","0","","","","91","","16","",""
"","16012","122511","","sjr_talk_idle","1","3","","16","0.2",""
"72","17001","1","sjr_talk_idle","122611","100","1","-194","17","1.65","1"
"-72","17002","1","sjr_talk_idle","122511","100","1","-194","17","1.65","0"
"","17003","122511","","sjr_talk_worry_shy","1","3","","17","0.2",""
"0","17004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_003","0","21","","17","",""
"1","17005","122511","0.5","ねぇユイ\n水着で走るのって\nちょっと…","6","11","0","17","0","0"
"","17006","0","","","","91","","17","",""
"","17007","122511","","sjr_talk_idle","1","3","","17","0.2",""
"","17008","122611","","sjr_talk_wish_shy","1","3","","17","0.2",""
"0","17009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_004","0","21","","17","",""
"1","17010","122611","0.5","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","5","11","0","17","0","0"
"","17011","0","","","","91","","17","",""
"","17012","122611","","sjr_talk_idle","1","3","","17","0.2",""
"sjr_talk_thinking_light","17013","122511","","sjr_talk_thinking_blink_light","0","3","1","17","0.2","0"
"0","17014","vo_minigame_1010","","vo_minigame_1010_top_talk_2_005","0","21","","17","",""
"1","17015","122511","0.5","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","6","11","0","17","0","0"
"","17016","0","","","","91","","17","",""
"","17017","122511","","sjr_talk_idle","1","3","","17","0.2",""
"72","18001","1","sjr_talk_idle","122611","100","1","-194","18","1.65","1"
"-72","18002","1","sjr_talk_idle","122511","100","1","-194","18","1.65","0"
"","18003","122611","","sjr_talk_wish_surprise","1","3","","18","0.2",""
"0","18004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_006","0","21","","18","",""
"1","18005","122611","0.5","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","7","11","0","18","0","0"
"","18006","0","","","","91","","18","",""
"","18007","122611","","sjr_talk_idle","1","3","","18","0.2",""
"sjr_talk_arm_crossed_normal2_loop","18008","122511","","sjr_talk_arm_crossed_normal2","0","3","1","18","0.2","0"
"0","18009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_007","0","21","","18","",""
"1","18010","122511","0.5","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","7","11","0","18","0","0"
"","18011","0","","","","91","","18","",""
"","18012","122511","","sjr_talk_idle","1","3","","18","0.2",""
"72","19001","1","sjr_talk_idle","122611","100","1","-194","19","1.65","1"
"-72","19002","1","sjr_talk_idle","122411","100","1","-194","19","1.65","0"
"sjr_talk_idle_joy","19003","122611","","sjr_talk_wave_hand","0","3","1","19","0.2","0"
"0","19004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_008","0","21","","19","",""
"1","19005","122611","0.5","ヒヨリちゃん\n楽しんでる？","11","11","0","19","0","0"
"","19006","0","","","","91","","19","",""
"","19007","122611","","sjr_talk_idle","1","3","","19","0.2",""
"sjr_talk_swing_joy2","19008","122411","","sjr_talk_fun","0","3","1","19","0.2","0"
"0","19009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_009","0","21","","19","",""
"1","19010","122411","0.5","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","8","11","0","19","0","0"
"","19011","0","","","","91","","19","",""
"","19012","122411","","sjr_talk_idle","1","3","","19","0.2",""
"","19013","122611","","sjr_talk_laugh","1","3","","19","0.2",""
"0","19014","vo_minigame_1010","","vo_minigame_1010_top_talk_2_010","0","21","","19","",""
"1","19015","122611","0.5","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","8","11","0","19","0","0"
"","19016","0","","","","91","","19","",""
"","19017","122611","","sjr_talk_idle","1","3","","19","0.2",""
"72","20001","1","sjr_talk_idle","122611","100","1","-194","20","1.65","1"
"-72","20002","1","sjr_talk_idle","122411","100","1","-194","20","1.65","0"
"sjr_talk_guts2_loop","20003","122411","","sjr_talk_guts2","0","3","1","20","0.2","0"
"0","20004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_011","0","21","","20","",""
"1","20005","122411","0.5","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","9","11","0","20","0","0"
"","20006","0","","","","91","","20","",""
"","20007","122411","","sjr_talk_idle","1","3","","20","0.2",""
"sjr_talk_mouth_hidden_guru","20008","122611","","sjr_talk_mouth_hidden_dere_guru","0","3","1","20","0.2","0"
"0","20009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_012","0","21","","20","",""
"1","20010","122611","0.5","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","5","11","0","20","0","0"
"","20011","0","","","","91","","20","",""
"sjr_talk_shock_loop","20012","122411","","sjr_talk_shock","0","3","1","20","0.2","0"
"0","20013","vo_minigame_1010","","vo_minigame_1010_top_talk_2_013","0","21","","20","",""
"1","20014","122411","0.5","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","17","11","0","20","0","0"
"","20015","0","","","","91","","20","",""
"","20016","122611","","sjr_talk_idle","1","3","","20","0.2",""
"","20017","122411","","sjr_talk_idle","1","3","","20","0.2",""
"72","21001","1","sjr_talk_idle","122611","100","1","-194","21","1.65","1"
"-72","21002","1","sjr_talk_idle","122411","100","1","-194","21","1.65","0"
"","21003","122611","","sjr_talk_worry_sad","1","3","","21","0.2",""
"0","21004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_014","0","21","","21","",""
"1","21005","122611","0.5","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","9","11","0","21","0","0"
"","21006","0","","","","91","","21","",""
"","21007","122611","","sjr_talk_idle","1","3","","21","0.2",""
"sjr_talk_guts2_joy_loop","21008","122411","","sjr_talk_laugh_guts","0","3","0","21","0.2","0"
"0","21009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_015","0","21","","21","",""
"1","21010","122411","0.5","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","6","11","0","21","0","0"
"","21011","0","","","","91","","21","",""
"","21012","122411","","sjr_talk_idle","1","3","","21","0.2",""
"72","22001","1","sjr_talk_idle","122511","100","1","-194","22","1.65","1"
"-72","22002","1","sjr_talk_idle","122411","100","1","-194","22","1.65","0"
"sjr_talk_arm_crossed_normal_loop","22003","122511","","sjr_talk_arm_crossed_normal","0","3","1","22","0.2","0"
"0","22004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_016","0","21","","22","",""
"1","22005","122511","0.5","相手がヒヨリとはいえ\n負けるつもりは\nないからね","7","11","0","22","0","0"
"","22006","0","","","","91","","22","",""
"","22007","122511","","sjr_talk_idle","1","3","","22","0.2",""
"sjr_talk_guts_loop","22008","122411","","sjr_talk_guts","0","3","1","22","0.2","0"
"0","22009","vo_minigame_1010","","vo_minigame_1010_top_talk_2_017","0","21","","22","",""
"1","22010","122411","0.5","レイさんが相手なら\nあたしだって\n全力全開だよ！","8","11","0","22","0","0"
"","22011","0","","","","91","","22","",""
"","22012","122411","","sjr_talk_idle","1","3","","22","0.2",""
"72","23001","1","sjr_talk_idle","122511","100","1","-194","23","1.65","1"
"-72","23002","1","sjr_talk_idle","122411","100","1","-194","23","1.65","0"
"sjr_talk_eieio_loop","23003","122411","","sjr_talk_fun_eieio","0","3","1","23","0.2","0"
"0","23004","vo_minigame_1010","","vo_minigame_1010_top_talk_2_018","0","21","","23","",""
